,ELDN
2014-09-17,3849.1201171875
2014-09-18,3202.739990234375
2014-09-19,2979.179931640625
2014-09-22,2940.300048828125
2014-09-23,2758.860107421875
2014-09-24,2554.739990234375
2014-09-25,2582.280029296875
2014-09-26,2557.97998046875
2014-09-29,2545.02001953125
2014-09-30,2452.679931640625
2014-10-01,2430.0
2014-10-02,2494.800048828125
2014-10-03,2428.3798828125
2014-10-06,2402.4599609375
2014-10-07,2323.080078125
2014-10-08,2059.02001953125
2014-10-09,1871.0999755859375
2014-10-10,1914.8399658203125
2014-10-13,2339.280029296875
2014-10-14,2274.47998046875
2014-10-15,2146.5
2014-10-16,2028.239990234375
2014-10-17,2036.3399658203125
2014-10-20,2109.239990234375
2014-10-21,2078.4599609375
2014-10-22,2138.39990234375
2014-10-23,2319.840087890625
2014-10-24,2318.219970703125
2014-10-27,2447.820068359375
2014-10-28,2592.0
2014-10-29,2506.139892578125
2014-10-30,2525.580078125
2014-10-31,2498.0400390625
2014-11-03,2494.800048828125
2014-11-04,2664.89990234375
2014-11-05,2817.179931640625
2014-11-06,2752.3798828125
2014-11-07,2621.159912109375
2014-11-10,2666.52001953125
2014-11-11,2640.60009765625
2014-11-12,2606.580078125
2014-11-13,2590.3798828125
2014-11-14,2488.320068359375
2014-11-17,2600.10009765625
2014-11-18,2635.739990234375
2014-11-19,2491.56005859375
2014-11-20,2400.840087890625
2014-11-21,2397.60009765625
2014-11-24,2426.760009765625
2014-11-25,2357.10009765625
2014-11-26,2374.919921875
2014-11-28,2376.5400390625
2014-12-01,2227.5
2014-12-02,2246.93994140625
2014-12-03,2349.0
2014-12-04,2379.780029296875
2014-12-05,2391.1201171875
2014-12-08,2324.699951171875
2014-12-09,2352.239990234375
2014-12-10,2287.43994140625
2014-12-11,2289.06005859375
2014-12-12,2308.5
2014-12-15,2269.6201171875
2014-12-16,2224.260009765625
2014-12-17,2324.699951171875
2014-12-18,2430.0
2014-12-19,2408.93994140625
2014-12-22,2430.0
2014-12-23,2306.8798828125
2014-12-24,2363.580078125
2014-12-26,2340.89990234375
2014-12-29,2316.60009765625
2014-12-30,2295.5400390625
2014-12-31,2387.8798828125
2015-01-02,2395.97998046875
2015-01-05,2423.52001953125
2015-01-06,2430.0
2015-01-07,2402.4599609375
2015-01-08,2347.3798828125
2015-01-09,2308.5
2015-01-12,2361.9599609375
2015-01-13,2293.919921875
2015-01-14,2199.9599609375
2015-01-15,2054.159912109375
2015-01-16,2170.800048828125
2015-01-20,2067.1201171875
2015-01-21,1960.199951171875
2015-01-22,1968.300048828125
2015-01-23,1926.1800537109375
2015-01-26,2005.56005859375
2015-01-27,1984.5
2015-01-28,1950.47998046875
2015-01-29,2042.8199462890625
2015-01-30,1986.1199951171875
2015-02-02,1989.3599853515625
2015-02-03,2057.39990234375
2015-02-04,1995.8399658203125
2015-02-05,2123.820068359375
2015-02-06,2133.5400390625
2015-02-09,2102.760009765625
2015-02-10,2106.0
2015-02-11,2238.840087890625
2015-02-12,2188.6201171875
2015-02-13,2206.43994140625
2015-02-17,2269.6201171875
2015-02-18,2271.239990234375
2015-02-19,2355.47998046875
2015-02-20,2347.3798828125
2015-02-23,2355.47998046875
2015-02-24,2256.659912109375
2015-02-25,2245.320068359375
2015-02-26,2430.0
