,BHTG
2018-02-16,4.409999847412109
2018-02-20,4.199999809265137
2018-02-21,4.400000095367432
2018-02-22,4.309999942779541
2018-02-23,4.260000228881836
2018-02-26,4.269999980926514
2018-02-27,4.3460001945495605
2018-02-28,4.5
2018-03-01,4.449999809265137
2018-03-02,4.300000190734863
2018-03-05,4.25
2018-03-06,4.25
2018-03-07,4.019999980926514
2018-03-08,3.9700000286102295
2018-03-09,4.050000190734863
2018-03-12,4.059999942779541
2018-03-13,4.139999866485596
2018-03-14,4.059999942779541
2018-03-15,4.090000152587891
2018-03-16,4.099999904632568
2018-03-19,4.150000095367432
2018-03-20,4.1020002365112305
2018-03-21,4.300000190734863
2018-03-22,4.289999961853027
2018-03-23,4.059999942779541
2018-03-26,4.019999980926514
2018-03-27,4.0
2018-03-28,4.059999942779541
2018-03-29,4.052000045776367
2018-04-02,4.059999942779541
2018-04-03,4.079999923706055
2018-04-04,4.0
2018-04-05,4.099999904632568
2018-04-06,4.300000190734863
2018-04-09,4.300000190734863
2018-04-10,4.550000190734863
2018-04-11,4.099999904632568
2018-04-12,4.000999927520752
2018-04-13,3.9600000381469727
2018-04-16,3.859999895095825
2018-04-17,3.510999917984009
2018-04-18,3.700000047683716
2018-04-19,3.7100000381469727
2018-04-20,3.700000047683716
2018-04-23,3.799999952316284
2018-04-24,3.740000009536743
2018-04-25,3.7899999618530273
2018-04-26,3.700000047683716
2018-04-27,3.124000072479248
2018-04-30,3.1659998893737793
2018-05-01,2.990999937057495
2018-05-02,3.0399999618530273
2018-05-03,3.0190000534057617
2018-05-04,3.25
2018-05-07,3.240000009536743
2018-05-08,3.5
2018-05-09,3.5999999046325684
2018-05-10,3.700000047683716
2018-05-11,3.690000057220459
2018-05-14,3.75
2018-05-15,3.700000047683716
2018-05-16,3.5899999141693115
2018-05-17,3.615000009536743
2018-05-18,3.619999885559082
2018-05-21,3.380000114440918
2018-05-22,3.369999885559082
2018-05-23,3.3499999046325684
2018-05-24,3.309999942779541
2018-05-25,3.380000114440918
2018-05-29,3.700000047683716
2018-05-30,3.5
2018-05-31,3.440000057220459
2018-06-01,3.630000114440918
2018-06-04,3.5899999141693115
2018-06-05,3.359999895095825
2018-06-06,3.680000066757202
2018-06-07,3.9000000953674316
2018-06-08,3.799999952316284
2018-06-11,5.269999980926514
2018-06-12,4.679999828338623
2018-06-13,4.78000020980835
2018-06-14,4.949999809265137
2018-06-15,4.25
2018-06-18,4.099999904632568
2018-06-19,4.050000190734863
2018-06-20,4.090000152587891
2018-06-21,4.109000205993652
2018-06-22,4.599999904632568
2018-06-25,4.110000133514404
2018-06-26,4.239999771118164
2018-06-27,4.070000171661377
2018-06-28,4.070000171661377
2018-06-29,3.8399999141693115
2018-07-02,3.8399999141693115
2018-07-03,3.799999952316284
2018-07-05,3.759999990463257
2018-07-06,3.799999952316284
2018-07-09,3.6700000762939453
2018-07-10,3.680000066757202
2018-07-11,3.6600000858306885
2018-07-12,3.6600000858306885
2018-07-13,3.6059999465942383
2018-07-16,3.431999921798706
2018-07-17,3.3499999046325684
2018-07-18,3.4700000286102295
2018-07-19,3.380000114440918
2018-07-20,3.4760000705718994
2018-07-23,3.5390000343322754
2018-07-24,3.4000000953674316
2018-07-25,3.5299999713897705
2018-07-26,3.680000066757202
2018-07-27,3.6500000953674316
2018-07-30,3.549999952316284
2018-07-31,3.7320001125335693
2018-08-01,3.609999895095825
2018-08-02,3.619999885559082
2018-08-03,3.7300000190734863
2018-08-06,3.630000114440918
2018-08-07,3.7699999809265137
2018-08-08,4.039999961853027
2018-08-09,4.0
2018-08-10,4.21999979019165
2018-08-13,4.050000190734863
2018-08-14,4.389999866485596
2018-08-15,4.304999828338623
2018-08-16,4.099999904632568
2018-08-17,4.159999847412109
2018-08-20,4.085000038146973
2018-08-21,3.950000047683716
2018-08-22,4.015999794006348
2018-08-23,4.025000095367432
2018-08-24,3.990000009536743
2018-08-27,3.799999952316284
2018-08-28,3.640000104904175
2018-08-29,3.4000000953674316
2018-08-30,3.450000047683716
2018-08-31,3.4100000858306885
2018-09-04,3.5
2018-09-05,3.450000047683716
2018-09-06,3.490000009536743
2018-09-07,3.619999885559082
2018-09-10,3.5
2018-09-11,3.4200000762939453
2018-09-12,3.490999937057495
2018-09-13,3.5
2018-09-14,3.450000047683716
2018-09-17,3.0999999046325684
2018-09-18,3.619999885559082
2018-09-19,3.6700000762939453
2018-09-20,3.5299999713897705
2018-09-21,4.400000095367432
2018-09-24,3.990000009536743
2018-09-25,4.090000152587891
2018-09-26,3.7899999618530273
2018-09-27,3.799999952316284
2018-09-28,3.390000104904175
2018-10-01,3.4200000762939453
2018-10-02,3.25
2018-10-03,3.2899999618530273
2018-10-04,3.244999885559082
2018-10-05,3.25
2018-10-08,3.200000047683716
2018-10-09,3.109999895095825
2018-10-10,3.0999999046325684
2018-10-11,3.109999895095825
2018-10-12,3.190000057220459
2018-10-15,3.009999990463257
2018-10-16,3.058000087738037
2018-10-17,3.049999952316284
2018-10-18,3.049999952316284
2018-10-19,3.0
2018-10-22,2.799999952316284
2018-10-23,2.9100000858306885
2018-10-24,2.864000082015991
2018-10-25,3.0
2018-10-26,2.9000000953674316
2018-10-29,2.9619998931884766
2018-10-30,2.700000047683716
2018-10-31,2.8919999599456787
2018-11-01,2.8499999046325684
2018-11-02,2.6500000953674316
2018-11-05,2.6600000858306885
2018-11-06,2.9200000762939453
2018-11-07,2.5999999046325684
2018-11-08,2.9000000953674316
2018-11-09,2.869999885559082
2018-11-12,2.5999999046325684
2018-11-13,2.640000104904175
2018-11-14,2.6500000953674316
2018-11-15,2.9200000762939453
2018-11-16,2.75
2018-11-19,2.549999952316284
2018-11-20,2.6500000953674316
2018-11-21,2.5999999046325684
2018-11-23,2.8499999046325684
2018-11-26,2.5899999141693115
2018-11-27,2.569999933242798
2018-11-28,2.5899999141693115
2018-11-29,2.86899995803833
2018-11-30,2.690000057220459
2018-12-03,2.7699999809265137
2018-12-04,2.890000104904175
2018-12-06,2.7200000286102295
2018-12-07,2.700000047683716
2018-12-10,2.700000047683716
2018-12-11,2.680000066757202
2018-12-12,2.569999933242798
2018-12-13,2.549999952316284
2018-12-14,2.450000047683716
2018-12-17,2.450000047683716
2018-12-18,2.440000057220459
