,FIBK
2010-03-24,15.699999809265137
2010-03-25,16.059999465942383
2010-03-26,16.549999237060547
2010-03-29,16.690000534057617
2010-03-30,16.34000015258789
2010-03-31,16.25
2010-04-01,16.010000228881836
2010-04-05,16.030000686645508
2010-04-06,15.970000267028809
2010-04-07,15.850000381469727
2010-04-08,15.899999618530273
2010-04-09,15.979999542236328
2010-04-12,16.0
2010-04-13,15.710000038146973
2010-04-14,16.0
2010-04-15,16.100000381469727
2010-04-16,15.899999618530273
2010-04-19,15.84000015258789
2010-04-20,16.040000915527344
2010-04-21,16.110000610351562
2010-04-22,16.510000228881836
2010-04-23,16.65999984741211
2010-04-26,16.170000076293945
2010-04-27,15.979999542236328
2010-04-28,16.239999771118164
2010-04-29,16.309999465942383
2010-04-30,16.200000762939453
2010-05-03,16.15999984741211
2010-05-04,16.190000534057617
2010-05-05,16.18000030517578
2010-05-06,15.90999984741211
2010-05-07,15.770000457763672
2010-05-10,15.649999618530273
2010-05-11,15.760000228881836
2010-05-12,15.859999656677246
2010-05-13,15.920000076293945
2010-05-14,15.84000015258789
2010-05-17,15.720000267028809
2010-05-18,15.539999961853027
2010-05-19,15.369999885559082
2010-05-20,15.3100004196167
2010-05-21,15.390000343322754
2010-05-24,15.300000190734863
2010-05-25,15.069999694824219
2010-05-26,15.279999732971191
2010-05-27,15.800000190734863
2010-05-28,15.75
2010-06-01,16.170000076293945
2010-06-02,16.0
2010-06-03,15.880000114440918
2010-06-04,15.729999542236328
2010-06-07,15.640000343322754
2010-06-08,15.640000343322754
2010-06-09,15.350000381469727
2010-06-10,15.3100004196167
2010-06-11,15.399999618530273
2010-06-14,15.369999885559082
2010-06-15,15.619999885559082
2010-06-16,15.8100004196167
2010-06-17,15.649999618530273
2010-06-18,15.819999694824219
2010-06-21,15.710000038146973
2010-06-22,15.890000343322754
2010-06-23,16.110000610351562
2010-06-24,15.960000038146973
2010-06-25,16.209999084472656
2010-06-28,15.800000190734863
2010-06-29,15.710000038146973
2010-06-30,15.729999542236328
2010-07-01,15.460000038146973
2010-07-02,15.539999961853027
2010-07-06,15.760000228881836
2010-07-07,15.600000381469727
2010-07-08,15.600000381469727
2010-07-09,15.729999542236328
2010-07-12,15.199999809265137
2010-07-13,15.699999809265137
2010-07-14,15.489999771118164
2010-07-15,15.220000267028809
2010-07-16,14.949999809265137
2010-07-19,14.930000305175781
2010-07-20,14.949999809265137
2010-07-21,14.6899995803833
2010-07-22,14.970000267028809
2010-07-23,14.260000228881836
2010-07-26,13.15999984741211
2010-07-27,13.020000457763672
2010-07-28,13.130000114440918
2010-07-29,13.130000114440918
2010-07-30,13.300000190734863
2010-08-02,13.979999542236328
2010-08-03,13.600000381469727
2010-08-04,13.529999732971191
2010-08-05,13.390000343322754
2010-08-06,13.5
2010-08-09,13.640000343322754
2010-08-10,13.109999656677246
2010-08-11,12.6899995803833
2010-08-12,12.510000228881836
2010-08-13,12.359999656677246
2010-08-16,12.140000343322754
2010-08-17,12.5
2010-08-18,12.600000381469727
2010-08-19,12.140000343322754
2010-08-20,12.220000267028809
2010-08-23,12.0
2010-08-24,11.979999542236328
2010-08-25,12.199999809265137
2010-08-26,12.0
2010-08-27,12.40999984741211
2010-08-30,11.5
2010-08-31,11.420000076293945
2010-09-01,12.130000114440918
2010-09-02,12.069999694824219
2010-09-03,12.819999694824219
2010-09-07,12.699999809265137
2010-09-08,13.359999656677246
2010-09-09,13.1899995803833
2010-09-10,13.079999923706055
2010-09-13,13.479999542236328
2010-09-14,13.470000267028809
2010-09-15,13.390000343322754
2010-09-16,13.399999618530273
2010-09-17,13.100000381469727
2010-09-20,13.369999885559082
2010-09-21,13.399999618530273
2010-09-22,13.359999656677246
2010-09-23,13.020000457763672
2010-09-24,13.40999984741211
2010-09-27,13.420000076293945
2010-09-28,13.399999618530273
2010-09-29,13.430000305175781
2010-09-30,13.460000038146973
2010-10-01,13.550000190734863
2010-10-04,13.369999885559082
2010-10-05,13.369999885559082
2010-10-06,13.15999984741211
2010-10-07,12.779999732971191
2010-10-08,12.470000267028809
2010-10-11,12.470000267028809
2010-10-12,12.289999961853027
2010-10-13,12.420000076293945
2010-10-14,12.449999809265137
2010-10-15,12.609999656677246
2010-10-18,12.789999961853027
2010-10-19,12.619999885559082
2010-10-20,12.420000076293945
2010-10-21,12.270000457763672
2010-10-22,12.430000305175781
2010-10-25,12.109999656677246
2010-10-26,12.569999694824219
2010-10-27,12.569999694824219
2010-10-28,12.84000015258789
2010-10-29,12.960000038146973
2010-11-01,12.880000114440918
2010-11-02,13.0
2010-11-03,13.0
2010-11-04,13.039999961853027
2010-11-05,13.020000457763672
2010-11-08,13.029999732971191
2010-11-09,13.0
2010-11-10,13.289999961853027
2010-11-11,14.119999885559082
2010-11-12,14.210000038146973
2010-11-15,14.460000038146973
2010-11-16,14.0
2010-11-17,13.979999542236328
2010-11-18,14.020000457763672
2010-11-19,14.039999961853027
2010-11-22,14.149999618530273
2010-11-23,14.069999694824219
2010-11-24,14.109999656677246
2010-11-26,14.170000076293945
2010-11-29,14.40999984741211
2010-11-30,13.619999885559082
2010-12-01,14.380000114440918
2010-12-02,14.270000457763672
2010-12-03,14.539999961853027
2010-12-06,14.479999542236328
2010-12-07,14.479999542236328
2010-12-08,14.350000381469727
2010-12-09,14.6899995803833
2010-12-10,15.0
2010-12-13,14.890000343322754
2010-12-14,14.630000114440918
2010-12-15,14.460000038146973
2010-12-16,14.489999771118164
2010-12-17,14.890000343322754
2010-12-20,14.800000190734863
2010-12-21,15.0
2010-12-22,15.109999656677246
2010-12-23,15.0
2010-12-27,15.140000343322754
2010-12-28,15.229999542236328
2010-12-29,15.3100004196167
2010-12-30,15.369999885559082
2010-12-31,15.239999771118164
2011-01-03,15.569999694824219
2011-01-04,15.489999771118164
2011-01-05,15.529999732971191
2011-01-06,15.899999618530273
2011-01-07,15.59000015258789
2011-01-10,15.739999771118164
2011-01-11,15.510000228881836
2011-01-12,15.09000015258789
2011-01-13,14.829999923706055
2011-01-14,15.039999961853027
2011-01-18,15.170000076293945
2011-01-19,14.800000190734863
2011-01-20,14.25
2011-01-21,13.609999656677246
2011-01-24,13.449999809265137
2011-01-25,13.739999771118164
2011-01-26,13.84000015258789
2011-01-27,13.710000038146973
2011-01-28,13.079999923706055
2011-01-31,12.989999771118164
2011-02-01,13.680000305175781
2011-02-02,13.460000038146973
2011-02-03,13.699999809265137
2011-02-04,13.640000343322754
2011-02-07,13.619999885559082
2011-02-08,13.619999885559082
2011-02-09,13.800000190734863
2011-02-10,13.880000114440918
2011-02-11,14.199999809265137
2011-02-14,14.489999771118164
2011-02-15,14.6899995803833
2011-02-16,15.09000015258789
2011-02-17,15.050000190734863
2011-02-18,15.149999618530273
2011-02-22,15.0
2011-02-23,15.0
2011-02-24,14.369999885559082
2011-02-25,14.199999809265137
2011-02-28,14.289999961853027
2011-03-01,14.300000190734863
2011-03-02,14.229999542236328
2011-03-03,14.579999923706055
2011-03-04,14.65999984741211
2011-03-07,14.489999771118164
2011-03-08,14.609999656677246
2011-03-09,14.350000381469727
2011-03-10,14.149999618530273
2011-03-11,14.069999694824219
2011-03-14,13.960000038146973
2011-03-15,13.920000076293945
2011-03-16,13.989999771118164
2011-03-17,13.75
2011-03-18,13.9399995803833
2011-03-21,14.0
2011-03-22,14.100000381469727
2011-03-23,13.949999809265137
2011-03-24,13.800000190734863
2011-03-25,13.680000305175781
2011-03-28,13.579999923706055
2011-03-29,13.630000114440918
2011-03-30,13.680000305175781
2011-03-31,13.600000381469727
2011-04-01,13.59000015258789
2011-04-04,13.520000457763672
2011-04-05,13.550000190734863
2011-04-06,13.630000114440918
2011-04-07,13.529999732971191
2011-04-08,13.359999656677246
2011-04-11,13.319999694824219
2011-04-12,13.239999771118164
2011-04-13,13.329999923706055
