,ARRW
2021-04-26,9.65999984741211
2021-04-27,9.680000305175781
2021-04-28,9.680000305175781
2021-04-29,9.720000267028809
2021-04-30,9.720000267028809
2021-05-03,9.710000038146973
2021-05-04,9.680000305175781
2021-05-05,9.680000305175781
2021-05-06,9.680000305175781
2021-05-07,9.6899995803833
2021-05-10,9.6899995803833
2021-05-11,9.710000038146973
2021-05-12,9.704999923706055
2021-05-13,9.680000305175781
2021-05-14,9.680000305175781
