,SMIN
2012-02-09,25.549999237060547
2012-02-10,25.149999618530273
2012-02-13,25.600000381469727
2012-02-14,25.600000381469727
2012-02-15,26.43000030517578
2012-02-16,26.43000030517578
2012-02-17,27.1200008392334
2012-02-21,27.3700008392334
2012-02-22,26.43000030517578
2012-02-23,26.079999923706055
2012-02-24,25.989999771118164
2012-02-27,25.15999984741211
2012-02-28,26.200000762939453
2012-02-29,26.239999771118164
2012-03-01,26.260000228881836
2012-03-02,25.93000030517578
2012-03-05,25.360000610351562
2012-03-06,24.290000915527344
2012-03-07,24.59000015258789
2012-03-08,24.59000015258789
2012-03-09,25.969999313354492
2012-03-12,25.969999313354492
2012-03-13,26.649999618530273
2012-03-14,26.420000076293945
2012-03-15,26.059999465942383
2012-03-16,25.690000534057617
2012-03-19,25.299999237060547
2012-03-20,24.989999771118164
2012-03-21,25.719999313354492
2012-03-22,24.899999618530273
2012-03-23,24.889999389648438
2012-03-26,24.799999237060547
2012-03-27,24.860000610351562
2012-03-28,24.270000457763672
2012-03-29,24.1200008392334
2012-03-30,24.920000076293945
2012-04-02,25.739999771118164
2012-04-03,25.739999771118164
2012-04-04,25.739999771118164
2012-04-05,25.3799991607666
2012-04-09,25.3799991607666
2012-04-10,24.489999771118164
2012-04-11,24.489999771118164
2012-04-12,24.489999771118164
2012-04-13,24.56999969482422
2012-04-16,24.559999465942383
2012-04-17,24.559999465942383
2012-04-18,24.559999465942383
2012-04-19,24.559999465942383
2012-04-20,24.6200008392334
2012-04-23,23.899999618530273
2012-04-24,23.84000015258789
2012-04-25,23.75
2012-04-26,23.709999084472656
2012-04-27,23.899999618530273
2012-04-30,24.059999465942383
2012-05-01,24.059999465942383
2012-05-02,23.59000015258789
2012-05-03,23.049999237060547
2012-05-04,22.530000686645508
2012-05-07,22.530000686645508
2012-05-08,22.530000686645508
2012-05-09,22.06999969482422
2012-05-10,22.31999969482422
2012-05-11,22.31999969482422
2012-05-14,21.25
2012-05-15,21.479999542236328
2012-05-16,21.479999542236328
2012-05-17,21.479999542236328
2012-05-18,21.010000228881836
2012-05-21,21.260000228881836
