,IBM
1970-03-25,16.649999618530273
1970-03-26,16.662500381469727
1970-03-30,16.837499618530273
1970-03-31,16.924999237060547
1970-04-01,16.887500762939453
1970-04-02,16.600000381469727
1970-04-03,16.325000762939453
1970-04-06,16.024999618530273
1970-04-07,16.0
1970-04-08,16.200000762939453
1970-04-09,16.287500381469727
1970-04-10,16.575000762939453
1970-04-13,16.350000381469727
1970-04-14,16.237499237060547
1970-04-15,16.162500381469727
1970-04-16,16.037500381469727
1970-04-17,16.125
1970-04-20,16.225000381469727
1970-04-21,16.049999237060547
1970-04-22,15.649999618530273
1970-04-23,15.481249809265137
1970-04-24,15.449999809265137
1970-04-27,15.074999809265137
1970-04-28,14.512499809265137
1970-04-29,15.012499809265137
1970-04-30,14.899999618530273
1970-05-01,14.837499618530273
1970-05-04,14.149999618530273
1970-05-05,14.149999618530273
1970-05-06,14.375
1970-05-07,14.487500190734863
1970-05-08,14.524999618530273
1970-05-11,14.274999618530273
1970-05-12,14.125
1970-05-13,13.75
1970-05-14,13.425000190734863
1970-05-15,13.537500381469727
1970-05-18,13.5
1970-05-19,12.925000190734863
1970-05-20,12.524999618530273
1970-05-21,12.274999618530273
1970-05-22,12.399999618530273
1970-05-25,12.050000190734863
1970-05-26,12.100000381469727
1970-05-27,12.949999809265137
1970-05-28,13.350000381469727
1970-05-29,13.899999618530273
1970-06-01,14.350000381469727
1970-06-02,14.149999618530273
1970-06-03,14.149999618530273
1970-06-04,13.5625
1970-06-05,13.5
1970-06-08,13.3125
1970-06-09,13.412500381469727
1970-06-10,13.274999618530273
1970-06-11,12.962499618530273
1970-06-12,12.949999809265137
1970-06-15,12.949999809265137
1970-06-16,13.550000190734863
1970-06-17,13.287500381469727
1970-06-18,13.600000381469727
1970-06-19,13.512499809265137
1970-06-22,13.425000190734863
1970-06-23,12.856249809265137
1970-06-24,12.75
1970-06-25,12.899999618530273
1970-06-26,12.875
1970-06-29,12.875
1970-06-30,12.5
1970-07-01,12.699999809265137
1970-07-02,12.537500381469727
1970-07-06,12.225000381469727
1970-07-07,12.125
1970-07-08,12.625
1970-07-09,12.712499618530273
1970-07-10,12.512499809265137
1970-07-13,12.387499809265137
1970-07-14,12.5625
1970-07-15,12.600000381469727
1970-07-16,12.699999809265137
1970-07-17,12.975000381469727
1970-07-20,12.899999618530273
1970-07-21,12.887499809265137
1970-07-22,12.699999809265137
1970-07-23,12.850000381469727
1970-07-24,12.6875
1970-07-27,12.662500381469727
1970-07-28,12.637499809265137
1970-07-29,12.625
1970-07-30,12.675000190734863
1970-07-31,12.612500190734863
1970-08-03,12.462499618530273
1970-08-04,12.512499809265137
1970-08-05,12.487500190734863
1970-08-06,12.425000190734863
1970-08-07,12.274999618530273
1970-08-10,12.024999618530273
1970-08-11,11.912500381469727
1970-08-12,11.53125
1970-08-13,11.149999618530273
1970-08-14,11.493749618530273
1970-08-17,11.762499809265137
1970-08-18,11.987500190734863
1970-08-19,11.987500190734863
1970-08-20,12.237500190734863
1970-08-21,12.462499618530273
1970-08-24,13.137499809265137
1970-08-25,13.199999809265137
1970-08-26,13.1875
1970-08-27,13.262499809265137
1970-08-28,13.5625
1970-08-31,13.3125
1970-09-01,13.193750381469727
1970-09-02,13.199999809265137
1970-09-03,13.487500190734863
1970-09-04,13.600000381469727
1970-09-08,13.75
1970-09-09,13.649999618530273
1970-09-10,13.412500381469727
1970-09-11,13.4375
1970-09-14,13.300000190734863
1970-09-15,13.318750381469727
1970-09-16,13.550000190734863
1970-09-17,13.824999809265137
1970-09-18,14.012499809265137
1970-09-21,13.774999618530273
1970-09-22,13.662500381469727
1970-09-23,14.050000190734863
1970-09-24,14.425000190734863
1970-09-25,14.425000190734863
1970-09-28,14.5
1970-09-29,14.587499618530273
1970-09-30,14.587499618530273
1970-10-01,14.850000381469727
1970-10-02,14.962499618530273
1970-10-05,15.337499618530273
1970-10-06,15.356249809265137
1970-10-07,15.287500381469727
1970-10-08,14.912500381469727
1970-10-09,14.806249618530273
1970-10-12,14.512499809265137
1970-10-13,14.600000381469727
1970-10-14,14.574999809265137
1970-10-15,14.649999618530273
1970-10-16,14.537500381469727
1970-10-19,14.225000381469727
1970-10-20,14.556249618530273
