,AXON
2001-06-19,0.46000000834465027
2001-06-20,0.4458329975605011
2001-06-21,0.4458329975605011
2001-06-22,0.47916701436042786
2001-06-25,0.47916701436042786
2001-06-26,0.5199999809265137
2001-06-27,0.5083330273628235
2001-06-28,0.511667013168335
2001-06-29,0.5333330035209656
2001-07-02,0.5333330035209656
2001-07-03,0.5291669964790344
2001-07-05,0.5291669964790344
2001-07-06,0.5208330154418945
2001-07-09,0.5
2001-07-10,0.5
2001-07-11,0.5041670203208923
2001-07-12,0.49583300948143005
2001-07-13,0.4950000047683716
2001-07-16,0.48750001192092896
2001-07-17,0.4833329916000366
2001-07-18,0.47916701436042786
2001-07-19,0.4666669964790344
2001-07-20,0.4666669964790344
2001-07-23,0.4708330035209656
2001-07-24,0.4808329939842224
2001-07-25,0.4733330011367798
2001-07-26,0.47749999165534973
2001-07-27,0.48833298683166504
2001-07-30,0.5083330273628235
2001-07-31,0.5208330154418945
2001-08-01,0.5166670083999634
2001-08-02,0.5166670083999634
2001-08-03,0.5166670083999634
2001-08-06,0.5166670083999634
2001-08-07,0.5375000238418579
2001-08-08,0.5516669750213623
2001-08-09,0.5691670179367065
2001-08-10,0.5916669964790344
2001-08-13,0.6441670060157776
2001-08-14,0.6449999809265137
2001-08-15,0.6600000262260437
2001-08-16,0.6741669774055481
2001-08-17,0.6641669869422913
2001-08-20,0.6291670203208923
2001-08-21,0.6399999856948853
2001-08-22,0.6416670083999634
2001-08-23,0.6524999737739563
2001-08-24,0.7124999761581421
2001-08-27,0.7350000143051147
2001-08-28,0.7083330154418945
2001-08-29,0.7083330154418945
2001-08-30,0.6875
2001-08-31,0.7083330154418945
2001-09-04,0.7566670179367065
2001-09-05,0.7533329725265503
2001-09-06,0.7250000238418579
2001-09-07,0.7208330035209656
2001-09-10,0.7291669845581055
2001-09-17,0.699999988079071
2001-09-18,0.7083330154418945
2001-09-19,0.663332998752594
2001-09-20,0.586667001247406
2001-09-21,0.5666670203208923
2001-09-24,0.6333330273628235
2001-09-25,0.6499999761581421
2001-09-26,0.6875
2001-09-27,0.7250000238418579
2001-09-28,0.7124999761581421
2001-10-01,0.6875
2001-10-02,0.7158330082893372
2001-10-03,0.7475000023841858
2001-10-04,0.7366669774055481
2001-10-05,0.737500011920929
2001-10-08,0.7275000214576721
2001-10-09,0.9325000047683716
2001-10-10,0.900833010673523
2001-10-11,0.9075000286102295
2001-10-12,0.8475000262260437
2001-10-15,0.8533329963684082
2001-10-16,0.8816670179367065
2001-10-17,0.8349999785423279
2001-10-18,0.8658329844474792
2001-10-19,1.024999976158142
2001-10-22,0.8916670083999634
2001-10-23,0.8149999976158142
2001-10-24,0.8541669845581055
2001-10-25,0.8333330154418945
2001-10-26,0.8266670107841492
2001-10-29,0.7791669964790344
2001-10-30,0.7900000214576721
2001-10-31,0.7950000166893005
2001-11-01,0.7958329916000366
2001-11-02,0.8224999904632568
2001-11-05,0.8208330273628235
2001-11-06,0.7958329916000366
2001-11-07,0.8650000095367432
2001-11-08,0.8833330273628235
2001-11-09,0.9333329796791077
2001-11-12,0.9458330273628235
2001-11-13,0.9375
2001-11-14,0.8999999761581421
2001-11-15,1.1050000190734863
2001-11-16,1.1841670274734497
2001-11-19,1.1575000286102295
2001-11-20,1.1575000286102295
2001-11-21,1.1583329439163208
2001-11-23,1.1716669797897339
2001-11-26,1.1416670083999634
2001-11-27,1.0525000095367432
2001-11-28,1.0
2001-11-29,1.0125000476837158
2001-11-30,1.0850000381469727
2001-12-03,1.0750000476837158
2001-12-04,1.090000033378601
2001-12-05,1.0283329486846924
2001-12-06,1.0099999904632568
2001-12-07,1.0083329677581787
2001-12-10,0.9966670274734497
2001-12-11,0.9666669964790344
2001-12-12,0.9825000166893005
2001-12-13,1.0041669607162476
2001-12-14,1.0325000286102295
2001-12-17,1.0208330154418945
2001-12-18,1.050832986831665
2001-12-19,1.023332953453064
2001-12-20,1.0083329677581787
2001-12-21,0.9966670274734497
2001-12-24,1.0291670560836792
2001-12-26,1.009166955947876
2001-12-27,1.0308330059051514
2001-12-28,1.0458329916000366
2001-12-31,1.1458330154418945
2002-01-02,1.115833044052124
2002-01-03,1.1208330392837524
