,CNSL
2005-07-22,13.789999961853027
2005-07-25,14.09000015258789
2005-07-26,14.739999771118164
2005-07-27,15.100000381469727
2005-07-28,14.779999732971191
2005-07-29,14.619999885559082
2005-08-01,14.5
2005-08-02,14.600000381469727
2005-08-03,14.25
2005-08-04,14.539999961853027
2005-08-05,14.399999618530273
2005-08-08,14.6899995803833
2005-08-09,14.489999771118164
2005-08-10,14.5
2005-08-11,14.239999771118164
2005-08-12,14.479999542236328
2005-08-15,14.380000114440918
2005-08-16,14.5
2005-08-17,14.470000267028809
2005-08-18,14.449999809265137
2005-08-19,14.029999732971191
2005-08-22,13.539999961853027
2005-08-23,13.75
2005-08-24,14.0
2005-08-25,14.0
2005-08-26,13.949999809265137
2005-08-29,13.9399995803833
2005-08-30,13.75
2005-08-31,13.800000190734863
2005-09-01,13.90999984741211
2005-09-02,13.770000457763672
2005-09-06,13.800000190734863
2005-09-07,13.5600004196167
2005-09-08,13.34000015258789
2005-09-09,13.680000305175781
2005-09-12,13.510000228881836
2005-09-13,13.579999923706055
2005-09-14,13.470000267028809
2005-09-15,13.510000228881836
2005-09-16,13.510000228881836
2005-09-19,13.609999656677246
2005-09-20,13.630000114440918
2005-09-21,13.4399995803833
2005-09-22,13.199999809265137
2005-09-23,13.199999809265137
2005-09-26,13.40999984741211
2005-09-27,13.640000343322754
2005-09-28,13.770000457763672
2005-09-29,13.8100004196167
2005-09-30,13.600000381469727
2005-10-03,13.960000038146973
2005-10-04,14.140000343322754
2005-10-05,14.109999656677246
2005-10-06,14.0600004196167
2005-10-07,14.020000457763672
2005-10-10,13.960000038146973
2005-10-11,13.970000267028809
2005-10-12,13.199999809265137
2005-10-13,12.989999771118164
2005-10-14,13.180000305175781
2005-10-17,13.170000076293945
2005-10-18,12.859999656677246
2005-10-19,12.760000228881836
2005-10-20,12.770000457763672
2005-10-21,12.859999656677246
2005-10-24,13.050000190734863
2005-10-25,13.100000381469727
2005-10-26,13.180000305175781
2005-10-27,13.020000457763672
2005-10-28,13.020000457763672
2005-10-31,13.260000228881836
2005-11-01,13.119999885559082
2005-11-02,13.199999809265137
2005-11-03,13.149999618530273
2005-11-04,12.800000190734863
2005-11-07,12.199999809265137
2005-11-08,12.0
2005-11-09,12.119999885559082
2005-11-10,12.470000267028809
2005-11-11,12.9399995803833
2005-11-14,12.890000343322754
2005-11-15,12.869999885559082
2005-11-16,12.890000343322754
2005-11-17,13.069999694824219
2005-11-18,12.979999542236328
2005-11-21,13.0
2005-11-22,13.100000381469727
2005-11-23,13.09000015258789
2005-11-25,13.010000228881836
2005-11-28,12.90999984741211
2005-11-29,12.930000305175781
2005-11-30,13.029999732971191
2005-12-01,13.079999923706055
2005-12-02,12.9399995803833
2005-12-05,12.970000267028809
2005-12-06,12.920000076293945
2005-12-07,12.9399995803833
2005-12-08,12.979999542236328
2005-12-09,12.9399995803833
2005-12-12,13.0
2005-12-13,13.0
2005-12-14,13.0
2005-12-15,12.960000038146973
2005-12-16,12.930000305175781
2005-12-19,12.869999885559082
2005-12-20,12.880000114440918
2005-12-21,12.989999771118164
2005-12-22,12.970000267028809
2005-12-23,12.979999542236328
2005-12-27,12.9399995803833
2005-12-28,12.90999984741211
2005-12-29,12.880000114440918
2005-12-30,12.989999771118164
2006-01-03,13.0
2006-01-04,13.0
2006-01-05,12.90999984741211
2006-01-06,12.899999618530273
2006-01-09,12.9399995803833
2006-01-10,12.930000305175781
2006-01-11,12.460000038146973
2006-01-12,12.710000038146973
2006-01-13,12.819999694824219
2006-01-17,12.779999732971191
2006-01-18,12.800000190734863
2006-01-19,12.869999885559082
2006-01-20,12.979999542236328
2006-01-23,12.880000114440918
2006-01-24,12.8100004196167
2006-01-25,12.829999923706055
2006-01-26,12.850000381469727
2006-01-27,12.819999694824219
2006-01-30,12.789999961853027
2006-01-31,12.670000076293945
2006-02-01,12.850000381469727
2006-02-02,13.0
2006-02-03,12.930000305175781
2006-02-06,13.0
2006-02-07,13.260000228881836
2006-02-08,13.619999885559082
2006-02-09,13.800000190734863
2006-02-10,14.100000381469727
2006-02-13,14.25
2006-02-14,14.119999885559082
2006-02-15,13.949999809265137
2006-02-16,14.0
2006-02-17,13.869999885559082
2006-02-21,13.949999809265137
2006-02-22,14.069999694824219
2006-02-23,14.079999923706055
2006-02-24,14.25
2006-02-27,14.65999984741211
2006-02-28,14.239999771118164
2006-03-01,14.789999961853027
2006-03-02,14.75
2006-03-03,14.600000381469727
2006-03-06,14.600000381469727
2006-03-07,14.819999694824219
2006-03-08,14.869999885559082
2006-03-09,14.529999732971191
2006-03-10,14.729999542236328
2006-03-13,14.699999809265137
2006-03-14,14.890000343322754
