,BIOT
2021-03-22,9.699999809265137
2021-03-23,9.692999839782715
2021-03-24,9.729999542236328
2021-03-25,9.5600004196167
2021-03-26,9.729999542236328
2021-03-29,9.640000343322754
2021-03-30,9.699999809265137
2021-03-31,9.720000267028809
2021-04-01,9.659000396728516
2021-04-05,9.675000190734863
2021-04-06,9.699999809265137
2021-04-07,9.720000267028809
2021-04-08,9.701000213623047
2021-04-09,9.779999732971191
2021-04-12,9.800000190734863
2021-04-13,9.800000190734863
2021-04-14,9.880000114440918
2021-04-15,9.819999694824219
2021-04-16,9.84000015258789
2021-04-19,9.800000190734863
2021-04-20,9.779999732971191
2021-04-21,9.710000038146973
2021-04-22,9.789999961853027
2021-04-23,9.699999809265137
2021-04-26,9.760000228881836
2021-04-27,9.699999809265137
2021-04-28,9.710000038146973
2021-04-29,9.699999809265137
2021-04-30,9.720000267028809
2021-05-03,9.720000267028809
2021-05-04,9.729999542236328
2021-05-05,9.729999542236328
2021-05-06,9.739999771118164
2021-05-07,9.739999771118164
2021-05-10,9.720000267028809
2021-05-11,9.720000267028809
2021-05-12,9.720000267028809
2021-05-13,9.6899995803833
2021-05-14,9.710000038146973
