,BPMC
2015-04-30,18.8700008392334
2015-05-01,18.530000686645508
2015-05-04,20.809999465942383
2015-05-05,20.81999969482422
2015-05-06,21.3700008392334
2015-05-07,22.5
2015-05-08,23.600000381469727
2015-05-11,24.954999923706055
2015-05-12,25.040000915527344
2015-05-13,26.09000015258789
2015-05-14,29.020000457763672
2015-05-15,28.559999465942383
2015-05-18,28.739999771118164
2015-05-19,29.0
2015-05-20,29.06999969482422
2015-05-21,29.190000534057617
2015-05-22,29.959999084472656
2015-05-26,28.639999389648438
2015-05-27,27.34000015258789
2015-05-28,28.549999237060547
2015-05-29,28.690000534057617
2015-06-01,30.770000457763672
2015-06-02,30.40999984741211
2015-06-03,30.860000610351562
2015-06-04,30.65999984741211
2015-06-05,30.850000381469727
2015-06-08,31.510000228881836
2015-06-09,31.979999542236328
2015-06-10,31.489999771118164
2015-06-11,33.15999984741211
2015-06-12,34.119998931884766
2015-06-15,33.650001525878906
2015-06-16,34.040000915527344
2015-06-17,34.970001220703125
2015-06-18,35.91999816894531
2015-06-19,33.20000076293945
2015-06-22,33.130001068115234
2015-06-23,31.229999542236328
2015-06-24,28.020000457763672
2015-06-25,28.149999618530273
2015-06-26,27.860000610351562
2015-06-29,26.200000762939453
2015-06-30,26.489999771118164
2015-07-01,27.399999618530273
2015-07-02,27.020000457763672
2015-07-06,26.309999465942383
2015-07-07,26.1200008392334
2015-07-08,25.700000762939453
2015-07-09,25.860000610351562
2015-07-10,28.020000457763672
2015-07-13,29.0
2015-07-14,31.139999389648438
2015-07-15,31.1299991607666
2015-07-16,32.22999954223633
2015-07-17,32.900001525878906
2015-07-20,31.709999084472656
2015-07-21,30.799999237060547
2015-07-22,30.1200008392334
2015-07-23,29.1299991607666
2015-07-24,27.5
2015-07-27,27.100000381469727
2015-07-28,28.489999771118164
2015-07-29,27.5
2015-07-30,26.540000915527344
2015-07-31,27.020000457763672
2015-08-03,27.639999389648438
2015-08-04,28.43000030517578
2015-08-05,28.260000228881836
2015-08-06,27.59000015258789
2015-08-07,26.479999542236328
2015-08-10,26.979999542236328
2015-08-11,27.149999618530273
2015-08-12,28.200000762939453
2015-08-13,27.739999771118164
2015-08-14,26.549999237060547
2015-08-17,29.75
2015-08-18,28.6200008392334
2015-08-19,27.020000457763672
2015-08-20,25.809999465942383
2015-08-21,25.739999771118164
2015-08-24,26.100000381469727
2015-08-25,26.610000610351562
2015-08-26,25.93000030517578
2015-08-27,26.8700008392334
2015-08-28,26.84000015258789
2015-08-31,27.360000610351562
2015-09-01,27.530000686645508
2015-09-02,28.389999389648438
2015-09-03,28.010000228881836
2015-09-04,28.239999771118164
2015-09-08,29.860000610351562
2015-09-09,29.190000534057617
2015-09-10,30.06999969482422
2015-09-11,29.510000228881836
2015-09-14,30.989999771118164
2015-09-15,30.639999389648438
2015-09-16,29.139999389648438
2015-09-17,29.610000610351562
2015-09-18,31.229999542236328
2015-09-21,29.489999771118164
2015-09-22,25.1299991607666
2015-09-23,24.450000762939453
2015-09-24,23.440000534057617
2015-09-25,21.450000762939453
2015-09-28,21.219999313354492
2015-09-29,20.719999313354492
2015-09-30,21.34000015258789
2015-10-01,20.760000228881836
2015-10-02,22.329999923706055
2015-10-05,22.329999923706055
2015-10-06,21.219999313354492
2015-10-07,21.139999389648438
2015-10-08,21.1200008392334
2015-10-09,21.139999389648438
2015-10-12,21.290000915527344
2015-10-13,21.170000076293945
2015-10-14,21.510000228881836
2015-10-15,23.600000381469727
2015-10-16,22.139999389648438
2015-10-19,22.790000915527344
2015-10-20,22.559999465942383
2015-10-21,21.969999313354492
2015-10-22,22.809999465942383
2015-10-23,22.110000610351562
2015-10-26,22.81999969482422
2015-10-27,20.5
2015-10-28,21.489999771118164
2015-10-29,20.549999237060547
2015-10-30,20.09000015258789
2015-11-02,20.799999237060547
2015-11-03,21.579999923706055
2015-11-04,21.969999313354492
2015-11-05,21.850000381469727
2015-11-06,22.31999969482422
2015-11-09,22.81999969482422
2015-11-10,22.639999389648438
2015-11-11,21.209999084472656
2015-11-12,21.40999984741211
2015-11-13,22.059999465942383
2015-11-16,20.850000381469727
2015-11-17,19.6200008392334
2015-11-18,19.770000457763672
2015-11-19,19.899999618530273
2015-11-20,20.010000228881836
2015-11-23,20.190000534057617
2015-11-24,20.549999237060547
2015-11-25,21.559999465942383
2015-11-27,22.139999389648438
2015-11-30,23.15999984741211
2015-12-01,23.5
2015-12-02,23.979999542236328
2015-12-03,23.760000228881836
2015-12-04,23.739999771118164
2015-12-07,23.809999465942383
2015-12-08,24.469999313354492
2015-12-09,22.93000030517578
2015-12-10,23.540000915527344
2015-12-11,23.5
2015-12-14,24.0
2015-12-15,24.299999237060547
2015-12-16,25.040000915527344
2015-12-17,25.06999969482422
2015-12-18,25.030000686645508
2015-12-21,24.8799991607666
2015-12-22,25.06999969482422
2015-12-23,25.510000228881836
2015-12-24,24.84000015258789
2015-12-28,24.06999969482422
2015-12-29,24.899999618530273
2015-12-30,24.889999389648438
2015-12-31,26.34000015258789
2016-01-04,24.459999084472656
2016-01-05,22.899999618530273
2016-01-06,21.5
2016-01-07,20.729999542236328
2016-01-08,19.950000762939453
2016-01-11,18.6299991607666
2016-01-12,19.100000381469727
2016-01-13,17.75
2016-01-14,18.219999313354492
2016-01-15,17.68000030517578
2016-01-19,17.239999771118164
2016-01-20,17.010000228881836
2016-01-21,17.049999237060547
2016-01-22,17.670000076293945
2016-01-25,18.010000228881836
2016-01-26,18.170000076293945
2016-01-27,16.700000762939453
2016-01-28,15.510000228881836
2016-01-29,15.720000267028809
