,AVGR
2015-01-30,5400.0
2015-02-02,5328.0
2015-02-03,5220.0
2015-02-04,5200.0
2015-02-05,5256.0
2015-02-06,5220.0
2015-02-09,5240.0
2015-02-10,5220.0
2015-02-11,5260.0
2015-02-12,5268.0
2015-02-13,5156.0
2015-02-17,5220.0
2015-02-18,4760.0
2015-02-19,4100.0
2015-02-20,4164.0
2015-02-23,4264.0
2015-02-24,4596.0
2015-02-25,4884.0
2015-02-26,4744.0
2015-02-27,4560.0
2015-03-02,4476.0
2015-03-03,4432.0
2015-03-04,4324.0
2015-03-05,4364.0
2015-03-06,4200.0
2015-03-09,4060.0
2015-03-10,4000.0
2015-03-11,4000.0
2015-03-12,4180.0
2015-03-13,4192.0
2015-03-16,4252.0
2015-03-17,4276.0
2015-03-18,4564.0
2015-03-19,4400.0
2015-03-20,4052.0
2015-03-23,4120.0
2015-03-24,4340.0
2015-03-25,4312.0
2015-03-26,4408.0
2015-03-27,4392.0
2015-03-30,4556.0
2015-03-31,4436.0
2015-04-01,4488.0
2015-04-02,4616.0
2015-04-06,4600.0
2015-04-07,4660.0
2015-04-08,4824.0
2015-04-09,4640.0
2015-04-10,4732.0
2015-04-13,4500.0
2015-04-14,4676.0
2015-04-15,4760.0
2015-04-16,4865.60009765625
2015-04-17,4908.0
2015-04-20,4620.0
2015-04-21,4570.0
2015-04-22,4664.0
2015-04-23,4648.0
2015-04-24,4728.0
2015-04-27,4764.0
2015-04-28,4504.0
2015-04-29,4576.0
2015-04-30,4392.0
2015-05-01,4364.0
2015-05-04,4264.0
2015-05-05,4284.0
2015-05-06,4200.0
2015-05-07,4576.0
2015-05-08,4460.0
2015-05-11,4560.0
2015-05-12,4554.0
2015-05-13,4540.0
2015-05-14,4496.0
2015-05-15,4522.0
2015-05-18,4544.0
2015-05-19,4588.0
2015-05-20,4540.0
2015-05-21,4596.0
2015-05-22,4588.0
2015-05-26,4616.0
2015-05-27,4568.0
2015-05-28,4692.0
2015-05-29,4672.0
2015-06-01,4952.0
2015-06-02,4804.0
2015-06-03,4808.0
2015-06-04,4900.0
2015-06-05,4814.0
2015-06-08,4930.0
2015-06-09,4952.0
2015-06-10,5000.0
2015-06-11,5096.0
2015-06-12,4908.0
2015-06-15,5080.0
2015-06-16,4876.0
2015-06-17,4928.0
2015-06-18,4952.0
2015-06-19,4824.0
2015-06-22,4688.0
2015-06-23,4732.0
2015-06-24,5008.0
2015-06-25,5260.0
2015-06-26,5200.0
2015-06-29,5200.0
2015-06-30,5164.0
2015-07-01,5300.0
2015-07-02,5232.0
2015-07-06,5208.0
2015-07-07,5176.0
2015-07-08,5108.0
2015-07-09,5088.0
2015-07-10,5160.0
2015-07-13,5204.0
2015-07-14,5084.0
2015-07-15,5008.0
2015-07-16,5028.0
2015-07-17,5140.0
2015-07-20,5320.0
2015-07-21,5328.0
2015-07-22,5460.0
2015-07-23,5404.0
2015-07-24,5192.0
2015-07-27,5356.0
2015-07-28,5460.0
2015-07-29,5752.0
2015-07-30,6084.0
2015-07-31,6484.0
2015-08-03,6496.0
2015-08-04,6360.0
2015-08-05,6352.0
2015-08-06,6480.0
2015-08-07,6376.0
2015-08-10,6380.0
2015-08-11,6580.0
2015-08-12,6524.0
2015-08-13,6404.0
2015-08-14,6184.0
2015-08-17,6180.0
2015-08-18,6200.0
2015-08-19,6164.0
2015-08-20,5996.0
2015-08-21,5692.0
2015-08-24,5508.0
2015-08-25,5732.0
2015-08-26,5652.0
2015-08-27,5676.0
2015-08-28,5984.0
2015-08-31,5776.0
2015-09-01,5916.0
2015-09-02,5932.0
2015-09-03,5922.0
2015-09-04,5924.0
2015-09-08,6372.0
2015-09-09,5808.0
2015-09-10,5780.0
2015-09-11,5828.0
2015-09-14,5548.0
2015-09-15,5628.0
2015-09-16,5504.0
2015-09-17,5580.0
2015-09-18,5660.0
2015-09-21,5720.0
2015-09-22,5588.0
2015-09-23,5804.0
2015-09-24,5996.0
2015-09-25,6068.0
2015-09-28,5588.0
2015-09-29,5756.0
2015-09-30,5884.0
2015-10-01,5868.0
2015-10-02,6232.0
2015-10-05,6136.0
2015-10-06,6124.0
2015-10-07,6136.0
2015-10-08,6400.0
2015-10-09,6620.0
2015-10-12,6424.0
2015-10-13,6356.0
2015-10-14,6192.0
2015-10-15,6232.0
2015-10-16,6548.0
2015-10-19,7420.0
2015-10-20,7183.2001953125
2015-10-21,7180.0
2015-10-22,6696.0
2015-10-23,6660.0
2015-10-26,6704.0
2015-10-27,7272.0
2015-10-28,7248.0
2015-10-29,7088.0
