,ATOM
2016-08-08,8.0
2016-08-09,7.889999866485596
2016-08-10,7.989999771118164
2016-08-11,7.860000133514404
2016-08-12,7.809999942779541
2016-08-15,7.949999809265137
2016-08-16,8.100000381469727
2016-08-17,8.050000190734863
2016-08-18,8.050000190734863
2016-08-19,8.029999732971191
2016-08-22,8.100000381469727
2016-08-23,8.050000190734863
2016-08-24,8.039999961853027
2016-08-25,8.050000190734863
2016-08-26,8.039999961853027
2016-08-29,8.260000228881836
2016-08-30,9.649999618530273
2016-08-31,9.34000015258789
2016-09-01,9.239999771118164
2016-09-02,9.25
2016-09-06,9.100000381469727
2016-09-07,9.699999809265137
2016-09-08,9.600000381469727
2016-09-09,9.15999984741211
2016-09-12,9.09000015258789
2016-09-13,9.0
2016-09-14,9.020000457763672
2016-09-15,8.579999923706055
2016-09-16,8.109999656677246
2016-09-19,8.34000015258789
2016-09-20,8.739999771118164
2016-09-21,8.800000190734863
2016-09-22,8.170000076293945
2016-09-23,8.270000457763672
2016-09-26,8.050000190734863
2016-09-27,8.0600004196167
2016-09-28,8.039999961853027
2016-09-29,8.210000038146973
2016-09-30,7.800000190734863
2016-10-03,7.96999979019165
2016-10-04,7.849999904632568
2016-10-05,7.800000190734863
2016-10-06,7.75
2016-10-07,7.5
2016-10-10,7.689000129699707
2016-10-11,7.25
2016-10-12,7.650000095367432
2016-10-13,7.349999904632568
2016-10-14,7.510000228881836
2016-10-17,7.465000152587891
2016-10-18,7.539999961853027
2016-10-19,7.690000057220459
2016-10-20,7.960000038146973
2016-10-21,7.880000114440918
2016-10-24,7.940000057220459
2016-10-25,8.0
2016-10-26,7.619999885559082
2016-10-27,7.670000076293945
2016-10-28,7.659999847412109
2016-10-31,7.420000076293945
2016-11-01,7.0
2016-11-02,7.010000228881836
2016-11-03,7.050000190734863
2016-11-04,6.900000095367432
2016-11-07,6.900000095367432
2016-11-08,6.760000228881836
2016-11-09,6.75
2016-11-10,6.800000190734863
2016-11-11,6.650000095367432
2016-11-14,6.6570000648498535
2016-11-15,6.690000057220459
2016-11-16,6.949999809265137
2016-11-17,7.199999809265137
2016-11-18,7.199999809265137
2016-11-21,6.610000133514404
2016-11-22,6.980000019073486
2016-11-23,6.849999904632568
2016-11-25,7.050000190734863
2016-11-28,6.599999904632568
2016-11-29,6.980000019073486
2016-11-30,6.75
2016-12-01,6.519999980926514
2016-12-02,6.880000114440918
2016-12-05,6.5
2016-12-06,6.51200008392334
2016-12-07,6.823999881744385
2016-12-08,6.796999931335449
2016-12-09,7.0
2016-12-12,7.010000228881836
2016-12-13,7.050000190734863
2016-12-14,6.900000095367432
2016-12-15,7.0
2016-12-16,6.800000190734863
2016-12-19,6.800000190734863
2016-12-20,6.460000038146973
2016-12-21,6.0
2016-12-22,6.099999904632568
2016-12-23,6.0
