,AZYO
2020-10-08,14.5
2020-10-09,13.539999961853027
2020-10-12,12.600000381469727
2020-10-13,12.25
2020-10-14,12.3100004196167
2020-10-15,11.800000190734863
2020-10-16,12.0
2020-10-19,11.899999618530273
2020-10-20,11.75
2020-10-21,11.380000114440918
2020-10-22,11.180000305175781
2020-10-23,11.079999923706055
2020-10-26,11.100000381469727
2020-10-27,11.170000076293945
2020-10-28,10.989999771118164
2020-10-29,10.819999694824219
2020-10-30,10.979999542236328
2020-11-02,11.5
2020-11-03,11.989999771118164
2020-11-04,11.899999618530273
2020-11-05,11.600000381469727
2020-11-06,10.770000457763672
2020-11-09,11.09000015258789
2020-11-10,11.149999618530273
2020-11-11,11.649999618530273
2020-11-12,12.220000267028809
2020-11-13,12.25
2020-11-16,12.850000381469727
2020-11-17,13.270000457763672
2020-11-18,12.989999771118164
2020-11-19,12.279999732971191
2020-11-20,12.399999618530273
2020-11-23,12.329999923706055
2020-11-24,12.229999542236328
2020-11-25,12.90999984741211
2020-11-27,13.550000190734863
2020-11-30,13.949999809265137
2020-12-01,14.229999542236328
2020-12-02,14.489999771118164
2020-12-03,14.819999694824219
2020-12-04,14.460000038146973
2020-12-07,13.260000228881836
2020-12-08,12.989999771118164
2020-12-09,12.510000228881836
2020-12-10,13.0600004196167
2020-12-11,13.569999694824219
2020-12-14,13.9399995803833
2020-12-15,13.460000038146973
2020-12-16,12.359999656677246
2020-12-17,12.59000015258789
2020-12-18,12.520000457763672
2020-12-21,13.020000457763672
2020-12-22,12.520000457763672
2020-12-23,12.869999885559082
2020-12-24,12.5600004196167
2020-12-28,12.84000015258789
2020-12-29,12.729999542236328
2020-12-30,12.800000190734863
2020-12-31,13.630000114440918
2021-01-04,13.199999809265137
2021-01-05,13.180000305175781
2021-01-06,13.899999618530273
2021-01-07,14.199999809265137
2021-01-08,14.050000190734863
2021-01-11,14.529999732971191
2021-01-12,14.5
2021-01-13,14.5
2021-01-14,15.619999885559082
2021-01-15,14.989999771118164
2021-01-19,14.40999984741211
2021-01-20,15.710000038146973
2021-01-21,14.890000343322754
2021-01-22,15.300000190734863
2021-01-25,16.0
2021-01-26,15.8100004196167
2021-01-27,15.930000305175781
2021-01-28,15.960000038146973
2021-01-29,16.18000030517578
2021-02-01,15.789999961853027
2021-02-02,15.479999542236328
2021-02-03,16.40999984741211
2021-02-04,15.949999809265137
2021-02-05,15.9399995803833
2021-02-08,15.960000038146973
2021-02-09,15.859999656677246
2021-02-10,15.6899995803833
2021-02-11,14.5
2021-02-12,15.579999923706055
2021-02-16,15.149999618530273
2021-02-17,15.699999809265137
2021-02-18,15.600000381469727
2021-02-19,16.299999237060547
2021-02-22,15.800000190734863
2021-02-23,15.5600004196167
2021-02-24,15.399999618530273
2021-02-25,15.319999694824219
2021-02-26,15.920000076293945
2021-03-01,15.510000228881836
2021-03-02,15.25
2021-03-03,14.970000267028809
2021-03-04,14.649999618530273
2021-03-05,14.640000343322754
2021-03-08,14.529999732971191
2021-03-09,14.609999656677246
2021-03-10,14.350000381469727
2021-03-11,14.260000228881836
2021-03-12,13.84000015258789
2021-03-15,13.079999923706055
2021-03-16,14.25
2021-03-17,13.920000076293945
2021-03-18,14.119999885559082
2021-03-19,16.25
2021-03-22,14.399999618530273
2021-03-23,14.40999984741211
2021-03-24,14.399999618530273
2021-03-25,14.050000190734863
2021-03-26,14.680000305175781
2021-03-29,13.640000343322754
2021-03-30,13.680000305175781
2021-03-31,13.819999694824219
2021-04-01,13.970000267028809
2021-04-05,13.670000076293945
2021-04-06,13.84000015258789
2021-04-07,13.225000381469727
2021-04-08,13.199999809265137
2021-04-09,13.239999771118164
2021-04-12,13.039999961853027
2021-04-13,13.0600004196167
2021-04-14,13.0600004196167
2021-04-15,12.979999542236328
2021-04-16,12.899999618530273
2021-04-19,12.979999542236328
2021-04-20,12.989999771118164
2021-04-21,12.65999984741211
2021-04-22,12.470000267028809
2021-04-23,11.619999885559082
2021-04-26,11.850000381469727
2021-04-27,12.050000190734863
2021-04-28,10.65999984741211
2021-04-29,10.300000190734863
2021-04-30,9.770000457763672
2021-05-03,9.65999984741211
2021-05-04,9.510000228881836
2021-05-05,11.260000228881836
2021-05-06,10.869999885559082
2021-05-07,11.579999923706055
2021-05-10,11.029999732971191
2021-05-11,11.010000228881836
2021-05-12,10.899999618530273
2021-05-13,10.890000343322754
2021-05-14,11.5
