,WMT
1972-08-25,0.06445299834012985
1972-08-28,0.0642089992761612
1972-08-29,0.06347700208425522
1972-08-30,0.06347700208425522
1972-08-31,0.0625
1972-09-01,0.06298799812793732
1972-09-05,0.0625
1972-09-06,0.06298799812793732
1972-09-07,0.06274399906396866
1972-09-08,0.06225600093603134
1972-09-11,0.06274399906396866
1972-09-12,0.06274399906396866
1972-09-13,0.06274399906396866
1972-09-14,0.06323199719190598
1972-09-15,0.06274399906396866
1972-09-18,0.06298799812793732
1972-09-19,0.0625
1972-09-20,0.062011998146772385
1972-09-21,0.06005899980664253
1972-09-22,0.057861000299453735
1972-09-25,0.05615200102329254
1972-09-26,0.055907998234033585
1972-09-27,0.054687999188899994
1972-09-28,0.05615200102329254
1972-09-29,0.0568850003182888
1972-10-02,0.05956999957561493
1972-10-03,0.06054700165987015
1972-10-04,0.061767999082803726
1972-10-05,0.06005899980664253
1972-10-06,0.05761700123548508
1972-10-09,0.05859399959445
1972-10-10,0.05859399959445
1972-10-11,0.058837998658418655
1972-10-12,0.05835000053048134
1972-10-13,0.05835000053048134
1972-10-16,0.0568850003182888
1972-10-17,0.057861000299453735
1972-10-18,0.062011998146772385
1972-10-19,0.06225600093603134
1972-10-20,0.061767999082803726
1972-10-23,0.06152300164103508
1972-10-24,0.061767999082803726
1972-10-25,0.06054700165987015
1972-10-26,0.061034999787807465
1972-10-27,0.06127899885177612
1972-10-30,0.061034999787807465
1972-10-31,0.06298799812793732
1972-11-01,0.06591799855232239
1972-11-02,0.0664059966802597
1972-11-03,0.06616199761629105
1972-11-06,0.06616199761629105
1972-11-08,0.0668950006365776
1972-11-09,0.0668950006365776
1972-11-10,0.0668950006365776
1972-11-13,0.06665000319480896
1972-11-14,0.06591799855232239
1972-11-15,0.06567399948835373
1972-11-16,0.06591799855232239
1972-11-17,0.06567399948835373
1972-11-20,0.06543000042438507
1972-11-21,0.0668950006365776
1972-11-22,0.0668950006365776
1972-11-24,0.06665000319480896
1972-11-27,0.06835900247097015
1972-11-28,0.0664059966802597
1972-11-29,0.06347700208425522
1972-11-30,0.06298799812793732
1972-12-01,0.06396500021219254
1972-12-04,0.0664059966802597
1972-12-05,0.06738299876451492
1972-12-06,0.06738299876451492
1972-12-07,0.0668950006365776
