,BNTX
2019-10-10,14.239999771118164
2019-10-11,13.819999694824219
2019-10-14,12.75
2019-10-15,12.920000076293945
2019-10-16,12.9399995803833
2019-10-17,13.0
2019-10-18,14.140000343322754
2019-10-21,16.280000686645508
2019-10-22,20.639999389648438
2019-10-23,17.639999389648438
2019-10-24,18.850000381469727
2019-10-25,17.56999969482422
2019-10-28,16.459999084472656
2019-10-29,17.0
2019-10-30,16.790000915527344
2019-10-31,16.81999969482422
2019-11-01,16.520000457763672
2019-11-04,18.969999313354492
2019-11-05,18.479999542236328
2019-11-06,17.3799991607666
2019-11-07,18.420000076293945
2019-11-08,18.8700008392334
2019-11-11,19.739999771118164
2019-11-12,17.639999389648438
2019-11-13,18.549999237060547
2019-11-14,19.0
2019-11-15,19.239999771118164
2019-11-18,19.700000762939453
2019-11-19,20.329999923706055
2019-11-20,20.350000381469727
2019-11-21,19.68000030517578
2019-11-22,21.329999923706055
2019-11-25,20.75
2019-11-26,21.360000610351562
2019-11-27,21.8799991607666
2019-11-29,21.979999542236328
2019-12-02,21.8700008392334
2019-12-03,20.770000457763672
2019-12-04,21.3700008392334
2019-12-05,22.489999771118164
2019-12-06,24.3700008392334
2019-12-09,29.0
2019-12-10,28.0
2019-12-11,31.299999237060547
2019-12-12,29.84000015258789
2019-12-13,32.45000076293945
2019-12-16,35.0
2019-12-17,36.90999984741211
2019-12-18,35.0
2019-12-19,29.34000015258789
2019-12-20,34.970001220703125
2019-12-23,34.72999954223633
2019-12-24,33.470001220703125
2019-12-26,33.20000076293945
2019-12-27,32.58000183105469
2019-12-30,34.90999984741211
2019-12-31,33.880001068115234
2020-01-02,38.5
2020-01-03,40.04999923706055
2020-01-06,44.58000183105469
2020-01-07,43.34000015258789
2020-01-08,45.099998474121094
2020-01-09,43.27000045776367
2020-01-10,39.68000030517578
2020-01-13,37.83000183105469
2020-01-14,34.529998779296875
2020-01-15,34.54999923706055
2020-01-16,32.25
2020-01-17,33.18000030517578
2020-01-21,36.540000915527344
2020-01-22,38.880001068115234
