,AKYA
2021-04-16,26.049999237060547
2021-04-19,22.969999313354492
2021-04-20,23.1200008392334
2021-04-21,23.969999313354492
2021-04-22,22.950000762939453
2021-04-23,22.350000381469727
2021-04-26,22.6200008392334
2021-04-27,22.0
2021-04-28,22.799999237060547
2021-04-29,22.489999771118164
2021-04-30,22.440000534057617
2021-05-03,22.209999084472656
2021-05-04,21.040000915527344
2021-05-05,20.989999771118164
2021-05-06,19.280000686645508
2021-05-07,19.75
2021-05-10,19.1299991607666
2021-05-11,17.889999389648438
2021-05-12,19.09000015258789
2021-05-13,20.1200008392334
2021-05-14,20.399999618530273
