,FIVE
2012-07-19,26.5
2012-07-20,27.270000457763672
2012-07-23,27.549999237060547
2012-07-24,27.600000381469727
2012-07-25,27.049999237060547
2012-07-26,27.889999389648438
2012-07-27,29.649999618530273
2012-07-30,29.809999465942383
2012-07-31,29.34000015258789
2012-08-01,29.139999389648438
2012-08-02,29.420000076293945
2012-08-03,29.790000915527344
2012-08-06,31.15999984741211
2012-08-07,32.43000030517578
2012-08-08,32.880001068115234
2012-08-09,33.130001068115234
2012-08-10,32.709999084472656
2012-08-13,32.11000061035156
2012-08-14,32.5099983215332
2012-08-15,33.25
2012-08-16,32.29999923706055
2012-08-17,31.260000228881836
2012-08-20,30.149999618530273
2012-08-21,29.959999084472656
2012-08-22,31.190000534057617
2012-08-23,30.219999313354492
2012-08-24,30.899999618530273
2012-08-27,31.0
2012-08-28,32.150001525878906
2012-08-29,31.549999237060547
2012-08-30,32.41999816894531
2012-08-31,32.13999938964844
2012-09-04,33.20000076293945
2012-09-05,32.88999938964844
2012-09-06,35.880001068115234
2012-09-07,35.380001068115234
2012-09-10,34.79999923706055
2012-09-11,33.54999923706055
2012-09-12,33.5
2012-09-13,33.91999816894531
2012-09-14,36.0
2012-09-17,35.79999923706055
2012-09-18,35.06999969482422
2012-09-19,35.33000183105469
2012-09-20,34.349998474121094
2012-09-21,35.900001525878906
2012-09-24,37.130001068115234
2012-09-25,38.790000915527344
2012-09-26,38.79999923706055
2012-09-27,39.150001525878906
2012-09-28,39.08000183105469
2012-10-01,38.72999954223633
2012-10-02,37.7599983215332
2012-10-03,37.369998931884766
2012-10-04,38.16999816894531
2012-10-05,36.79999923706055
2012-10-08,35.77000045776367
2012-10-09,34.93000030517578
2012-10-10,34.93000030517578
2012-10-11,35.04999923706055
2012-10-12,34.18000030517578
2012-10-15,34.970001220703125
2012-10-16,35.0
2012-10-17,36.150001525878906
2012-10-18,35.83000183105469
2012-10-19,35.040000915527344
2012-10-22,33.81999969482422
2012-10-23,34.040000915527344
2012-10-24,33.380001068115234
2012-10-25,33.150001525878906
2012-10-26,33.400001525878906
2012-10-31,33.13999938964844
2012-11-01,33.56999969482422
2012-11-02,32.86000061035156
2012-11-05,32.31999969482422
2012-11-06,31.56999969482422
2012-11-07,30.229999542236328
2012-11-08,30.190000534057617
2012-11-09,28.549999237060547
2012-11-12,29.65999984741211
2012-11-13,29.709999084472656
2012-11-14,29.079999923706055
2012-11-15,28.6200008392334
2012-11-16,29.010000228881836
2012-11-19,29.280000686645508
2012-11-20,28.989999771118164
2012-11-21,28.770000457763672
2012-11-23,28.65999984741211
2012-11-26,28.190000534057617
2012-11-27,28.110000610351562
2012-11-28,30.549999237060547
2012-11-29,31.389999389648438
2012-11-30,37.150001525878906
2012-12-03,35.040000915527344
2012-12-04,35.04999923706055
2012-12-05,34.400001525878906
