,CSTE
2012-03-22,11.109999656677246
2012-03-23,11.010000228881836
2012-03-26,11.15999984741211
2012-03-27,11.199999809265137
2012-03-28,11.960000038146973
2012-03-29,11.680000305175781
2012-03-30,11.619999885559082
2012-04-02,11.699999809265137
2012-04-03,11.699999809265137
2012-04-04,11.770000457763672
2012-04-05,12.319999694824219
2012-04-09,12.199999809265137
2012-04-10,12.210000038146973
2012-04-11,12.210000038146973
2012-04-12,12.300000190734863
2012-04-13,12.4399995803833
2012-04-16,12.369999885559082
2012-04-17,12.399999618530273
2012-04-18,12.350000381469727
2012-04-19,12.40999984741211
2012-04-20,12.359999656677246
2012-04-23,12.3100004196167
2012-04-24,12.300000190734863
2012-04-25,12.260000228881836
2012-04-26,12.369999885559082
2012-04-27,12.25
2012-04-30,12.380000114440918
2012-05-01,13.010000228881836
2012-05-02,13.25
2012-05-03,13.25
2012-05-04,12.800000190734863
2012-05-07,13.09000015258789
2012-05-08,13.0
2012-05-09,12.949999809265137
2012-05-10,12.9399995803833
2012-05-11,13.0
2012-05-14,12.970000267028809
2012-05-15,12.770000457763672
2012-05-16,12.600000381469727
2012-05-17,12.149999618530273
2012-05-18,12.350000381469727
2012-05-21,12.25
2012-05-22,11.569999694824219
2012-05-23,11.050000190734863
2012-05-24,11.449999809265137
2012-05-25,11.8100004196167
2012-05-29,12.09000015258789
2012-05-30,11.779999732971191
2012-05-31,12.029999732971191
2012-06-01,11.699999809265137
2012-06-04,11.869999885559082
2012-06-05,11.760000228881836
2012-06-06,11.960000038146973
2012-06-07,11.869999885559082
2012-06-08,11.800000190734863
2012-06-11,11.899999618530273
2012-06-12,11.899999618530273
2012-06-13,11.84000015258789
2012-06-14,11.90999984741211
2012-06-15,11.729999542236328
2012-06-18,11.8100004196167
2012-06-19,12.010000228881836
2012-06-20,11.90999984741211
2012-06-21,12.149999618530273
2012-06-22,11.789999961853027
2012-06-25,11.770000457763672
2012-06-26,11.9399995803833
2012-06-27,12.050000190734863
2012-06-28,12.15999984741211
2012-06-29,12.149999618530273
2012-07-02,12.050000190734863
2012-07-03,12.050000190734863
2012-07-05,12.010000228881836
2012-07-06,12.0
2012-07-09,11.6899995803833
2012-07-10,11.779999732971191
2012-07-11,11.770000457763672
2012-07-12,11.619999885559082
2012-07-13,11.34000015258789
2012-07-16,11.1899995803833
2012-07-17,11.649999618530273
2012-07-18,11.520000457763672
2012-07-19,11.989999771118164
2012-07-20,11.479999542236328
2012-07-23,11.739999771118164
2012-07-24,11.220000267028809
2012-07-25,11.970000267028809
2012-07-26,11.84000015258789
2012-07-27,11.859999656677246
2012-07-30,11.739999771118164
2012-07-31,11.739999771118164
2012-08-01,11.319999694824219
2012-08-02,11.579999923706055
2012-08-03,11.59000015258789
2012-08-06,11.649999618530273
2012-08-07,11.449999809265137
2012-08-08,11.279999732971191
