,EAST
2017-01-03,5.849999904632568
2017-01-04,5.730000019073486
2017-01-05,5.400000095367432
2017-01-06,5.400000095367432
2017-01-09,5.400000095367432
2017-01-10,5.550000190734863
2017-01-11,5.550000190734863
2017-01-12,5.550000190734863
2017-01-13,6.630000114440918
2017-01-17,7.5
2017-01-18,5.699999809265137
2017-01-19,5.699999809265137
2017-01-20,7.199999809265137
2017-01-23,7.050000190734863
2017-01-24,6.0
2017-01-25,6.0
2017-01-26,6.0
2017-01-27,6.0
2017-01-30,5.699999809265137
2017-01-31,6.300000190734863
2017-02-01,5.400000095367432
2017-02-02,5.400000095367432
2017-02-03,5.400000095367432
2017-02-06,5.25
2017-02-07,5.25
2017-02-08,5.25
2017-02-09,5.25
2017-02-10,5.25
2017-02-13,5.25
2017-02-14,5.25
2017-02-15,5.25
2017-02-16,5.25
2017-02-17,5.099999904632568
2017-02-21,4.650000095367432
2017-02-22,4.949999809265137
2017-02-23,4.949999809265137
2017-02-24,4.949999809265137
2017-02-27,4.949999809265137
2017-02-28,5.25
2017-03-01,4.650000095367432
2017-03-02,4.949999809265137
2017-03-03,4.800000190734863
2017-03-06,4.650000095367432
2017-03-07,4.349999904632568
2017-03-08,4.349999904632568
2017-03-09,4.5
2017-03-10,4.5
2017-03-13,4.5
2017-03-14,4.5
2017-03-15,4.619999885559082
2017-03-16,4.5
2017-03-17,4.5
2017-03-20,4.5
2017-03-21,4.5
2017-03-22,4.5
2017-03-23,4.5
2017-03-24,4.349999904632568
2017-03-27,4.349999904632568
2017-03-28,4.5
2017-03-29,4.349999904632568
2017-03-30,4.349999904632568
2017-03-31,4.380000114440918
2017-04-03,4.800000190734863
2017-04-04,4.829999923706055
2017-04-05,4.800000190734863
2017-04-06,4.769999980926514
2017-04-07,4.739999771118164
2017-04-10,4.920000076293945
2017-04-11,4.454999923706055
2017-04-12,4.5
2017-04-13,4.949999809265137
2017-04-17,4.949999809265137
2017-04-18,4.949999809265137
2017-04-19,5.099999904632568
2017-04-20,4.800000190734863
2017-04-21,4.050000190734863
2017-04-24,4.5
2017-04-25,4.5
2017-04-26,4.5
2017-04-27,4.5
2017-04-28,4.199999809265137
2017-05-01,4.800000190734863
2017-05-02,4.739999771118164
2017-05-03,4.800000190734863
2017-05-04,4.800000190734863
2017-05-05,4.739999771118164
2017-05-08,4.5
2017-05-09,4.710000038146973
2017-05-10,4.679999828338623
2017-05-11,4.739999771118164
2017-05-12,4.739999771118164
2017-05-15,5.789999961853027
2017-05-16,6.0
2017-05-17,6.119999885559082
2017-05-18,6.0
2017-05-19,6.144000053405762
2017-05-22,6.179999828338623
2017-05-23,6.0
2017-05-24,6.119999885559082
2017-05-25,6.119999885559082
2017-05-26,6.0
2017-05-30,6.0
2017-05-31,6.2820000648498535
2017-06-01,6.150000095367432
2017-06-02,6.0
2017-06-05,6.0
2017-06-06,5.489999771118164
2017-06-07,5.099999904632568
2017-06-08,5.010000228881836
2017-06-09,4.829999923706055
2017-06-12,5.070000171661377
2017-06-13,4.5
2017-06-14,4.5
2017-06-15,6.75
2017-06-16,6.699999809265137
2017-06-19,5.28000020980835
2017-06-20,4.5
2017-06-21,4.0
2017-06-22,5.25
2017-06-23,5.75
2017-06-26,6.199999809265137
2017-06-27,5.989999771118164
2017-06-28,5.900000095367432
2017-06-29,5.78000020980835
2017-06-30,5.900000095367432
2017-07-03,6.0
2017-07-05,6.0
2017-07-06,5.849999904632568
2017-07-07,5.800000190734863
2017-07-10,6.349999904632568
2017-07-11,5.849999904632568
2017-07-12,6.0
2017-07-13,5.800000190734863
2017-07-14,6.25
2017-07-17,6.099999904632568
2017-07-18,5.940000057220459
2017-07-19,6.190000057220459
2017-07-20,6.0
2017-07-21,6.25
2017-07-24,6.5
2017-07-25,6.199999809265137
2017-07-26,6.699999809265137
2017-07-27,6.5
2017-07-28,6.349999904632568
2017-07-31,6.71999979019165
2017-08-01,6.5
2017-08-02,6.0
2017-08-03,6.0
2017-08-04,6.300000190734863
2017-08-07,6.5
2017-08-08,6.5
2017-08-09,6.199999809265137
2017-08-10,3.4000000953674316
2017-08-11,3.5
2017-08-14,3.75
2017-08-15,3.799999952316284
2017-08-16,3.9700000286102295
2017-08-17,3.75
2017-08-18,3.940000057220459
2017-08-21,4.0
2017-08-22,3.9000000953674316
2017-08-23,3.950000047683716
2017-08-24,4.010000228881836
2017-08-25,3.996000051498413
2017-08-28,3.869999885559082
2017-08-29,4.0
2017-08-30,3.9800000190734863
2017-08-31,3.890000104904175
2017-09-01,3.9000000953674316
2017-09-05,3.8499999046325684
2017-09-06,4.099999904632568
2017-09-07,3.9100000858306885
2017-09-08,4.050000190734863
2017-09-11,4.099999904632568
2017-09-12,4.050000190734863
2017-09-13,4.050000190734863
2017-09-14,4.050000190734863
2017-09-15,3.7799999713897705
2017-09-18,3.7799999713897705
2017-09-19,3.759999990463257
2017-09-20,3.700000047683716
2017-09-21,3.690000057220459
2017-09-22,3.799999952316284
2017-09-25,3.609999895095825
2017-09-26,3.630000114440918
2017-09-27,3.9800000190734863
2017-09-28,3.9700000286102295
2017-09-29,3.989000082015991
2017-10-02,4.0
2017-10-03,3.9600000381469727
2017-10-04,4.010000228881836
2017-10-05,4.050000190734863
2017-10-06,4.050000190734863
2017-10-09,4.0
2017-10-10,4.034999847412109
2017-10-11,3.9200000762939453
2017-10-12,3.809999942779541
2017-10-13,3.9000000953674316
2017-10-16,3.859999895095825
2017-10-17,3.9100000858306885
2017-10-18,3.809999942779541
2017-10-19,4.0
2017-10-20,3.946000099182129
2017-10-23,4.059999942779541
2017-10-24,3.9700000286102295
2017-10-25,4.039999961853027
2017-10-26,3.9600000381469727
2017-10-27,3.990000009536743
2017-10-30,4.070000171661377
2017-10-31,3.9600000381469727
2017-11-01,4.0
2017-11-02,4.020999908447266
2017-11-03,4.0
2017-11-06,3.9609999656677246
2017-11-07,4.0
2017-11-08,3.943000078201294
2017-11-09,3.940000057220459
2017-11-10,4.059999942779541
2017-11-13,4.099999904632568
2017-11-14,4.03000020980835
2017-11-15,4.090000152587891
2017-11-16,4.349999904632568
2017-11-17,5.690000057220459
2017-11-20,4.78000020980835
2017-11-21,4.860000133514404
2017-11-22,5.074999809265137
2017-11-24,5.139999866485596
2017-11-27,5.010000228881836
2017-11-28,4.989999771118164
2017-11-29,5.010000228881836
2017-11-30,5.079999923706055
2017-12-01,4.980000019073486
2017-12-04,4.929999828338623
2017-12-05,4.840000152587891
2017-12-06,4.590000152587891
2017-12-07,4.820000171661377
2017-12-08,4.800000190734863
2017-12-11,4.619999885559082
2017-12-12,4.559999942779541
2017-12-13,4.460000038146973
2017-12-14,4.329999923706055
2017-12-15,4.369999885559082
2017-12-18,4.489999771118164
2017-12-19,4.460000038146973
2017-12-20,4.449999809265137
2017-12-21,4.480000019073486
2017-12-22,4.539999961853027
2017-12-26,4.25
2017-12-27,4.125
2017-12-28,3.9100000858306885
2017-12-29,4.03000020980835
2018-01-02,3.9000000953674316
2018-01-03,3.990000009536743
2018-01-04,3.869999885559082
2018-01-05,4.0
2018-01-08,3.9210000038146973
2018-01-09,4.03000020980835
2018-01-10,4.045000076293945
2018-01-11,3.990000009536743
2018-01-12,4.070000171661377
2018-01-16,4.179999828338623
2018-01-17,4.059999942779541
2018-01-18,4.130000114440918
2018-01-19,4.159999847412109
2018-01-22,4.369999885559082
2018-01-23,4.260000228881836
2018-01-24,4.320000171661377
2018-01-25,4.300000190734863
2018-01-26,4.230000019073486
2018-01-29,4.199999809265137
2018-01-30,4.320000171661377
2018-01-31,5.051000118255615
2018-02-01,5.300000190734863
2018-02-02,5.269999980926514
2018-02-05,5.223999977111816
2018-02-06,4.849999904632568
2018-02-07,4.980000019073486
2018-02-08,5.110000133514404
2018-02-09,5.099999904632568
2018-02-12,5.119999885559082
2018-02-13,5.0
2018-02-14,5.099999904632568
2018-02-15,5.090000152587891
2018-02-16,5.199999809265137
2018-02-20,5.099999904632568
2018-02-21,5.007999897003174
2018-02-22,5.0
2018-02-23,4.96999979019165
2018-02-26,4.949999809265137
2018-02-27,5.269999980926514
2018-02-28,5.389999866485596
2018-03-01,6.329999923706055
2018-03-02,6.201000213623047
2018-03-05,6.5
2018-03-06,6.889999866485596
2018-03-07,7.150000095367432
2018-03-08,7.300000190734863
2018-03-09,6.849999904632568
2018-03-12,6.5
2018-03-13,6.929999828338623
2018-03-14,7.130000114440918
2018-03-15,7.389999866485596
2018-03-16,7.75
2018-03-19,7.263999938964844
2018-03-20,7.480000019073486
2018-03-21,7.349999904632568
2018-03-22,7.289999961853027
2018-03-23,7.400000095367432
2018-03-26,7.429999828338623
2018-03-27,7.199999809265137
2018-03-28,7.090000152587891
2018-03-29,7.0
2018-04-02,7.050000190734863
2018-04-03,7.0
2018-04-04,7.239999771118164
2018-04-05,7.25
2018-04-06,7.2179999351501465
2018-04-09,7.104000091552734
2018-04-10,7.150000095367432
2018-04-11,6.949999809265137
2018-04-12,6.599999904632568
2018-04-13,7.139999866485596
2018-04-16,6.822999954223633
2018-04-17,7.190000057220459
2018-04-18,6.800000190734863
2018-04-19,6.995999813079834
2018-04-20,7.0
2018-04-23,6.909999847412109
2018-04-24,7.179999828338623
2018-04-25,7.150000095367432
2018-04-26,7.039999961853027
2018-04-27,7.099999904632568
2018-04-30,7.159999847412109
2018-05-01,7.090000152587891
2018-05-02,7.050000190734863
2018-05-03,7.0
2018-05-04,7.070000171661377
2018-05-07,7.039999961853027
2018-05-08,7.010000228881836
2018-05-09,6.951000213623047
2018-05-10,7.0960001945495605
2018-05-11,7.110000133514404
2018-05-14,7.5
2018-05-15,7.400000095367432
2018-05-16,7.389999866485596
2018-05-17,7.400000095367432
2018-05-18,7.010000228881836
2018-05-21,7.150000095367432
2018-05-22,6.769999980926514
2018-05-23,6.900000095367432
2018-05-24,6.909999847412109
2018-05-25,6.8520002365112305
2018-05-29,6.949999809265137
2018-05-30,6.809999942779541
2018-05-31,6.809999942779541
2018-06-01,7.269999980926514
2018-06-04,7.300000190734863
2018-06-05,7.329999923706055
2018-06-06,7.139999866485596
2018-06-07,7.449999809265137
2018-06-08,7.0
2018-06-11,7.090000152587891
2018-06-12,7.329999923706055
2018-06-13,7.150000095367432
2018-06-14,7.0
2018-06-15,7.079999923706055
2018-06-18,7.019999980926514
2018-06-19,7.389999866485596
2018-06-20,7.900000095367432
2018-06-21,8.890000343322754
2018-06-22,9.25
2018-06-25,8.75
2018-06-26,8.6899995803833
2018-06-27,8.140000343322754
2018-06-28,8.25
2018-06-29,8.5
2018-07-02,8.5
2018-07-03,8.4399995803833
2018-07-05,8.449999809265137
2018-07-06,8.59000015258789
2018-07-09,8.289999961853027
2018-07-10,8.300000190734863
2018-07-11,8.020000457763672
2018-07-12,8.079999923706055
2018-07-13,7.909999847412109
2018-07-16,7.849999904632568
2018-07-17,8.140000343322754
2018-07-18,8.3100004196167
2018-07-19,8.350000381469727
2018-07-20,8.239999771118164
2018-07-23,8.100000381469727
2018-07-24,7.699999809265137
2018-07-25,7.699999809265137
2018-07-26,7.75
2018-07-27,7.739999771118164
2018-07-30,7.920000076293945
2018-07-31,7.96999979019165
2018-08-01,8.0
2018-08-02,8.0
2018-08-03,7.46999979019165
2018-08-06,7.46999979019165
2018-08-07,7.099999904632568
2018-08-08,7.150000095367432
2018-08-09,7.46999979019165
2018-08-10,7.900000095367432
2018-08-13,8.0
2018-08-14,7.650000095367432
2018-08-15,7.400000095367432
2018-08-16,7.5
2018-08-17,7.690000057220459
2018-08-20,7.690000057220459
2018-08-21,7.320000171661377
2018-08-22,7.349999904632568
2018-08-23,7.5
2018-08-24,7.639999866485596
2018-08-27,7.699999809265137
2018-08-28,7.480000019073486
2018-08-29,7.510000228881836
2018-08-30,7.550000190734863
2018-08-31,7.300000190734863
2018-09-04,7.599999904632568
2018-09-05,7.539999961853027
2018-09-06,7.590000152587891
2018-09-07,7.679999828338623
2018-09-10,7.550000190734863
2018-09-11,7.75
2018-09-12,7.75
2018-09-13,7.75
2018-09-14,7.820000171661377
2018-09-17,7.699999809265137
2018-09-18,7.699999809265137
2018-09-19,7.800000190734863
2018-09-20,7.849999904632568
2018-09-21,8.390000343322754
2018-09-24,8.59000015258789
2018-09-25,8.460000038146973
2018-09-26,8.399999618530273
2018-09-27,8.229999542236328
2018-09-28,8.199999809265137
2018-10-01,7.989999771118164
2018-10-02,7.980000019073486
2018-10-03,7.940000057220459
2018-10-04,7.940000057220459
2018-10-05,7.949999809265137
2018-10-08,7.920000076293945
2018-10-09,7.900000095367432
2018-10-10,7.900000095367432
2018-10-11,7.590000152587891
2018-10-12,7.789999961853027
2018-10-15,7.869999885559082
2018-10-16,8.199999809265137
2018-10-17,8.0
2018-10-18,7.829999923706055
2018-10-19,8.199999809265137
2018-10-22,8.039999961853027
2018-10-23,7.800000190734863
2018-10-24,7.71999979019165
2018-10-25,7.650000095367432
2018-10-26,7.650000095367432
2018-10-29,7.849999904632568
2018-10-30,7.699999809265137
2018-10-31,7.800000190734863
2018-11-01,8.079999923706055
2018-11-02,7.650000095367432
2018-11-05,8.4399995803833
2018-11-06,8.399999618530273
2018-11-07,8.300000190734863
2018-11-08,8.199999809265137
2018-11-09,7.949999809265137
2018-11-12,7.650000095367432
2018-11-13,8.0
2018-11-14,7.980000019073486
2018-11-15,7.800000190734863
2018-11-16,7.5
2018-11-19,7.440000057220459
2018-11-20,6.050000190734863
2018-11-21,6.380000114440918
2018-11-23,6.409999847412109
2018-11-26,6.440000057220459
2018-11-27,6.204999923706055
2018-11-28,6.340000152587891
2018-11-29,6.349999904632568
2018-11-30,6.369999885559082
2018-12-03,6.25
2018-12-04,6.400000095367432
2018-12-06,6.300000190734863
2018-12-07,6.25
2018-12-10,6.300000190734863
2018-12-11,6.170000076293945
2018-12-12,6.130000114440918
2018-12-13,6.150000095367432
2018-12-14,6.170000076293945
2018-12-17,6.130000114440918
2018-12-18,6.010000228881836
2018-12-19,6.28000020980835
2018-12-20,6.199999809265137
2018-12-21,5.989999771118164
2018-12-24,5.989999771118164
2018-12-26,6.150000095367432
2018-12-27,6.039999961853027
2018-12-28,6.099999904632568
2018-12-31,6.179999828338623
2019-01-02,6.0
2019-01-03,6.400000095367432
2019-01-04,6.409999847412109
2019-01-07,6.269999980926514
2019-01-08,6.099999904632568
2019-01-09,6.130000114440918
2019-01-10,6.130000114440918
2019-01-11,6.150000095367432
2019-01-14,6.090000152587891
2019-01-15,6.300000190734863
2019-01-16,6.329999923706055
2019-01-17,6.389999866485596
2019-01-18,6.400000095367432
2019-01-22,6.230000019073486
2019-01-23,6.090000152587891
2019-01-24,6.050000190734863
2019-01-25,6.019999980926514
2019-01-28,5.909999847412109
2019-01-29,6.139999866485596
2019-01-30,6.019999980926514
2019-01-31,6.389999866485596
2019-02-01,6.230000019073486
2019-02-04,6.260000228881836
2019-02-05,6.190000057220459
2019-02-06,6.199999809265137
2019-02-07,6.150000095367432
2019-02-08,6.0
2019-02-11,5.980000019073486
2019-02-12,6.25
2019-02-13,6.170000076293945
2019-02-14,5.880000114440918
2019-02-15,6.079999923706055
2019-02-19,5.980000019073486
2019-02-20,5.929999828338623
2019-02-21,6.039999961853027
2019-02-22,6.03000020980835
2019-02-25,5.989999771118164
2019-02-26,5.900000095367432
2019-02-27,5.849999904632568
2019-02-28,5.710000038146973
2019-03-01,5.699999809265137
2019-03-04,5.989999771118164
2019-03-05,5.75
2019-03-06,5.619999885559082
2019-03-07,5.699999809265137
2019-03-08,5.800000190734863
2019-03-11,5.710000038146973
2019-03-12,6.0
2019-03-13,5.849999904632568
2019-03-14,5.849999904632568
2019-03-15,5.929999828338623
2019-03-18,6.130000114440918
2019-03-19,6.099999904632568
2019-03-20,6.070000171661377
2019-03-21,5.929999828338623
2019-03-22,5.940000057220459
2019-03-25,5.860000133514404
2019-03-26,5.800000190734863
2019-03-27,5.849999904632568
2019-03-28,5.929999828338623
2019-03-29,5.809999942779541
2019-04-01,5.800000190734863
2019-04-02,6.110000133514404
2019-04-03,6.119999885559082
2019-04-04,6.099999904632568
2019-04-05,6.130000114440918
2019-04-08,6.03000020980835
2019-04-09,6.150000095367432
2019-04-10,6.0
2019-04-11,5.980000019073486
2019-04-12,6.0
2019-04-15,5.940000057220459
2019-04-16,5.860000133514404
2019-04-17,5.869999885559082
2019-04-18,5.840000152587891
2019-04-22,5.78000020980835
2019-04-23,5.949999809265137
2019-04-24,6.0
2019-04-25,6.039999961853027
2019-04-26,6.0
2019-04-29,6.050000190734863
2019-04-30,6.0
2019-05-01,5.900000095367432
2019-05-02,6.050000190734863
2019-05-03,6.0
2019-05-06,5.710000038146973
2019-05-07,5.639999866485596
2019-05-08,5.704999923706055
2019-05-09,5.849999904632568
2019-05-10,5.650000095367432
2019-05-13,5.320000171661377
2019-05-14,5.090000152587891
2019-05-15,5.150000095367432
2019-05-16,5.039999961853027
2019-05-17,5.03000020980835
2019-05-20,4.860000133514404
2019-05-21,4.909999847412109
2019-05-22,5.0
2019-05-23,4.940000057220459
2019-05-24,4.809999942779541
2019-05-28,4.800000190734863
2019-05-29,4.949999809265137
2019-05-30,4.550000190734863
2019-05-31,4.599999904632568
2019-06-03,4.699999809265137
2019-06-04,4.78000020980835
2019-06-05,4.800000190734863
2019-06-06,4.599999904632568
2019-06-07,4.679999828338623
2019-06-10,4.5
2019-06-11,4.46999979019165
2019-06-12,4.5
2019-06-13,4.369999885559082
2019-06-14,4.480000019073486
2019-06-17,4.179999828338623
2019-06-18,4.320000171661377
2019-06-19,4.460000038146973
2019-06-20,4.46999979019165
2019-06-21,4.550000190734863
2019-06-24,4.349999904632568
2019-06-25,4.420000076293945
2019-06-26,4.199999809265137
2019-06-27,4.369999885559082
2019-06-28,4.5
2019-07-01,4.550000190734863
2019-07-02,4.440000057220459
2019-07-03,4.539999961853027
2019-07-05,4.5
2019-07-08,4.449999809265137
2019-07-09,4.480000019073486
2019-07-10,4.400000095367432
2019-07-11,4.429999828338623
2019-07-12,4.429999828338623
2019-07-15,4.599999904632568
2019-07-16,4.550000190734863
2019-07-17,4.46999979019165
2019-07-18,4.130000114440918
2019-07-19,4.400000095367432
2019-07-22,3.680000066757202
2019-07-23,3.9800000190734863
2019-07-24,3.950000047683716
2019-07-25,4.139999866485596
2019-07-26,4.199999809265137
2019-07-29,4.179999828338623
2019-07-30,4.230000019073486
2019-07-31,4.199999809265137
2019-08-01,4.199999809265137
2019-08-02,4.110000133514404
2019-08-05,4.289999961853027
2019-08-06,4.300000190734863
2019-08-07,4.070000171661377
2019-08-08,4.159999847412109
2019-08-09,4.039999961853027
2019-08-12,4.0
2019-08-13,4.0
2019-08-14,4.0
2019-08-15,4.010000228881836
2019-08-16,4.099999904632568
2019-08-19,4.239999771118164
2019-08-20,4.449999809265137
2019-08-21,4.519999980926514
2019-08-22,4.880000114440918
2019-08-23,4.610000133514404
2019-08-26,5.050000190734863
2019-08-27,5.039999961853027
2019-08-28,5.019999980926514
2019-08-29,5.170000076293945
2019-08-30,5.275000095367432
2019-09-03,5.289999961853027
2019-09-04,5.260000228881836
2019-09-05,5.170000076293945
2019-09-06,5.130000114440918
2019-09-09,5.0
2019-09-10,5.010000228881836
2019-09-11,5.059999942779541
2019-09-12,5.159999847412109
2019-09-13,5.21999979019165
2019-09-16,5.0
2019-09-17,5.090000152587891
2019-09-18,4.900000095367432
2019-09-19,4.75
2019-09-20,4.960000038146973
2019-09-23,4.869999885559082
2019-09-24,5.0
2019-09-25,5.0
2019-09-26,5.0
2019-09-27,4.920000076293945
2019-09-30,4.889999866485596
2019-10-01,4.679999828338623
2019-10-02,4.630000114440918
2019-10-03,4.639999866485596
2019-10-04,4.659999847412109
2019-10-07,4.699999809265137
2019-10-08,4.699999809265137
2019-10-09,4.599999904632568
2019-10-10,4.489999771118164
2019-10-11,4.880000114440918
2019-10-14,4.840000152587891
2019-10-15,4.889999866485596
2019-10-16,5.0
2019-10-17,4.880000114440918
2019-10-18,4.880000114440918
2019-10-21,4.900000095367432
2019-10-22,4.880000114440918
2019-10-23,5.0
2019-10-24,4.940000057220459
2019-10-25,4.570000171661377
2019-10-28,4.329999923706055
2019-10-29,4.25
2019-10-30,4.230000019073486
2019-10-31,4.260000228881836
2019-11-01,4.25
2019-11-04,4.190000057220459
2019-11-05,4.230000019073486
2019-11-06,3.990000009536743
2019-11-07,4.050000190734863
2019-11-08,3.990000009536743
2019-11-11,3.890000104904175
2019-11-12,3.950000047683716
2019-11-13,3.740000009536743
2019-11-14,3.569999933242798
2019-11-15,3.5
2019-11-18,3.2100000381469727
2019-11-19,2.930000066757202
2019-11-20,2.880000114440918
2019-11-21,3.5
2019-11-22,3.390000104904175
2019-11-25,3.1700000762939453
2019-11-26,3.259999990463257
2019-11-27,3.2699999809265137
2019-11-29,3.1500000953674316
2019-12-02,3.0799999237060547
2019-12-03,3.0
2019-12-04,3.0199999809265137
2019-12-05,2.990000009536743
2019-12-06,3.0
2019-12-09,3.059999942779541
2019-12-10,2.9600000381469727
2019-12-11,2.930000066757202
2019-12-12,2.930000066757202
2019-12-13,2.799999952316284
2019-12-16,2.609999895095825
2019-12-17,2.7300000190734863
2019-12-18,3.2799999713897705
2019-12-19,3.2899999618530273
2019-12-20,3.259999990463257
2019-12-23,3.0999999046325684
2019-12-24,2.990000009536743
2019-12-26,2.9800000190734863
2019-12-27,3.0
2019-12-30,3.0
2019-12-31,2.950000047683716
2020-01-02,3.0999999046325684
2020-01-03,3.2200000286102295
2020-01-06,3.4100000858306885
2020-01-07,3.2899999618530273
2020-01-08,3.299999952316284
2020-01-09,3.1700000762939453
2020-01-10,3.180000066757202
2020-01-13,3.0799999237060547
2020-01-14,3.0399999618530273
2020-01-15,3.200000047683716
2020-01-16,3.0799999237060547
2020-01-17,3.1500000953674316
2020-01-21,3.0899999141693115
2020-01-22,3.450000047683716
2020-01-23,3.4800000190734863
2020-01-24,3.299999952316284
2020-01-27,3.1500000953674316
2020-01-28,3.1500000953674316
2020-01-29,3.299999952316284
2020-01-30,3.75
2020-01-31,3.640000104904175
2020-02-03,3.5199999809265137
2020-02-04,3.6500000953674316
2020-02-05,3.5399999618530273
2020-02-06,3.5999999046325684
2020-02-07,3.700000047683716
2020-02-10,3.680000066757202
2020-02-11,3.700000047683716
2020-02-12,3.700000047683716
2020-02-13,3.6500000953674316
2020-02-14,3.6500000953674316
2020-02-18,3.5799999237060547
2020-02-19,3.5999999046325684
2020-02-20,3.5899999141693115
2020-02-21,3.5999999046325684
2020-02-24,3.5
2020-02-25,3.4649999141693115
2020-02-26,3.380000114440918
2020-02-27,3.200000047683716
2020-02-28,2.990000009536743
2020-03-02,2.799999952316284
2020-03-03,2.5999999046325684
2020-03-04,2.5299999713897705
2020-03-05,2.4600000381469727
2020-03-06,2.450000047683716
2020-03-09,2.140000104904175
2020-03-10,2.1500000953674316
2020-03-11,1.9700000286102295
2020-03-12,1.7100000381469727
2020-03-13,1.7799999713897705
2020-03-16,1.5
2020-03-17,1.5499999523162842
2020-03-18,1.5
2020-03-19,1.25
2020-03-20,1.2000000476837158
2020-03-23,1.149999976158142
2020-03-24,1.1200000047683716
2020-03-25,1.1200000047683716
2020-03-26,1.100000023841858
2020-03-27,1.3899999856948853
2020-03-30,1.2799999713897705
2020-03-31,1.159999966621399
2020-04-01,1.0499999523162842
2020-04-02,1.0
2020-04-03,1.0199999809265137
2020-04-06,1.100000023841858
2020-04-07,1.159999966621399
2020-04-08,1.1799999475479126
2020-04-09,1.100000023841858
2020-04-13,1.0800000429153442
2020-04-14,1.159999966621399
2020-04-15,1.2599999904632568
2020-04-16,1.2100000381469727
2020-04-17,1.4700000286102295
2020-04-20,1.7100000381469727
2020-04-21,1.7300000190734863
2020-04-22,1.649999976158142
2020-04-23,1.7400000095367432
2020-04-24,1.9700000286102295
2020-04-27,2.0
2020-04-28,2.0
2020-04-29,2.0
2020-04-30,1.9299999475479126
2020-05-01,1.8250000476837158
2020-05-04,1.8300000429153442
2020-05-05,1.809999942779541
2020-05-06,1.8799999952316284
2020-05-07,1.9199999570846558
2020-05-08,1.9299999475479126
2020-05-11,1.8300000429153442
2020-05-12,1.899999976158142
2020-05-13,1.899999976158142
2020-05-14,1.9199999570846558
2020-05-15,1.7300000190734863
2020-05-18,1.809999942779541
2020-05-19,1.7699999809265137
2020-05-20,1.7400000095367432
2020-05-21,1.6799999475479126
2020-05-22,1.600000023841858
2020-05-26,1.600000023841858
2020-05-27,1.5199999809265137
2020-05-28,1.5199999809265137
2020-05-29,1.5399999618530273
2020-06-01,1.5299999713897705
2020-06-02,1.399999976158142
2020-06-03,1.4700000286102295
2020-06-04,1.4800000190734863
2020-06-05,1.6100000143051147
2020-06-08,1.6799999475479126
2020-06-09,1.7300000190734863
2020-06-10,1.6799999475479126
2020-06-11,1.4199999570846558
2020-06-12,1.4129999876022339
2020-06-15,1.409999966621399
2020-06-16,1.440000057220459
2020-06-17,1.440000057220459
2020-06-18,1.3600000143051147
2020-06-19,1.4199999570846558
2020-06-22,1.4700000286102295
2020-06-23,1.4900000095367432
2020-06-24,1.534999966621399
2020-06-25,1.4700000286102295
2020-06-26,1.4299999475479126
2020-06-29,1.4500000476837158
2020-06-30,1.4500000476837158
2020-07-01,1.399999976158142
2020-07-02,1.25
2020-07-06,1.2599999904632568
2020-07-07,1.2699999809265137
2020-07-08,1.2599999904632568
