,FERG
2010-01-05,22.175289154052734
2010-01-06,22.175289154052734
2010-01-07,22.175289154052734
2010-01-08,24.392818450927734
2010-01-11,24.128828048706055
2010-01-12,24.128828048706055
2010-01-13,25.18479347229004
2010-01-14,25.18479347229004
2010-01-15,25.18479347229004
2010-01-19,25.18479347229004
2010-01-20,25.18479347229004
2010-01-21,24.868003845214844
2010-01-22,24.868003845214844
2010-01-25,24.868003845214844
2010-01-26,24.762407302856445
2010-01-27,24.762407302856445
2010-01-28,23.44244956970215
2010-01-29,23.44244956970215
2010-02-01,23.44244956970215
2010-02-02,23.44244956970215
2010-02-03,23.44244956970215
2010-02-04,23.44244956970215
2010-02-05,22.96726417541504
2010-02-08,22.96726417541504
2010-02-09,22.96726417541504
2010-02-10,22.96726417541504
2010-02-11,22.96726417541504
2010-02-12,22.96726417541504
2010-02-16,22.96726417541504
2010-02-17,22.96726417541504
2010-02-18,22.96726417541504
2010-02-19,22.96726417541504
2010-02-22,22.96726417541504
2010-02-23,26.346357345581055
2010-02-24,26.346357345581055
2010-02-25,26.346357345581055
2010-02-26,26.346357345581055
2010-03-01,25.07919692993164
2010-03-02,25.343189239501953
2010-03-03,25.07919692993164
2010-03-04,25.07919692993164
2010-03-05,25.07919692993164
2010-03-08,25.07919692993164
2010-03-09,25.07919692993164
2010-03-10,25.07919692993164
2010-03-11,25.07919692993164
2010-03-12,25.07919692993164
2010-03-15,25.07919692993164
2010-03-16,25.07919692993164
2010-03-17,25.07919692993164
2010-03-18,26.29355812072754
2010-03-19,26.29355812072754
2010-03-22,26.29355812072754
2010-03-23,26.29355812072754
2010-03-24,26.29355812072754
2010-03-25,26.29355812072754
2010-03-26,26.29355812072754
2010-03-29,25.343189239501953
2010-03-30,25.343189239501953
2010-03-31,25.343189239501953
2010-04-01,25.343189239501953
2010-04-05,25.617740631103516
2010-04-06,25.617740631103516
2010-04-07,25.617740631103516
2010-04-08,25.617740631103516
2010-04-09,25.617740631103516
2010-04-12,25.617740631103516
2010-04-13,25.617740631103516
2010-04-14,25.617740631103516
2010-04-15,25.617740631103516
2010-04-16,25.607181549072266
2010-04-19,25.607181549072266
2010-04-20,25.607181549072266
2010-04-21,25.607181549072266
2010-04-22,25.607181549072266
2010-04-23,25.607181549072266
2010-04-26,25.607181549072266
2010-04-27,25.607181549072266
2010-04-28,25.607181549072266
2010-04-29,25.607181549072266
2010-04-30,25.607181549072266
2010-05-03,25.607181549072266
2010-05-04,25.607181549072266
2010-05-05,25.607181549072266
2010-05-06,25.607181549072266
2010-05-07,25.607181549072266
2010-05-10,25.607181549072266
2010-05-11,24.023231506347656
2010-05-12,24.023231506347656
2010-05-13,24.023231506347656
2010-05-14,24.023231506347656
2010-05-17,24.023231506347656
2010-05-18,24.023231506347656
2010-05-19,24.83632469177246
2010-05-20,24.83632469177246
2010-05-21,24.83632469177246
2010-05-24,24.83632469177246
2010-05-25,24.83632469177246
2010-05-26,24.83632469177246
2010-05-27,24.83632469177246
2010-05-28,24.83632469177246
2010-06-01,24.83632469177246
2010-06-02,24.83632469177246
2010-06-03,24.83632469177246
2010-06-04,24.83632469177246
2010-06-07,24.83632469177246
2010-06-08,24.83632469177246
2010-06-09,24.83632469177246
2010-06-10,24.83632469177246
2010-06-11,24.83632469177246
2010-06-14,24.83632469177246
2010-06-15,24.83632469177246
2010-06-16,24.83632469177246
2010-06-17,24.83632469177246
2010-06-18,24.83632469177246
2010-06-21,24.83632469177246
2010-06-22,24.83632469177246
2010-06-23,23.653642654418945
2010-06-24,23.653642654418945
2010-06-25,23.653642654418945
2010-06-28,23.653642654418945
2010-06-29,23.653642654418945
2010-06-30,23.653642654418945
2010-07-01,23.653642654418945
2010-07-02,21.47835350036621
2010-07-06,21.47835350036621
2010-07-07,21.47835350036621
