,VZ
1983-11-21,7.8971781730651855
1983-11-22,7.869073867797852
1983-11-23,7.826918125152588
1983-11-25,7.742607116699219
1983-11-28,7.531827926635742
1983-11-29,7.447516918182373
1983-11-30,7.447516918182373
1983-12-01,7.447516918182373
1983-12-02,7.433465003967285
1983-12-05,7.3491530418396
1983-12-06,7.377256870269775
1983-12-07,7.447516918182373
1983-12-08,7.4615678787231445
1983-12-09,7.475619792938232
1983-12-12,7.4896721839904785
1983-12-13,7.60208797454834
1983-12-14,7.630191802978516
1983-12-15,7.573984146118164
1983-12-16,7.616139888763428
1983-12-19,7.588036060333252
1983-12-20,7.54587984085083
1983-12-21,7.503724098205566
1983-12-22,7.405361175537109
1983-12-23,7.3632049560546875
1983-12-27,7.321049213409424
1983-12-28,7.377256870269775
1983-12-29,7.3632049560546875
1983-12-30,7.335101127624512
1984-01-03,7.54587984085083
1984-01-04,7.7707109451293945
1984-01-05,7.840970039367676
1984-01-06,7.981489181518555
1984-01-09,7.8831257820129395
1984-01-10,7.911230087280273
1984-01-11,7.925282001495361
1984-01-12,7.981489181518555
1984-01-13,8.037696838378906
1984-01-16,8.107956886291504
1984-01-17,8.178215980529785
1984-01-18,8.206319808959961
1984-01-19,8.206319808959961
1984-01-20,8.262528419494629
1984-01-23,8.220372200012207
1984-01-24,8.206319808959961
1984-01-25,8.220372200012207
1984-01-26,8.178215980529785
1984-01-27,8.290632247924805
1984-01-30,8.262528419494629
1984-01-31,8.304683685302734
1984-02-01,8.332786560058594
1984-02-02,8.403046607971191
1984-02-03,8.276579856872559
1984-02-06,8.234423637390137
1984-02-07,8.220372200012207
1984-02-08,7.925282001495361
1984-02-09,7.939333915710449
1984-02-10,7.8971781730651855
1984-02-13,7.8831257820129395
1984-02-14,7.981489181518555
1984-02-15,8.037696838378906
1984-02-16,8.15011215209961
1984-02-17,8.15011215209961
1984-02-21,8.065800666809082
1984-02-22,7.967438220977783
1984-02-23,7.8831257820129395
1984-02-24,7.995541095733643
1984-02-27,7.967438220977783
1984-02-28,7.826918125152588
1984-02-29,7.953385829925537
1984-03-01,8.079853057861328
1984-03-02,8.192268371582031
1984-03-05,8.037696838378906
1984-03-06,8.051749229431152
1984-03-07,8.023645401000977
1984-03-08,8.00959300994873
1984-03-09,7.939333915710449
1984-03-12,7.939333915710449
1984-03-13,7.953385829925537
1984-03-14,7.967438220977783
1984-03-15,7.953385829925537
1984-03-16,8.051749229431152
1984-03-19,7.967438220977783
1984-03-20,8.023645401000977
1984-03-21,7.995541095733643
1984-03-22,7.981489181518555
1984-03-23,8.023645401000977
1984-03-26,7.8831257820129395
1984-03-27,7.8831257820129395
1984-03-28,7.8971781730651855
1984-03-29,7.925282001495361
1984-03-30,7.911230087280273
1984-04-02,7.8128662109375
1984-04-03,7.8128662109375
1984-04-04,7.728555202484131
1984-04-05,7.630191802978516
1984-04-06,7.672347068786621
1984-04-09,7.559932231903076
1984-04-10,7.559932231903076
1984-04-11,7.4896721839904785
1984-04-12,7.4896721839904785
1984-04-13,7.4615678787231445
1984-04-16,7.447516918182373
1984-04-17,7.54587984085083
1984-04-18,7.517776012420654
1984-04-19,7.503724098205566
1984-04-23,7.531827926635742
1984-04-24,7.644242763519287
1984-04-25,7.742607116699219
1984-04-26,7.869073867797852
1984-04-27,7.784762859344482
1984-04-30,7.742607116699219
1984-05-01,7.855021953582764
1984-05-02,7.939333915710449
1984-05-03,7.967438220977783
1984-05-04,7.8831257820129395
1984-05-07,7.840970039367676
1984-05-08,7.925282001495361
1984-05-09,7.981489181518555
1984-05-10,7.995541095733643
