,ACGLO
2017-08-21,24.989999771118164
2017-08-22,24.979999542236328
2017-08-23,25.06999969482422
2017-08-24,25.020000457763672
2017-08-25,25.049999237060547
2017-08-28,25.079999923706055
2017-08-29,25.1200008392334
2017-08-30,25.190000534057617
2017-08-31,25.299999237060547
2017-09-01,25.209999084472656
2017-09-05,25.239999771118164
2017-09-06,25.229999542236328
2017-09-07,25.15999984741211
2017-09-08,25.100000381469727
2017-09-11,25.25
2017-09-12,25.489999771118164
2017-09-13,25.440000534057617
2017-09-14,25.139999389648438
2017-09-15,25.139999389648438
2017-09-18,25.190000534057617
2017-09-19,25.139999389648438
2017-09-20,25.170000076293945
2017-09-21,25.149999618530273
2017-09-22,25.1299991607666
2017-09-25,25.100000381469727
2017-09-26,25.100000381469727
2017-09-27,25.100000381469727
2017-09-28,25.149999618530273
2017-09-29,25.190000534057617
2017-10-02,25.209999084472656
2017-10-03,25.280000686645508
2017-10-04,25.31999969482422
2017-10-05,25.3700008392334
2017-10-06,25.290000915527344
2017-10-09,25.079999923706055
2017-10-10,25.079999923706055
2017-10-11,25.170000076293945
2017-10-12,25.25
2017-10-13,25.299999237060547
2017-10-16,25.309999465942383
2017-10-17,25.350000381469727
2017-10-18,25.299999237060547
2017-10-19,25.34000015258789
2017-10-20,25.260000228881836
2017-10-23,25.25
2017-10-24,25.329999923706055
2017-10-25,25.229999542236328
2017-10-26,25.200000762939453
2017-10-27,25.280000686645508
2017-10-30,25.260000228881836
2017-10-31,25.34000015258789
2017-11-01,25.299999237060547
2017-11-02,25.329999923706055
2017-11-03,25.31999969482422
2017-11-06,25.31999969482422
2017-11-07,25.34000015258789
2017-11-08,25.309999465942383
2017-11-09,25.31999969482422
2017-11-10,25.260000228881836
2017-11-13,25.280000686645508
2017-11-14,25.299999237060547
2017-11-15,25.280000686645508
2017-11-16,25.329999923706055
2017-11-17,25.459999084472656
2017-11-20,25.520000457763672
2017-11-21,25.420000076293945
2017-11-22,25.5
2017-11-24,25.579999923706055
2017-11-27,25.469999313354492
2017-11-28,25.489999771118164
2017-11-29,25.68000030517578
2017-11-30,25.670000076293945
2017-12-01,25.530000686645508
2017-12-04,25.639999389648438
2017-12-05,25.649999618530273
2017-12-06,25.600000381469727
2017-12-07,25.729999542236328
2017-12-08,25.799999237060547
2017-12-11,25.600000381469727
2017-12-12,25.600000381469727
2017-12-13,25.6200008392334
2017-12-14,25.350000381469727
2017-12-15,25.31999969482422
2017-12-18,25.329999923706055
2017-12-19,25.329999923706055
2017-12-20,25.219999313354492
2017-12-21,25.170000076293945
2017-12-22,25.18000030517578
2017-12-26,25.209999084472656
2017-12-27,25.398000717163086
2017-12-28,25.40999984741211
2017-12-29,25.34000015258789
2018-01-02,25.09000015258789
2018-01-03,25.040000915527344
2018-01-04,25.149999618530273
2018-01-05,25.079999923706055
2018-01-08,25.3799991607666
2018-01-09,25.31999969482422
2018-01-10,25.450000762939453
2018-01-11,25.510000228881836
2018-01-12,25.549999237060547
2018-01-16,25.489999771118164
2018-01-17,25.5
2018-01-18,25.440000534057617
2018-01-19,25.780000686645508
2018-01-22,25.649999618530273
2018-01-23,25.639999389648438
2018-01-24,25.344999313354492
2018-01-25,25.31999969482422
2018-01-26,25.209999084472656
2018-01-29,24.719999313354492
2018-01-30,24.200000762939453
2018-01-31,24.43000030517578
2018-02-01,24.389999389648438
2018-02-02,24.059999465942383
2018-02-05,23.770000457763672
2018-02-06,24.030000686645508
2018-02-07,24.110000610351562
2018-02-08,23.979999542236328
2018-02-09,24.059999465942383
2018-02-12,24.18000030517578
2018-02-13,24.020000457763672
2018-02-14,23.829999923706055
2018-02-15,23.770000457763672
2018-02-16,23.809999465942383
2018-02-20,23.979999542236328
2018-02-21,23.979999542236328
2018-02-22,23.969999313354492
2018-02-23,24.260000228881836
2018-02-26,23.969999313354492
2018-02-27,24.1299991607666
2018-02-28,24.190000534057617
2018-03-01,24.209999084472656
2018-03-02,24.459999084472656
2018-03-05,24.56999969482422
2018-03-06,24.65999984741211
2018-03-07,24.709999084472656
2018-03-08,24.84000015258789
2018-03-09,24.809999465942383
2018-03-12,24.850000381469727
2018-03-13,24.770000457763672
2018-03-14,24.6200008392334
2018-03-15,24.549999237060547
2018-03-16,24.68000030517578
2018-03-19,24.549999237060547
2018-03-20,24.549999237060547
2018-03-21,24.540000915527344
2018-03-22,24.420000076293945
2018-03-23,24.40999984741211
2018-03-26,24.299999237060547
2018-03-27,24.309999465942383
2018-03-28,24.399999618530273
2018-03-29,24.540000915527344
2018-04-02,24.25
2018-04-03,24.290000915527344
2018-04-04,24.3700008392334
2018-04-05,24.360000610351562
2018-04-06,24.350000381469727
2018-04-09,24.200000762939453
2018-04-10,24.06999969482422
2018-04-11,24.360000610351562
2018-04-12,24.469999313354492
2018-04-13,24.350000381469727
2018-04-16,24.360000610351562
2018-04-17,24.469999313354492
2018-04-18,24.309999465942383
2018-04-19,24.200000762939453
2018-04-20,24.360000610351562
2018-04-23,24.209999084472656
