,ASPU
2013-03-22,6.0
2013-03-25,6.0
2013-03-26,6.0
2013-03-27,6.0
2013-03-28,6.0
2013-04-01,6.0
2013-04-02,6.0
2013-04-03,6.0
2013-04-04,6.0
2013-04-05,5.880000114440918
2013-04-08,5.880000114440918
2013-04-09,5.880000114440918
2013-04-10,5.880000114440918
2013-04-11,5.880000114440918
2013-04-12,5.880000114440918
2013-04-15,5.880000114440918
2013-04-16,5.400000095367432
2013-04-17,6.0
2013-04-18,6.0
2013-04-19,6.0
2013-04-22,6.0
2013-04-23,6.0
2013-04-24,6.0
2013-04-25,6.0
2013-04-26,6.0
2013-04-29,6.0
2013-04-30,5.880000114440918
2013-05-01,5.880000114440918
2013-05-02,5.880000114440918
2013-05-03,5.400000095367432
2013-05-06,4.800000190734863
2013-05-07,4.800000190734863
2013-05-08,4.800000190734863
2013-05-09,4.800000190734863
2013-05-10,4.800000190734863
2013-05-13,4.199999809265137
2013-05-14,4.199999809265137
2013-05-15,3.5999999046325684
2013-05-16,3.5999999046325684
2013-05-17,4.199999809265137
2013-05-20,4.199999809265137
2013-05-21,4.199999809265137
2013-05-22,3.5999999046325684
2013-05-23,3.8399999141693115
2013-05-24,3.8399999141693115
2013-05-28,3.9600000381469727
2013-05-29,3.9600000381469727
2013-05-30,3.9600000381469727
2013-05-31,3.8399999141693115
2013-06-03,3.5999999046325684
2013-06-04,3.5999999046325684
2013-06-05,3.5999999046325684
2013-06-06,3.0
2013-06-07,3.0
2013-06-10,3.0
2013-06-11,3.0
2013-06-12,3.0
2013-06-13,3.0
2013-06-14,3.0
2013-06-17,4.079999923706055
2013-06-18,4.320000171661377
2013-06-19,6.0
2013-06-20,5.400000095367432
2013-06-21,6.0
2013-06-24,6.119999885559082
2013-06-25,4.800000190734863
2013-06-26,4.079999923706055
2013-06-27,3.5999999046325684
2013-06-28,4.559999942779541
2013-07-01,4.559999942779541
2013-07-02,4.559999942779541
2013-07-03,4.559999942779541
2013-07-05,4.559999942779541
2013-07-08,3.5999999046325684
2013-07-09,4.199999809265137
2013-07-10,3.9600000381469727
2013-07-11,4.199999809265137
2013-07-12,3.9600000381469727
2013-07-15,3.9600000381469727
2013-07-16,3.9600000381469727
2013-07-17,3.8399999141693115
2013-07-18,3.8399999141693115
2013-07-19,4.320000171661377
2013-07-22,3.0
2013-07-23,3.5999999046325684
2013-07-24,3.5999999046325684
2013-07-25,3.0
2013-07-26,3.8399999141693115
2013-07-29,3.6480000019073486
2013-07-30,3.6480000019073486
2013-07-31,3.6480000019073486
2013-08-01,3.4800000190734863
2013-08-02,3.359999895095825
2013-08-05,2.927999973297119
2013-08-06,2.640000104904175
2013-08-07,2.700000047683716
2013-08-08,2.640000104904175
2013-08-09,2.5199999809265137
2013-08-12,2.5199999809265137
2013-08-13,2.4600000381469727
2013-08-14,2.4000000953674316
2013-08-15,2.640000104904175
2013-08-16,3.180000066757202
2013-08-19,2.759999990463257
2013-08-20,2.759999990463257
2013-08-21,2.880000114440918
2013-08-22,3.371999979019165
2013-08-23,3.4800000190734863
2013-08-26,3.5999999046325684
2013-08-27,3.4800000190734863
2013-08-28,3.240000009536743
2013-08-29,3.299999952316284
2013-08-30,3.2160000801086426
2013-09-03,3.5999999046325684
2013-09-04,3.240000009536743
2013-09-05,3.4800000190734863
2013-09-06,3.4800000190734863
2013-09-09,3.240000009536743
2013-09-10,3.3359999656677246
2013-09-11,3.240000009536743
2013-09-12,2.9639999866485596
2013-09-13,3.0
2013-09-16,3.0239999294281006
2013-09-17,2.640000104904175
2013-09-18,2.819999933242798
2013-09-19,3.0
2013-09-20,2.5199999809265137
2013-09-23,2.5199999809265137
2013-09-24,2.640000104904175
2013-09-25,2.880000114440918
2013-09-26,2.9760000705718994
2013-09-27,2.4600000381469727
2013-09-30,2.4600000381469727
2013-10-01,2.5199999809265137
2013-10-02,2.4000000953674316
2013-10-03,2.4000000953674316
2013-10-04,2.4000000953674316
2013-10-07,2.2920000553131104
2013-10-08,2.5199999809265137
2013-10-09,2.5199999809265137
2013-10-10,2.5199999809265137
2013-10-11,2.2799999713897705
2013-10-14,2.436000108718872
2013-10-15,2.436000108718872
2013-10-16,2.436000108718872
2013-10-17,2.4000000953674316
2013-10-18,2.4000000953674316
2013-10-21,2.640000104904175
2013-10-22,2.640000104904175
2013-10-23,2.759999990463257
2013-10-24,2.759999990463257
2013-10-25,2.759999990463257
2013-10-28,2.640000104904175
2013-10-29,2.640000104904175
2013-10-30,2.5199999809265137
2013-10-31,2.700000047683716
2013-11-01,2.700000047683716
2013-11-04,2.640000104904175
2013-11-05,2.4000000953674316
2013-11-06,2.2200000286102295
2013-11-07,2.2200000286102295
2013-11-08,2.5199999809265137
2013-11-11,2.5199999809265137
2013-11-12,2.4000000953674316
2013-11-13,2.4000000953674316
2013-11-14,2.4000000953674316
2013-11-15,2.5199999809265137
2013-11-18,2.640000104904175
2013-11-19,2.5199999809265137
2013-11-20,2.4000000953674316
2013-11-21,2.4600000381469727
2013-11-22,2.4000000953674316
2013-11-25,2.5799999237060547
2013-11-26,2.4000000953674316
2013-11-27,2.4000000953674316
2013-11-29,2.4000000953674316
2013-12-02,2.3399999141693115
2013-12-03,2.3399999141693115
2013-12-04,2.3399999141693115
2013-12-05,2.2799999713897705
2013-12-06,2.2799999713897705
2013-12-09,2.2799999713897705
2013-12-10,2.315999984741211
2013-12-11,2.4000000953674316
2013-12-12,2.2799999713897705
2013-12-13,2.1600000858306885
2013-12-16,2.1600000858306885
2013-12-17,2.1600000858306885
2013-12-18,2.1600000858306885
2013-12-19,2.0399999618530273
2013-12-20,2.0399999618530273
2013-12-23,2.135999917984009
2013-12-24,2.135999917984009
2013-12-26,2.0399999618530273
2013-12-27,2.0399999618530273
2013-12-30,2.0399999618530273
