,CAN
2019-11-20,9.0
2019-11-21,8.989999771118164
2019-11-22,8.979999542236328
2019-11-25,8.289999961853027
2019-11-26,8.1899995803833
2019-11-27,8.25
2019-11-29,8.25
2019-12-02,8.350000381469727
2019-12-03,8.180000305175781
2019-12-04,8.069999694824219
2019-12-05,7.849999904632568
2019-12-06,7.800000190734863
2019-12-09,7.25
2019-12-10,6.570000171661377
2019-12-11,6.170000076293945
2019-12-12,5.710000038146973
2019-12-13,5.239999771118164
2019-12-16,4.650000095367432
2019-12-17,5.190000057220459
2019-12-18,4.630000114440918
2019-12-19,4.650000095367432
2019-12-20,4.769999980926514
2019-12-23,5.289999961853027
2019-12-24,5.690000057220459
2019-12-26,5.579999923706055
2019-12-27,5.630000114440918
2019-12-30,6.53000020980835
2019-12-31,6.099999904632568
2020-01-02,6.019999980926514
2020-01-03,6.070000171661377
2020-01-06,5.880000114440918
2020-01-07,5.820000171661377
2020-01-08,6.119999885559082
2020-01-09,6.489999771118164
2020-01-10,6.489999771118164
2020-01-13,6.440000057220459
2020-01-14,6.139999866485596
2020-01-15,5.619999885559082
2020-01-16,5.78000020980835
2020-01-17,6.0
2020-01-21,5.699999809265137
2020-01-22,5.239999771118164
2020-01-23,5.079999923706055
2020-01-24,5.070000171661377
2020-01-27,4.989999771118164
2020-01-28,5.050000190734863
2020-01-29,5.670000076293945
2020-01-30,5.860000133514404
2020-01-31,6.0
2020-02-03,5.579999923706055
2020-02-04,5.110000133514404
2020-02-05,4.940000057220459
2020-02-06,4.880000114440918
2020-02-07,4.550000190734863
2020-02-10,4.570000171661377
2020-02-11,4.400000095367432
2020-02-12,8.039999961853027
2020-02-13,6.639999866485596
2020-02-14,6.78000020980835
2020-02-18,5.75
2020-02-19,5.710000038146973
2020-02-20,5.320000171661377
2020-02-21,5.860000133514404
2020-02-24,5.650000095367432
2020-02-25,5.5
2020-02-26,5.5
2020-02-27,5.360000133514404
2020-02-28,5.090000152587891
2020-03-02,5.039999961853027
2020-03-03,4.900000095367432
2020-03-04,4.659999847412109
2020-03-05,4.829999923706055
2020-03-06,4.260000228881836
2020-03-09,3.380000114440918
2020-03-10,3.430000066757202
2020-03-11,3.9100000858306885
2020-03-12,3.509999990463257
2020-03-13,3.369999885559082
2020-03-16,2.880000114440918
2020-03-17,2.809999942779541
2020-03-18,3.009999990463257
2020-03-19,3.2699999809265137
2020-03-20,3.109999895095825
2020-03-23,3.049999952316284
2020-03-24,2.950000047683716
2020-03-25,2.9800000190734863
2020-03-26,3.059999942779541
2020-03-27,3.049999952316284
2020-03-30,2.9000000953674316
2020-03-31,3.0399999618530273
2020-04-01,2.869999885559082
2020-04-02,2.940000057220459
2020-04-03,2.880000114440918
2020-04-06,3.5199999809265137
2020-04-07,3.5
2020-04-08,3.5199999809265137
2020-04-09,3.200000047683716
2020-04-13,4.03000020980835
2020-04-14,4.599999904632568
2020-04-15,4.150000095367432
2020-04-16,4.440000057220459
2020-04-17,4.679999828338623
2020-04-20,4.170000076293945
2020-04-21,4.269999980926514
2020-04-22,4.28000020980835
2020-04-23,4.429999828338623
2020-04-24,4.230000019073486
2020-04-27,4.440000057220459
