,FEYE
2013-09-20,36.0
2013-09-23,37.45000076293945
2013-09-24,37.0099983215332
2013-09-25,38.79999923706055
2013-09-26,41.630001068115234
2013-09-27,41.11000061035156
2013-09-30,41.529998779296875
2013-10-01,40.380001068115234
2013-10-02,40.70000076293945
2013-10-03,40.470001220703125
2013-10-04,42.689998626708984
2013-10-07,42.65999984741211
2013-10-08,39.88999938964844
2013-10-09,38.810001373291016
2013-10-10,41.4900016784668
2013-10-11,42.06999969482422
2013-10-14,41.54999923706055
2013-10-15,40.77000045776367
2013-10-16,39.869998931884766
2013-10-17,42.20000076293945
2013-10-18,42.369998931884766
2013-10-21,41.0
2013-10-22,39.849998474121094
2013-10-23,39.75
2013-10-24,42.5099983215332
2013-10-25,41.220001220703125
2013-10-28,39.9900016784668
2013-10-29,40.220001220703125
2013-10-30,38.689998626708984
2013-10-31,37.900001525878906
2013-11-01,38.43000030517578
2013-11-04,37.83000183105469
2013-11-05,37.36000061035156
2013-11-06,39.88999938964844
2013-11-07,38.029998779296875
2013-11-08,37.72999954223633
2013-11-11,37.33000183105469
2013-11-12,36.72999954223633
2013-11-13,38.65999984741211
2013-11-14,38.66999816894531
2013-11-15,38.86000061035156
2013-11-18,37.27000045776367
2013-11-19,36.0099983215332
2013-11-20,33.599998474121094
2013-11-21,34.220001220703125
2013-11-22,34.900001525878906
2013-11-25,33.709999084472656
2013-11-26,37.369998931884766
2013-11-27,38.2400016784668
2013-11-29,38.369998931884766
2013-12-02,37.09000015258789
2013-12-03,37.0099983215332
2013-12-04,36.709999084472656
2013-12-05,36.75
2013-12-06,36.59000015258789
2013-12-09,36.93000030517578
2013-12-10,37.599998474121094
2013-12-11,37.7599983215332
2013-12-12,37.459999084472656
2013-12-13,38.33000183105469
2013-12-16,38.939998626708984
2013-12-17,38.869998931884766
2013-12-18,39.36000061035156
2013-12-19,40.18000030517578
2013-12-20,39.560001373291016
2013-12-23,39.790000915527344
2013-12-24,40.099998474121094
2013-12-26,43.43000030517578
2013-12-27,43.130001068115234
2013-12-30,43.689998626708984
2013-12-31,43.61000061035156
2014-01-02,41.130001068115234
2014-01-03,57.02000045776367
2014-01-06,58.5099983215332
2014-01-07,60.5
2014-01-08,56.959999084472656
2014-01-09,57.900001525878906
2014-01-10,57.79999923706055
2014-01-13,55.63999938964844
2014-01-14,58.869998931884766
2014-01-15,65.44999694824219
2014-01-16,70.98999786376953
2014-01-17,73.56999969482422
2014-01-21,69.44000244140625
2014-01-22,73.7300033569336
2014-01-23,73.16999816894531
2014-01-24,67.30000305175781
2014-01-27,68.27999877929688
2014-01-28,69.83999633789062
2014-01-29,68.30999755859375
2014-01-30,69.33999633789062
2014-01-31,72.98999786376953
2014-02-03,66.5199966430664
2014-02-04,66.83999633789062
2014-02-05,66.11000061035156
2014-02-06,66.2699966430664
2014-02-07,70.7300033569336
2014-02-10,76.8499984741211
2014-02-11,78.01000213623047
2014-02-12,69.08000183105469
2014-02-13,72.01000213623047
2014-02-14,74.3499984741211
2014-02-18,71.9000015258789
2014-02-19,71.08000183105469
2014-02-20,72.93000030517578
2014-02-21,72.68000030517578
2014-02-24,76.30999755859375
2014-02-25,80.0
2014-02-26,84.12999725341797
2014-02-27,87.02999877929688
2014-02-28,85.63999938964844
2014-03-03,84.5199966430664
2014-03-04,88.19000244140625
2014-03-05,95.62999725341797
2014-03-06,89.55000305175781
2014-03-07,81.04000091552734
2014-03-10,80.30000305175781
2014-03-11,77.62000274658203
2014-03-12,77.66000366210938
2014-03-13,79.93000030517578
2014-03-14,75.87000274658203
2014-03-17,76.05000305175781
2014-03-18,77.75
2014-03-19,71.5
2014-03-20,67.19999694824219
2014-03-21,69.66000366210938
2014-03-24,63.5
2014-03-25,62.720001220703125
2014-03-26,61.65999984741211
2014-03-27,62.93000030517578
2014-03-28,63.439998626708984
2014-03-31,61.56999969482422
2014-04-01,64.37000274658203
2014-04-02,61.4900016784668
2014-04-03,54.86000061035156
2014-04-04,50.36000061035156
2014-04-07,50.349998474121094
2014-04-08,52.349998474121094
2014-04-09,56.38999938964844
2014-04-10,49.75
2014-04-11,47.33000183105469
2014-04-14,48.459999084472656
2014-04-15,48.83000183105469
2014-04-16,47.61000061035156
2014-04-17,47.11000061035156
2014-04-21,48.13999938964844
2014-04-22,50.56999969482422
2014-04-23,46.7599983215332
2014-04-24,44.45000076293945
2014-04-25,41.18000030517578
2014-04-28,38.900001525878906
2014-04-29,38.83000183105469
2014-04-30,39.2599983215332
2014-05-01,40.77000045776367
2014-05-02,39.939998626708984
2014-05-05,40.22999954223633
2014-05-06,37.130001068115234
2014-05-07,28.649999618530273
2014-05-08,27.450000762939453
2014-05-09,26.440000534057617
2014-05-12,28.540000915527344
2014-05-13,27.020000457763672
2014-05-14,27.25
2014-05-15,27.079999923706055
2014-05-16,27.889999389648438
2014-05-19,28.93000030517578
2014-05-20,30.31999969482422
2014-05-21,31.1200008392334
2014-05-22,32.28900146484375
2014-05-23,33.38999938964844
2014-05-27,34.970001220703125
2014-05-28,34.380001068115234
2014-05-29,34.650001525878906
2014-05-30,32.869998931884766
2014-06-02,31.770000457763672
2014-06-03,30.940000534057617
2014-06-04,30.459999084472656
2014-06-05,32.68000030517578
2014-06-06,32.38999938964844
2014-06-09,34.15999984741211
2014-06-10,34.93000030517578
2014-06-11,35.5
2014-06-12,35.4900016784668
2014-06-13,36.27000045776367
2014-06-16,38.040000915527344
2014-06-17,37.72999954223633
2014-06-18,38.130001068115234
2014-06-19,37.720001220703125
2014-06-20,37.459999084472656
2014-06-23,39.02000045776367
2014-06-24,37.66999816894531
2014-06-25,38.45000076293945
2014-06-26,38.900001525878906
2014-06-27,38.91999816894531
2014-06-30,40.54999923706055
2014-07-01,41.040000915527344
2014-07-02,39.220001220703125
2014-07-03,38.95000076293945
2014-07-07,36.61000061035156
2014-07-08,33.459999084472656
2014-07-09,34.20000076293945
2014-07-10,33.27000045776367
2014-07-11,33.619998931884766
2014-07-14,34.27000045776367
2014-07-15,33.81999969482422
2014-07-16,34.56999969482422
2014-07-17,33.970001220703125
2014-07-18,34.52000045776367
2014-07-21,35.45000076293945
2014-07-22,36.310001373291016
2014-07-23,35.470001220703125
2014-07-24,36.959999084472656
2014-07-25,37.150001525878906
2014-07-28,36.5
2014-07-29,35.880001068115234
2014-07-30,36.130001068115234
2014-07-31,35.5
2014-08-01,32.880001068115234
2014-08-04,34.220001220703125
2014-08-05,34.75
2014-08-06,30.77899932861328
2014-08-07,31.860000610351562
2014-08-08,30.440000534057617
2014-08-11,31.3700008392334
2014-08-12,30.700000762939453
2014-08-13,31.850000381469727
2014-08-14,31.1200008392334
2014-08-15,29.790000915527344
2014-08-18,28.809999465942383
2014-08-19,28.059999465942383
2014-08-20,27.969999313354492
2014-08-21,27.56999969482422
2014-08-22,28.010000228881836
2014-08-25,27.920000076293945
2014-08-26,28.90999984741211
2014-08-27,29.450000762939453
2014-08-28,30.0
2014-08-29,31.139999389648438
2014-09-02,33.779998779296875
2014-09-03,31.6200008392334
2014-09-04,31.260000228881836
2014-09-05,31.719999313354492
2014-09-08,33.22999954223633
2014-09-09,33.5099983215332
2014-09-10,34.849998474121094
2014-09-11,36.06999969482422
2014-09-12,35.06999969482422
2014-09-15,33.0099983215332
2014-09-16,33.63999938964844
2014-09-17,35.470001220703125
2014-09-18,33.68000030517578
2014-09-19,33.95000076293945
2014-09-22,33.11000061035156
2014-09-23,32.66999816894531
2014-09-24,32.81999969482422
2014-09-25,31.709999084472656
2014-09-26,31.979999542236328
2014-09-29,31.450000762939453
2014-09-30,30.559999465942383
2014-10-01,28.760000228881836
2014-10-02,29.59000015258789
2014-10-03,28.190000534057617
2014-10-06,28.030000686645508
2014-10-07,28.059999465942383
2014-10-08,28.3799991607666
2014-10-09,26.860000610351562
2014-10-10,25.760000228881836
2014-10-13,26.219999313354492
2014-10-14,26.479999542236328
2014-10-15,26.799999237060547
2014-10-16,28.959999084472656
2014-10-17,29.049999237060547
2014-10-20,29.600000381469727
2014-10-21,30.15999984741211
2014-10-22,29.260000228881836
2014-10-23,30.8799991607666
2014-10-24,31.510000228881836
2014-10-27,30.959999084472656
2014-10-28,33.63999938964844
2014-10-29,32.630001068115234
2014-10-30,33.630001068115234
2014-10-31,33.9900016784668
2014-11-03,33.685001373291016
2014-11-04,34.25
2014-11-05,29.1200008392334
2014-11-06,30.040000915527344
2014-11-07,30.6200008392334
2014-11-10,32.38999938964844
2014-11-11,32.849998474121094
2014-11-12,33.150001525878906
2014-11-13,33.34000015258789
2014-11-14,33.79999923706055
2014-11-17,32.31999969482422
2014-11-18,31.8700008392334
2014-11-19,30.549999237060547
2014-11-20,30.989999771118164
2014-11-21,31.770000457763672
2014-11-24,32.619998931884766
2014-11-25,32.15999984741211
2014-11-26,31.65999984741211
2014-11-28,30.290000915527344
2014-12-01,30.280000686645508
2014-12-02,31.639999389648438
2014-12-03,30.549999237060547
2014-12-04,30.3700008392334
2014-12-05,29.809999465942383
2014-12-08,30.239999771118164
2014-12-09,30.100000381469727
2014-12-10,29.829999923706055
2014-12-11,29.440000534057617
2014-12-12,29.1200008392334
2014-12-15,28.559999465942383
2014-12-16,27.719999313354492
2014-12-17,28.610000610351562
2014-12-18,30.899999618530273
2014-12-19,33.060001373291016
2014-12-22,33.03499984741211
2014-12-23,33.4900016784668
2014-12-24,32.380001068115234
2014-12-26,33.209999084472656
2014-12-29,32.994998931884766
2014-12-30,32.40999984741211
2014-12-31,31.579999923706055
2015-01-02,31.03499984741211
2015-01-05,32.0099983215332
2015-01-06,29.780000686645508
2015-01-07,30.889999389648438
2015-01-08,33.099998474121094
2015-01-09,33.68000030517578
2015-01-12,35.290000915527344
2015-01-13,34.16999816894531
2015-01-14,34.150001525878906
2015-01-15,32.459999084472656
2015-01-16,32.88999938964844
2015-01-20,33.529998779296875
2015-01-21,34.220001220703125
2015-01-22,33.540000915527344
2015-01-23,34.93000030517578
2015-01-26,35.38999938964844
2015-01-27,34.849998474121094
2015-01-28,33.0099983215332
2015-01-29,32.7400016784668
2015-01-30,33.810001373291016
2015-02-02,34.36000061035156
2015-02-03,35.119998931884766
2015-02-04,34.5099983215332
2015-02-05,36.52000045776367
2015-02-06,36.04999923706055
2015-02-09,35.540000915527344
2015-02-10,36.52000045776367
2015-02-11,35.689998626708984
2015-02-12,39.630001068115234
2015-02-13,42.2599983215332
2015-02-17,43.84000015258789
2015-02-18,43.665000915527344
2015-02-19,44.27000045776367
2015-02-20,46.150001525878906
2015-02-23,43.349998474121094
2015-02-24,43.970001220703125
2015-02-25,45.39500045776367
2015-02-26,45.40999984741211
2015-02-27,44.27000045776367
2015-03-02,44.81999969482422
2015-03-03,45.06999969482422
2015-03-04,43.81999969482422
2015-03-05,43.90999984741211
2015-03-06,42.83000183105469
2015-03-09,43.26499938964844
2015-03-10,41.43000030517578
2015-03-11,42.060001373291016
2015-03-12,43.060001373291016
2015-03-13,42.040000915527344
2015-03-16,42.369998931884766
2015-03-17,42.595001220703125
2015-03-18,43.36000061035156
2015-03-19,43.02000045776367
2015-03-20,41.69499969482422
2015-03-23,41.33000183105469
2015-03-24,40.790000915527344
2015-03-25,39.209999084472656
2015-03-26,39.310001373291016
2015-03-27,39.810001373291016
2015-03-30,40.03499984741211
2015-03-31,39.25
2015-04-01,38.13999938964844
2015-04-02,38.65999984741211
2015-04-06,38.939998626708984
2015-04-07,39.90999984741211
2015-04-08,41.220001220703125
2015-04-09,41.060001373291016
2015-04-10,43.2400016784668
2015-04-13,41.84000015258789
2015-04-14,41.7599983215332
2015-04-15,42.63999938964844
2015-04-16,42.0099983215332
2015-04-17,40.84000015258789
2015-04-20,42.43000030517578
2015-04-21,43.48500061035156
2015-04-22,43.66999816894531
2015-04-23,43.93000030517578
2015-04-24,44.029998779296875
2015-04-27,43.40999984741211
2015-04-28,43.0
2015-04-29,42.959999084472656
2015-04-30,41.29999923706055
2015-05-01,43.310001373291016
2015-05-04,43.33000183105469
2015-05-05,40.540000915527344
2015-05-06,40.099998474121094
2015-05-07,40.34000015258789
2015-05-08,41.689998626708984
2015-05-11,41.880001068115234
2015-05-12,41.29999923706055
2015-05-13,43.459999084472656
2015-05-14,42.38999938964844
2015-05-15,41.369998931884766
2015-05-18,41.56999969482422
2015-05-19,41.529998779296875
2015-05-20,42.27000045776367
2015-05-21,43.220001220703125
2015-05-22,45.06999969482422
2015-05-26,45.15999984741211
2015-05-27,45.0099983215332
2015-05-28,46.81999969482422
2015-05-29,46.56999969482422
2015-06-01,47.2599983215332
2015-06-02,47.0099983215332
2015-06-03,47.689998626708984
2015-06-04,47.95000076293945
2015-06-05,51.029998779296875
2015-06-08,50.900001525878906
2015-06-09,50.64500045776367
2015-06-10,51.314998626708984
2015-06-11,51.15999984741211
2015-06-12,51.79999923706055
2015-06-15,53.119998931884766
2015-06-16,53.15999984741211
2015-06-17,54.08000183105469
2015-06-18,54.22999954223633
2015-06-19,53.650001525878906
2015-06-22,52.43000030517578
2015-06-23,52.83000183105469
2015-06-24,50.95000076293945
2015-06-25,51.61000061035156
2015-06-26,48.86000061035156
2015-06-29,47.779998779296875
2015-06-30,48.90999984741211
2015-07-01,48.5099983215332
2015-07-02,48.189998626708984
2015-07-06,48.0099983215332
2015-07-07,47.650001525878906
2015-07-08,47.560001373291016
2015-07-09,48.90999984741211
2015-07-10,49.689998626708984
2015-07-13,49.66999816894531
2015-07-14,49.650001525878906
2015-07-15,48.59000015258789
2015-07-16,48.279998779296875
2015-07-17,48.06999969482422
2015-07-20,46.4900016784668
2015-07-21,46.619998931884766
2015-07-22,46.619998931884766
2015-07-23,48.72999954223633
2015-07-24,46.7400016784668
2015-07-27,46.349998474121094
2015-07-28,45.689998626708984
2015-07-29,47.540000915527344
2015-07-30,47.7599983215332
2015-07-31,44.4900016784668
2015-08-03,43.18000030517578
2015-08-04,43.45000076293945
2015-08-05,44.560001373291016
2015-08-06,43.279998779296875
2015-08-07,43.58000183105469
2015-08-10,44.56999969482422
2015-08-11,43.959999084472656
2015-08-12,42.720001220703125
2015-08-13,43.0099983215332
