,CDNA
2014-07-17,9.050000190734863
2014-07-18,10.0
2014-07-21,10.0
2014-07-22,10.0
2014-07-23,10.0
2014-07-24,10.0
2014-07-25,10.0
2014-07-28,10.0
2014-07-29,10.050000190734863
2014-07-30,10.0600004196167
2014-07-31,9.710000038146973
2014-08-01,9.279999732971191
2014-08-04,9.449999809265137
2014-08-05,9.390000343322754
2014-08-06,9.569999694824219
2014-08-07,10.0
2014-08-08,10.020000457763672
2014-08-11,10.140000343322754
2014-08-12,10.039999961853027
2014-08-13,10.039999961853027
2014-08-14,10.050000190734863
2014-08-15,10.020000457763672
2014-08-18,10.0
2014-08-19,10.09000015258789
2014-08-20,10.1899995803833
2014-08-21,10.050000190734863
2014-08-22,10.079999923706055
2014-08-25,9.899999618530273
2014-08-26,9.8100004196167
2014-08-27,9.949999809265137
2014-08-28,10.0
2014-08-29,9.970000267028809
2014-09-02,10.029999732971191
2014-09-03,10.050000190734863
2014-09-04,10.0
2014-09-05,10.029999732971191
2014-09-08,10.84000015258789
2014-09-09,10.680000305175781
2014-09-10,10.6899995803833
2014-09-11,10.194999694824219
2014-09-12,10.119999885559082
2014-09-15,9.890000343322754
2014-09-16,9.470000267028809
2014-09-17,9.029999732971191
2014-09-18,8.710000038146973
2014-09-19,8.550000190734863
2014-09-22,8.600000381469727
2014-09-23,8.430000305175781
2014-09-24,8.050000190734863
2014-09-25,7.960000038146973
2014-09-26,7.400000095367432
2014-09-29,7.349999904632568
2014-09-30,7.0
2014-10-01,7.03000020980835
2014-10-02,7.079999923706055
2014-10-03,6.900000095367432
2014-10-06,6.710000038146973
2014-10-07,6.800000190734863
2014-10-08,6.940000057220459
2014-10-09,6.889999866485596
2014-10-10,6.539999961853027
2014-10-13,6.940000057220459
2014-10-14,6.800000190734863
2014-10-15,6.563000202178955
2014-10-16,5.599999904632568
2014-10-17,5.599999904632568
2014-10-20,5.599999904632568
2014-10-21,5.699999809265137
2014-10-22,5.75
2014-10-23,5.699999809265137
2014-10-24,5.710000038146973
2014-10-27,5.739999771118164
2014-10-28,5.929999828338623
2014-10-29,5.909999847412109
2014-10-30,5.808000087738037
2014-10-31,5.880000114440918
2014-11-03,6.019999980926514
2014-11-04,5.900000095367432
2014-11-05,6.010000228881836
2014-11-06,6.130000114440918
2014-11-07,6.099999904632568
2014-11-10,6.409999847412109
2014-11-11,7.150000095367432
2014-11-12,7.059999942779541
2014-11-13,7.360000133514404
2014-11-14,7.300000190734863
2014-11-17,7.289999961853027
2014-11-18,6.940000057220459
2014-11-19,7.139999866485596
2014-11-20,7.050000190734863
2014-11-21,7.059999942779541
2014-11-24,6.5
2014-11-25,7.0
2014-11-26,7.010000228881836
2014-11-28,7.045000076293945
2014-12-01,7.03000020980835
2014-12-02,7.03000020980835
2014-12-03,7.119999885559082
2014-12-04,7.119999885559082
2014-12-05,7.070000171661377
2014-12-08,7.0
2014-12-09,7.050000190734863
2014-12-10,7.0
2014-12-11,7.0
2014-12-12,7.03000020980835
2014-12-15,7.019999980926514
2014-12-16,7.0
2014-12-17,7.0
2014-12-18,7.199999809265137
2014-12-19,7.440000057220459
2014-12-22,7.5
2014-12-23,7.260000228881836
2014-12-24,7.099999904632568
2014-12-26,6.980000019073486
2014-12-29,7.03000020980835
2014-12-30,7.25
2014-12-31,7.25
2015-01-02,7.224999904632568
2015-01-05,7.320000171661377
2015-01-06,7.429999828338623
2015-01-07,7.300000190734863
2015-01-08,7.309999942779541
2015-01-09,7.53000020980835
2015-01-12,7.539999961853027
2015-01-13,7.179999828338623
2015-01-14,6.539999961853027
2015-01-15,6.360000133514404
2015-01-16,6.940000057220459
