,CAPA
2020-11-13,9.880000114440918
2020-11-16,9.899999618530273
2020-11-17,9.899999618530273
2020-11-18,9.899999618530273
2020-11-19,9.899999618530273
2020-11-20,9.899999618530273
2020-11-23,9.899999618530273
2020-11-24,9.899999618530273
2020-11-25,9.899999618530273
2020-11-27,9.899999618530273
2020-11-30,9.949999809265137
2020-12-01,9.949999809265137
2020-12-02,9.949999809265137
2020-12-03,9.949999809265137
2020-12-04,11.5
2020-12-07,10.234999656677246
2020-12-08,10.175000190734863
2020-12-09,10.175000190734863
2020-12-10,10.175000190734863
2020-12-11,10.145000457763672
2020-12-14,9.989999771118164
2020-12-15,9.989999771118164
2020-12-16,9.989999771118164
2020-12-17,10.0
2020-12-18,10.0
2020-12-21,10.109999656677246
2020-12-22,10.0
2020-12-23,10.149999618530273
2020-12-24,10.177000045776367
2020-12-28,10.399999618530273
2020-12-29,10.130000114440918
2020-12-30,10.149999618530273
2020-12-31,10.149999618530273
2021-01-04,10.489999771118164
2021-01-05,10.239999771118164
2021-01-06,10.720000267028809
2021-01-07,10.720000267028809
2021-01-08,10.270000457763672
2021-01-11,10.399999618530273
2021-01-12,10.329999923706055
2021-01-13,10.550000190734863
2021-01-14,10.4399995803833
2021-01-15,10.319999694824219
2021-01-19,10.331000328063965
2021-01-20,10.300999641418457
2021-01-21,10.350000381469727
2021-01-22,10.430000305175781
2021-01-25,10.260000228881836
2021-01-26,10.210000038146973
2021-01-27,10.050000190734863
2021-01-28,10.279999732971191
2021-01-29,10.220000267028809
2021-02-01,10.649999618530273
2021-02-02,10.489999771118164
2021-02-03,10.380000114440918
2021-02-04,10.270000457763672
2021-02-05,10.300000190734863
2021-02-08,10.140000343322754
2021-02-09,10.265000343322754
2021-02-10,10.460000038146973
2021-02-11,10.359999656677246
2021-02-12,10.3100004196167
2021-02-16,10.390000343322754
2021-02-17,10.380000114440918
2021-02-18,22.40999984741211
2021-02-19,20.489999771118164
2021-02-22,17.709999084472656
2021-02-23,15.0600004196167
2021-02-24,16.489999771118164
2021-02-25,14.399999618530273
2021-02-26,14.319999694824219
2021-03-01,14.649999618530273
2021-03-02,13.680000305175781
2021-03-03,12.899999618530273
2021-03-04,11.670000076293945
2021-03-05,13.210000038146973
2021-03-08,12.079999923706055
2021-03-09,13.010000228881836
2021-03-10,13.239999771118164
2021-03-11,13.640000343322754
2021-03-12,13.960000038146973
2021-03-15,14.40999984741211
2021-03-16,13.119999885559082
2021-03-17,13.079999923706055
2021-03-18,12.729999542236328
2021-03-19,12.800000190734863
2021-03-22,12.75
2021-03-23,12.0600004196167
2021-03-24,11.270000457763672
2021-03-25,11.229999542236328
2021-03-26,12.300000190734863
2021-03-29,12.050000190734863
2021-03-30,11.890000343322754
2021-03-31,11.920000076293945
2021-04-01,12.649999618530273
2021-04-05,12.4399995803833
2021-04-06,12.039999961853027
2021-04-07,11.789999961853027
2021-04-08,11.760000228881836
2021-04-09,11.720000267028809
2021-04-12,11.529999732971191
2021-04-13,11.399999618530273
2021-04-14,11.149999618530273
2021-04-15,10.779999732971191
2021-04-16,10.59000015258789
2021-04-19,10.449999809265137
2021-04-20,10.220000267028809
2021-04-21,10.670000076293945
2021-04-22,10.630000114440918
2021-04-23,10.4399995803833
2021-04-26,10.479999542236328
2021-04-27,10.5
2021-04-28,10.380000114440918
2021-04-29,10.390000343322754
2021-04-30,10.390000343322754
2021-05-03,10.270000457763672
2021-05-04,10.279999732971191
2021-05-05,10.329999923706055
2021-05-06,10.300000190734863
2021-05-07,10.399999618530273
2021-05-10,10.350000381469727
2021-05-11,10.140000343322754
2021-05-12,10.109999656677246
2021-05-13,10.020000457763672
2021-05-14,10.079999923706055
