,ARCT
2013-05-22,52.849998474121094
2013-05-23,50.470001220703125
2013-05-24,50.75
2013-05-28,48.790000915527344
2013-05-29,47.95000076293945
2013-05-30,50.189998626708984
2013-05-31,50.400001525878906
2013-06-03,48.15999984741211
2013-06-04,47.880001068115234
2013-06-05,49.90999984741211
2013-06-06,49.0
2013-06-07,50.540000915527344
2013-06-10,49.209999084472656
2013-06-11,49.0
2013-06-12,47.95000076293945
2013-06-13,48.5099983215332
2013-06-14,49.70000076293945
2013-06-17,48.650001525878906
2013-06-18,49.0
2013-06-19,49.560001373291016
2013-06-20,49.70000076293945
2013-06-21,48.369998931884766
2013-06-24,46.47999954223633
2013-06-25,47.31999969482422
2013-06-26,47.38999938964844
2013-06-27,47.38999938964844
2013-06-28,47.95000076293945
2013-07-01,48.5099983215332
2013-07-02,48.650001525878906
2013-07-03,48.439998626708984
2013-07-05,47.880001068115234
2013-07-08,55.29999923706055
2013-07-09,58.310001373291016
2013-07-10,63.41999816894531
2013-07-11,67.19999694824219
2013-07-12,74.83000183105469
2013-07-15,71.75
2013-07-16,70.06999969482422
2013-07-17,70.0
2013-07-18,69.2300033569336
2013-07-19,69.79000091552734
2013-07-22,70.06999969482422
2013-07-23,70.06999969482422
2013-07-24,71.4000015258789
2013-07-25,71.4000015258789
2013-07-26,71.05000305175781
2013-07-29,69.93000030517578
2013-07-30,70.27999877929688
2013-07-31,72.44999694824219
2013-08-01,84.0
2013-08-02,98.0
2013-08-05,102.2699966430664
2013-08-06,92.05000305175781
2013-08-07,90.93000030517578
2013-08-08,100.37999725341797
2013-08-09,100.94000244140625
2013-08-12,101.36000061035156
2013-08-13,99.88999938964844
2013-08-14,99.81999969482422
2013-08-15,97.72000122070312
2013-08-16,96.38999938964844
2013-08-19,96.31999969482422
2013-08-20,93.30999755859375
2013-08-21,96.66999816894531
2013-08-22,92.54000091552734
2013-08-23,94.5
2013-08-26,94.43000030517578
2013-08-27,90.2300033569336
2013-08-28,91.06999969482422
2013-08-29,91.7699966430664
2013-08-30,90.2300033569336
2013-09-03,87.56999969482422
2013-09-04,87.29000091552734
2013-09-05,93.7300033569336
2013-09-06,96.31999969482422
2013-09-09,102.12999725341797
2013-09-10,104.72000122070312
2013-09-11,113.33000183105469
2013-09-12,113.47000122070312
2013-09-13,113.75
2013-09-16,112.06999969482422
2013-09-17,109.76000213623047
2013-09-18,109.55000305175781
2013-09-19,109.76000213623047
2013-09-20,111.44000244140625
2013-09-23,109.76000213623047
2013-09-24,105.55999755859375
2013-09-25,111.2300033569336
2013-09-26,118.30000305175781
2013-09-27,130.97000122070312
2013-09-30,126.27999877929688
2013-10-01,126.7699966430664
2013-10-02,143.36000061035156
2013-10-03,162.82000732421875
2013-10-04,172.75999450683594
2013-10-07,178.57000732421875
2013-10-08,159.38999938964844
2013-10-09,144.75999450683594
2013-10-10,155.75
2013-10-11,155.1199951171875
2013-10-14,150.2899932861328
2013-10-15,140.35000610351562
2013-10-16,132.7899932861328
2013-10-17,135.02999877929688
2013-10-18,135.02999877929688
2013-10-21,126.83999633789062
2013-10-22,114.02999877929688
2013-10-23,109.76000213623047
2013-10-24,119.69999694824219
2013-10-25,119.06999969482422
2013-10-28,119.83999633789062
2013-10-29,116.33999633789062
2013-10-30,116.12999725341797
2013-10-31,114.37999725341797
2013-11-01,112.27999877929688
2013-11-04,120.4000015258789
2013-11-05,123.55000305175781
2013-11-06,120.26000213623047
2013-11-07,114.0999984741211
2013-11-08,115.36000061035156
2013-11-11,114.7300033569336
2013-11-12,113.75
2013-11-13,112.13999938964844
2013-11-14,115.29000091552734
2013-11-15,114.02999877929688
2013-11-18,112.69999694824219
2013-11-19,108.56999969482422
2013-11-20,110.66999816894531
2013-11-21,111.2300033569336
2013-11-22,112.83999633789062
2013-11-25,119.0
2013-11-26,118.37000274658203
2013-11-27,120.12000274658203
2013-11-29,122.36000061035156
2013-12-02,119.3499984741211
2013-12-03,119.41999816894531
2013-12-04,118.86000061035156
2013-12-05,115.01000213623047
2013-12-06,115.5
2013-12-09,118.0199966430664
2013-12-10,125.58000183105469
2013-12-11,124.94999694824219
2013-12-12,119.83999633789062
2013-12-13,119.9800033569336
2013-12-16,126.27999877929688
2013-12-17,125.30000305175781
2013-12-18,129.00999450683594
2013-12-19,127.19000244140625
2013-12-20,129.42999267578125
2013-12-23,128.3800048828125
2013-12-24,126.20999908447266
2013-12-26,123.12999725341797
2013-12-27,122.56999969482422
2013-12-30,121.37999725341797
2013-12-31,126.0
2014-01-02,125.0199966430664
2014-01-03,126.83999633789062
2014-01-06,126.3499984741211
2014-01-07,134.3300018310547
2014-01-08,138.11000061035156
2014-01-09,139.3699951171875
2014-01-10,140.83999633789062
2014-01-13,145.8800048828125
2014-01-14,149.52000427246094
2014-01-15,146.3000030517578
2014-01-16,147.0
2014-01-17,148.39999389648438
2014-01-21,161.6999969482422
2014-01-22,161.0
2014-01-23,157.14999389648438
2014-01-24,147.83999633789062
2014-01-27,142.24000549316406
2014-01-28,146.3699951171875
2014-01-29,149.24000549316406
2014-01-30,153.22999572753906
2014-01-31,153.3000030517578
2014-02-03,144.47999572753906
2014-02-04,142.66000366210938
2014-02-05,140.07000732421875
2014-02-06,139.64999389648438
2014-02-07,148.3300018310547
2014-02-10,148.39999389648438
2014-02-11,152.17999267578125
2014-02-12,155.61000061035156
2014-02-13,159.52999877929688
2014-02-14,151.75999450683594
2014-02-18,143.85000610351562
2014-02-19,144.41000366210938
2014-02-20,151.41000366210938
2014-02-21,154.35000610351562
2014-02-24,157.14999389648438
2014-02-25,170.52000427246094
2014-02-26,175.13999938964844
2014-02-27,173.60000610351562
2014-02-28,166.6699981689453
2014-03-03,161.0
2014-03-04,156.8699951171875
2014-03-05,154.35000610351562
2014-03-06,165.27000427246094
2014-03-07,157.63999938964844
2014-03-10,158.33999633789062
2014-03-11,154.97999572753906
2014-03-12,155.3300018310547
2014-03-13,141.5399932861328
2014-03-14,141.47000122070312
2014-03-17,140.6999969482422
2014-03-18,145.52999877929688
2014-03-19,149.1699981689453
2014-03-20,154.83999633789062
2014-03-21,144.1999969482422
2014-03-24,137.6199951171875
2014-03-25,137.97000122070312
2014-03-26,133.27999877929688
2014-03-27,134.61000061035156
2014-03-28,129.7100067138672
2014-03-31,127.05000305175781
2014-04-01,129.42999267578125
2014-04-02,127.26000213623047
2014-04-03,122.43000030517578
2014-04-04,120.68000030517578
2014-04-07,118.37000274658203
2014-04-08,113.54000091552734
2014-04-09,120.88999938964844
2014-04-10,114.58999633789062
2014-04-11,113.19000244140625
2014-04-14,104.6500015258789
2014-04-15,98.20999908447266
2014-04-16,102.41000366210938
2014-04-17,108.63999938964844
2014-04-21,116.33999633789062
2014-04-22,124.87999725341797
2014-04-23,124.5999984741211
2014-04-24,122.5
2014-04-25,120.88999938964844
2014-04-28,122.5
2014-04-29,122.70999908447266
2014-04-30,120.95999908447266
2014-05-01,119.48999786376953
2014-05-02,120.88999938964844
2014-05-05,117.31999969482422
2014-05-06,117.66999816894531
2014-05-07,112.0
2014-05-08,112.0
2014-05-09,110.94999694824219
2014-05-12,113.4000015258789
2014-05-13,113.61000061035156
2014-05-14,112.69999694824219
2014-05-15,114.16999816894531
2014-05-16,117.73999786376953
2014-05-19,120.26000213623047
2014-05-20,119.7699966430664
2014-05-21,118.51000213623047
2014-05-22,119.7699966430664
2014-05-23,120.4000015258789
2014-05-27,121.16999816894531
2014-05-28,121.02999877929688
2014-05-29,119.83999633789062
2014-05-30,119.7699966430664
2014-06-02,118.08999633789062
2014-06-03,115.08000183105469
2014-06-04,118.30000305175781
2014-06-05,120.95999908447266
2014-06-06,121.94000244140625
2014-06-09,123.9000015258789
2014-06-10,133.0
2014-06-11,144.33999633789062
2014-06-12,137.33999633789062
2014-06-13,136.77999877929688
2014-06-16,131.4600067138672
2014-06-17,134.9600067138672
2014-06-18,131.52999877929688
2014-06-19,130.89999389648438
2014-06-20,138.11000061035156
2014-06-23,128.8699951171875
2014-06-24,122.56999969482422
2014-06-25,125.79000091552734
2014-06-26,121.16999816894531
2014-06-27,119.13999938964844
2014-06-30,121.16999816894531
2014-07-01,125.58000183105469
2014-07-02,132.92999267578125
2014-07-03,134.88999938964844
2014-07-07,138.11000061035156
2014-07-08,129.77999877929688
2014-07-09,134.47000122070312
2014-07-10,130.1999969482422
2014-07-11,132.08999633789062
2014-07-14,133.6999969482422
2014-07-15,128.58999633789062
2014-07-16,124.5999984741211
2014-07-17,119.27999877929688
2014-07-18,119.20999908447266
2014-07-21,127.54000091552734
2014-07-22,125.86000061035156
2014-07-23,125.93000030517578
2014-07-24,126.0
2014-07-25,127.68000030517578
2014-07-28,126.13999938964844
2014-07-29,125.58000183105469
2014-07-30,126.13999938964844
2014-07-31,121.94000244140625
2014-08-01,121.23999786376953
2014-08-04,123.19999694824219
2014-08-05,126.48999786376953
2014-08-06,135.24000549316406
2014-08-07,136.22000122070312
2014-08-08,139.64999389648438
2014-08-11,142.1699981689453
2014-08-12,140.35000610351562
2014-08-13,138.60000610351562
2014-08-14,145.25
2014-08-15,148.3300018310547
2014-08-18,152.11000061035156
2014-08-19,144.69000244140625
2014-08-20,147.49000549316406
2014-08-21,144.47999572753906
2014-08-22,146.44000244140625
2014-08-25,144.75999450683594
2014-08-26,144.27000427246094
2014-08-27,138.0399932861328
2014-08-28,134.3300018310547
2014-08-29,134.82000732421875
2014-09-02,129.00999450683594
2014-09-03,126.13999938964844
2014-09-04,117.87999725341797
2014-09-05,116.62000274658203
