,ATEX
2015-02-03,40.0
2015-02-04,41.0
2015-02-05,42.0
2015-02-06,43.0
2015-02-09,43.970001220703125
2015-02-10,46.0
2015-02-11,46.95000076293945
2015-02-12,43.90700149536133
2015-02-13,46.0
2015-02-17,54.0
2015-02-18,55.0
2015-02-19,52.66999816894531
2015-02-20,55.0
2015-02-23,54.0
2015-02-24,53.790000915527344
2015-02-25,52.63999938964844
2015-02-26,54.5
2015-02-27,54.0
2015-03-02,50.9900016784668
2015-03-03,50.27000045776367
2015-03-04,50.0
2015-03-05,48.369998931884766
2015-03-06,50.0
2015-03-09,50.0
2015-03-10,46.93000030517578
2015-03-11,48.4900016784668
2015-03-12,49.0
2015-03-13,47.0
2015-03-16,45.470001220703125
2015-03-17,45.0
2015-03-18,44.9900016784668
2015-03-19,45.0
2015-03-20,48.290000915527344
2015-03-23,49.900001525878906
2015-03-24,50.0
2015-03-25,49.689998626708984
2015-03-26,48.25
2015-03-27,48.34000015258789
2015-03-30,49.9900016784668
2015-03-31,50.0
2015-04-01,49.9900016784668
2015-04-02,49.5
2015-04-06,49.9900016784668
2015-04-07,50.0
2015-04-08,49.9900016784668
2015-04-09,50.0
2015-04-10,50.0
2015-04-13,48.810001373291016
2015-04-14,48.9900016784668
2015-04-15,49.9900016784668
2015-04-16,50.0
2015-04-17,49.5
2015-04-20,49.79999923706055
2015-04-21,50.27000045776367
2015-04-22,50.060001373291016
2015-04-23,50.68000030517578
2015-04-24,52.959999084472656
2015-04-27,50.22999954223633
2015-04-28,49.40999984741211
2015-04-29,49.20000076293945
2015-04-30,49.44499969482422
2015-05-01,49.15999984741211
2015-05-04,49.5
2015-05-05,50.0
2015-05-06,50.0
2015-05-07,49.349998474121094
2015-05-08,48.38999938964844
2015-05-11,43.880001068115234
2015-05-12,41.45000076293945
2015-05-13,44.11000061035156
2015-05-14,44.5099983215332
2015-05-15,44.97999954223633
2015-05-18,45.2599983215332
2015-05-19,45.5
2015-05-20,48.779998779296875
2015-05-21,48.5
2015-05-22,47.599998474121094
