,BSCO
2014-09-19,20.059999465942383
2014-09-22,20.059999465942383
2014-09-23,20.059999465942383
2014-09-24,20.06999969482422
2014-09-25,20.076000213623047
2014-09-26,20.076000213623047
2014-09-29,20.024999618530273
2014-09-30,20.070999145507812
2014-10-01,20.25
2014-10-02,20.25
2014-10-03,20.25
2014-10-06,20.25
2014-10-07,20.350000381469727
2014-10-08,20.40999984741211
2014-10-09,20.299999237060547
2014-10-10,20.329999923706055
2014-10-13,20.329999923706055
2014-10-14,20.43000030517578
2014-10-15,20.459999084472656
2014-10-16,20.520000457763672
2014-10-17,20.579999923706055
2014-10-20,20.56999969482422
2014-10-21,20.5
2014-10-22,20.389999389648438
2014-10-23,20.389999389648438
2014-10-24,20.43600082397461
2014-10-27,20.43600082397461
2014-10-28,20.43000030517578
2014-10-29,20.350000381469727
2014-10-30,20.350000381469727
2014-10-31,20.350000381469727
2014-11-03,20.209999084472656
2014-11-04,20.25
2014-11-05,20.270000457763672
2014-11-06,20.25
2014-11-07,20.309999465942383
2014-11-10,20.209999084472656
2014-11-11,20.238000869750977
2014-11-12,20.170000076293945
2014-11-13,20.239999771118164
2014-11-14,20.226999282836914
2014-11-17,20.270000457763672
2014-11-18,20.211999893188477
2014-11-19,20.18000030517578
2014-11-20,20.200000762939453
2014-11-21,20.260000228881836
2014-11-24,20.280000686645508
2014-11-25,20.350000381469727
2014-11-26,20.459999084472656
2014-11-28,20.389999389648438
2014-12-01,20.350000381469727
2014-12-02,20.257999420166016
2014-12-03,20.2549991607666
2014-12-04,20.299999237060547
2014-12-05,20.270000457763672
2014-12-08,20.31999969482422
2014-12-09,20.329999923706055
2014-12-10,20.420000076293945
2014-12-11,20.381999969482422
2014-12-12,20.430999755859375
2014-12-15,20.339000701904297
2014-12-16,20.43000030517578
2014-12-17,20.395000457763672
2014-12-18,20.364999771118164
2014-12-19,20.399999618530273
2014-12-22,20.520000457763672
2014-12-23,20.489999771118164
2014-12-24,20.424999237060547
2014-12-26,20.399999618530273
2014-12-29,20.34000015258789
2014-12-30,20.450000762939453
2014-12-31,20.459999084472656
2015-01-02,20.579999923706055
2015-01-05,20.66900062561035
2015-01-06,20.700000762939453
2015-01-07,20.726999282836914
2015-01-08,20.61400032043457
2015-01-09,20.579999923706055
2015-01-12,20.7450008392334
2015-01-13,20.81999969482422
2015-01-14,20.90999984741211
2015-01-15,21.0
2015-01-16,20.864999771118164
2015-01-20,20.979999542236328
2015-01-21,20.8799991607666
2015-01-22,20.850000381469727
2015-01-23,21.007999420166016
2015-01-26,21.020000457763672
2015-01-27,20.9950008392334
2015-01-28,21.270000457763672
2015-01-29,21.20199966430664
2015-01-30,21.25
2015-02-02,21.06999969482422
2015-02-03,21.079999923706055
2015-02-04,21.0
2015-02-05,21.040000915527344
2015-02-06,20.850000381469727
2015-02-09,20.913000106811523
2015-02-10,20.899999618530273
2015-02-11,20.850000381469727
2015-02-12,20.920000076293945
2015-02-13,20.90999984741211
2015-02-17,20.709999084472656
2015-02-18,20.93000030517578
2015-02-19,20.850000381469727
2015-02-20,20.829999923706055
2015-02-23,20.920000076293945
2015-02-24,21.0310001373291
