,DCRCU
2021-03-24,9.880000114440918
2021-03-25,9.850000381469727
2021-03-26,10.0
2021-03-29,10.0
2021-03-30,9.949999809265137
2021-03-31,9.960000038146973
2021-04-01,9.979999542236328
2021-04-05,10.020000457763672
2021-04-06,10.0
2021-04-07,10.0
2021-04-08,10.0600004196167
2021-04-09,10.079999923706055
2021-04-12,10.010000228881836
2021-04-13,10.050000190734863
2021-04-14,10.029999732971191
2021-04-15,10.0600004196167
2021-04-16,10.15999984741211
2021-04-19,10.0
2021-04-20,10.0600004196167
2021-04-21,10.010000228881836
2021-04-22,10.039999961853027
2021-04-23,10.010000228881836
2021-04-26,10.010000228881836
2021-04-27,10.010000228881836
2021-04-28,10.09000015258789
2021-04-29,10.069999694824219
2021-04-30,10.109999656677246
2021-05-03,10.020000457763672
2021-05-04,10.069999694824219
2021-05-05,10.069999694824219
2021-05-06,10.010000228881836
2021-05-07,10.010000228881836
2021-05-10,10.020000457763672
2021-05-11,10.020000457763672
2021-05-12,10.0
2021-05-13,9.960000038146973
2021-05-14,9.949999809265137
