,EUCRU
2020-10-23,10.0
2020-10-26,10.0
2020-10-27,10.0
2020-10-28,10.0
2020-10-29,10.0
2020-10-30,9.989999771118164
2020-11-02,9.970000267028809
2020-11-03,9.989999771118164
2020-11-04,10.0
2020-11-05,10.008000373840332
2020-11-06,10.020000457763672
2020-11-09,10.02400016784668
2020-11-10,10.0
2020-11-11,10.0
2020-11-12,10.0
2020-11-13,10.0
2020-11-16,10.0
2020-11-17,10.017000198364258
2020-11-18,10.0
2020-11-19,10.0
2020-11-20,10.0
2020-11-23,10.09000015258789
2020-11-24,10.100000381469727
2020-11-25,10.100000381469727
2020-11-27,10.100000381469727
2020-11-30,10.050000190734863
2020-12-01,10.050000190734863
2020-12-02,10.039999961853027
2020-12-03,10.12600040435791
2020-12-04,10.12600040435791
2020-12-07,10.199999809265137
2020-12-08,10.149999618530273
2020-12-09,10.210000038146973
2020-12-10,10.380000114440918
2020-12-11,10.390000343322754
2020-12-14,10.350000381469727
2020-12-15,10.399999618530273
2020-12-16,10.399999618530273
2020-12-17,10.423999786376953
2020-12-18,10.300000190734863
2020-12-21,10.220000267028809
2020-12-22,10.270000457763672
2020-12-23,10.300000190734863
2020-12-24,10.489999771118164
2020-12-28,10.399999618530273
2020-12-29,10.300000190734863
2020-12-30,10.4399995803833
2020-12-31,10.65999984741211
2021-01-04,10.5
2021-01-05,10.600000381469727
2021-01-06,10.600000381469727
2021-01-07,10.41100025177002
2021-01-08,10.41100025177002
2021-01-11,10.670000076293945
2021-01-12,10.699999809265137
2021-01-13,10.850000381469727
2021-01-14,10.899999618530273
2021-01-15,10.800000190734863
2021-01-19,10.800000190734863
2021-01-20,10.75
2021-01-21,10.553999900817871
2021-01-22,10.75
2021-01-25,10.670000076293945
2021-01-26,10.739999771118164
2021-01-27,10.430000305175781
2021-01-28,10.489999771118164
2021-01-29,10.550000190734863
2021-02-01,10.5
2021-02-02,10.75
2021-02-03,10.850000381469727
2021-02-04,10.699999809265137
2021-02-05,10.75
2021-02-08,10.800000190734863
2021-02-09,10.850000381469727
2021-02-10,10.899999618530273
2021-02-11,10.949999809265137
2021-02-12,10.949999809265137
2021-02-16,11.0
2021-02-17,11.130000114440918
2021-02-18,11.022000312805176
2021-02-19,11.100000381469727
2021-02-22,11.09000015258789
2021-02-23,11.0
2021-02-24,11.050000190734863
2021-02-25,11.0600004196167
2021-02-26,11.050000190734863
2021-03-01,11.050000190734863
2021-03-02,10.680000305175781
2021-03-03,10.680000305175781
2021-03-04,10.378000259399414
2021-03-05,10.25
2021-03-08,10.25
2021-03-09,10.404999732971191
2021-03-10,10.539999961853027
2021-03-11,10.470000267028809
2021-03-12,10.470000267028809
2021-03-15,10.399999618530273
2021-03-16,10.368000030517578
2021-03-17,10.368000030517578
2021-03-18,10.368000030517578
2021-03-19,10.368000030517578
2021-03-22,10.350000381469727
2021-03-23,10.0
2021-03-24,10.029999732971191
2021-03-25,9.970000267028809
2021-03-26,10.21500015258789
2021-03-29,10.1850004196167
2021-03-30,10.01200008392334
2021-03-31,10.01200008392334
2021-04-01,10.100000381469727
2021-04-05,10.12399959564209
2021-04-06,10.12399959564209
2021-04-07,10.12399959564209
2021-04-08,10.0
2021-04-09,10.0
2021-04-12,10.039999961853027
2021-04-13,9.9399995803833
2021-04-14,9.9399995803833
2021-04-15,10.0
2021-04-16,9.979999542236328
2021-04-19,9.979999542236328
2021-04-20,9.979999542236328
2021-04-21,9.979999542236328
2021-04-22,9.979999542236328
2021-04-23,10.100000381469727
2021-04-26,9.970000267028809
2021-04-27,9.970000267028809
2021-04-28,9.970000267028809
2021-04-29,9.970000267028809
2021-04-30,9.972999572753906
2021-05-03,10.020000457763672
2021-05-04,10.020000457763672
2021-05-05,10.270000457763672
2021-05-06,10.039999961853027
2021-05-07,10.010000228881836
2021-05-10,10.050000190734863
2021-05-11,10.050000190734863
2021-05-12,10.050000190734863
2021-05-13,10.050000190734863
2021-05-14,10.050000190734863
