,EUSGU
2021-01-22,10.880000114440918
2021-01-25,11.149999618530273
2021-01-26,10.989999771118164
2021-01-27,10.720000267028809
2021-01-28,10.949999809265137
2021-01-29,10.739999771118164
2021-02-01,10.800000190734863
2021-02-02,11.069999694824219
2021-02-03,11.069999694824219
2021-02-04,10.979999542236328
2021-02-05,11.0
2021-02-08,10.890000343322754
2021-02-09,10.920000076293945
2021-02-10,10.989999771118164
2021-02-11,10.979999542236328
2021-02-12,11.1899995803833
2021-02-16,11.100000381469727
2021-02-17,11.109999656677246
2021-02-18,11.050000190734863
2021-02-19,11.029999732971191
2021-02-22,11.050000190734863
2021-02-23,10.760000228881836
2021-02-24,10.800000190734863
2021-02-25,10.640000343322754
2021-02-26,10.59000015258789
2021-03-01,10.550000190734863
2021-03-02,10.350000381469727
2021-03-03,10.239999771118164
2021-03-04,10.100000381469727
2021-03-05,10.25
2021-03-08,10.25
2021-03-09,10.25
2021-03-10,10.300000190734863
2021-03-11,10.319999694824219
2021-03-12,10.420000076293945
2021-03-15,10.399999618530273
2021-03-16,10.40999984741211
2021-03-17,10.260000228881836
2021-03-18,10.079999923706055
2021-03-19,10.119999885559082
2021-03-22,10.119999885559082
2021-03-23,10.09000015258789
2021-03-24,9.970000267028809
2021-03-25,9.920000076293945
2021-03-26,9.9399995803833
2021-03-29,10.069999694824219
2021-03-30,9.979999542236328
2021-03-31,9.975000381469727
2021-04-01,10.050999641418457
2021-04-05,10.039999961853027
2021-04-06,10.050000190734863
2021-04-07,10.050000190734863
2021-04-08,10.149999618530273
2021-04-09,10.149999618530273
2021-04-12,10.149999618530273
2021-04-13,10.140000343322754
2021-04-14,10.149999618530273
2021-04-15,10.149999618530273
2021-04-16,10.140000343322754
2021-04-19,10.140000343322754
2021-04-20,10.010000228881836
2021-04-21,10.055000305175781
2021-04-22,10.020000457763672
2021-04-23,10.09000015258789
2021-04-26,10.024999618530273
2021-04-27,10.09000015258789
2021-04-28,10.010000228881836
2021-04-29,10.0
2021-04-30,10.079999923706055
2021-05-03,10.050000190734863
2021-05-04,10.020000457763672
2021-05-05,10.050000190734863
2021-05-06,10.050000190734863
2021-05-07,10.050000190734863
2021-05-10,10.050000190734863
2021-05-11,10.09000015258789
2021-05-12,10.039999961853027
2021-05-13,10.039999961853027
2021-05-14,10.0
