,CARG
2017-10-12,27.579999923706055
2017-10-13,28.530000686645508
2017-10-16,31.850000381469727
2017-10-17,28.280000686645508
2017-10-18,28.139999389648438
2017-10-19,28.229999542236328
2017-10-20,29.190000534057617
2017-10-23,28.920000076293945
2017-10-24,29.09000015258789
2017-10-25,29.010000228881836
2017-10-26,30.030000686645508
2017-10-27,30.959999084472656
2017-10-30,31.739999771118164
2017-10-31,32.599998474121094
2017-11-01,31.719999313354492
2017-11-02,31.790000915527344
2017-11-03,31.440000534057617
2017-11-06,30.420000076293945
2017-11-07,29.760000228881836
2017-11-08,28.489999771118164
2017-11-09,28.350000381469727
2017-11-10,28.969999313354492
2017-11-13,29.549999237060547
2017-11-14,29.81999969482422
2017-11-15,31.030000686645508
2017-11-16,31.350000381469727
2017-11-17,30.81999969482422
2017-11-20,28.989999771118164
2017-11-21,28.639999389648438
2017-11-22,28.600000381469727
2017-11-24,28.65999984741211
2017-11-27,29.15999984741211
2017-11-28,29.969999313354492
2017-11-29,29.299999237060547
2017-11-30,29.479999542236328
2017-12-01,29.299999237060547
2017-12-04,29.290000915527344
2017-12-05,30.559999465942383
2017-12-06,30.299999237060547
2017-12-07,30.860000610351562
2017-12-08,30.329999923706055
2017-12-11,30.559999465942383
2017-12-12,29.799999237060547
2017-12-13,29.459999084472656
2017-12-14,30.100000381469727
2017-12-15,30.6299991607666
2017-12-18,31.09000015258789
2017-12-19,31.040000915527344
2017-12-20,30.100000381469727
2017-12-21,29.90999984741211
2017-12-22,29.940000534057617
2017-12-26,29.809999465942383
2017-12-27,29.799999237060547
2017-12-28,29.770000457763672
2017-12-29,29.979999542236328
2018-01-02,30.1299991607666
2018-01-03,29.850000381469727
2018-01-04,30.06999969482422
2018-01-05,29.959999084472656
2018-01-08,30.350000381469727
2018-01-09,30.479999542236328
2018-01-10,30.329999923706055
2018-01-11,30.719999313354492
2018-01-12,30.6299991607666
2018-01-16,32.34000015258789
2018-01-17,34.40999984741211
2018-01-18,33.849998474121094
2018-01-19,36.02000045776367
2018-01-22,31.6200008392334
2018-01-23,32.34000015258789
2018-01-24,33.08000183105469
2018-01-25,34.0099983215332
2018-01-26,33.9900016784668
2018-01-29,34.0099983215332
2018-01-30,33.66999816894531
2018-01-31,33.5
2018-02-01,32.939998626708984
2018-02-02,31.040000915527344
2018-02-05,30.34000015258789
2018-02-06,29.829999923706055
2018-02-07,30.530000686645508
2018-02-08,30.06999969482422
2018-02-09,29.399999618530273
2018-02-12,30.09000015258789
2018-02-13,30.75
2018-02-14,31.229999542236328
2018-02-15,31.700000762939453
2018-02-16,32.33000183105469
2018-02-20,32.95000076293945
2018-02-21,32.75
2018-02-22,31.920000076293945
2018-02-23,31.899999618530273
2018-02-26,33.81999969482422
2018-02-27,32.72999954223633
2018-02-28,32.279998779296875
2018-03-01,32.31999969482422
2018-03-02,35.95000076293945
2018-03-05,35.720001220703125
2018-03-06,36.060001373291016
2018-03-07,35.52000045776367
2018-03-08,36.45000076293945
2018-03-09,37.810001373291016
2018-03-12,38.529998779296875
2018-03-13,35.18000030517578
2018-03-14,36.56999969482422
2018-03-15,36.099998474121094
2018-03-16,35.5
2018-03-19,34.560001373291016
2018-03-20,34.75
2018-03-21,35.560001373291016
2018-03-22,35.54999923706055
2018-03-23,34.0
2018-03-26,34.619998931884766
2018-03-27,33.720001220703125
2018-03-28,33.650001525878906
2018-03-29,38.470001220703125
2018-04-02,37.630001068115234
2018-04-03,36.56999969482422
2018-04-04,36.90999984741211
2018-04-05,38.029998779296875
2018-04-06,38.0
2018-04-09,37.900001525878906
2018-04-10,38.060001373291016
2018-04-11,34.0
2018-04-12,33.75
2018-04-13,32.310001373291016
2018-04-16,32.540000915527344
2018-04-17,32.47999954223633
2018-04-18,32.880001068115234
2018-04-19,32.84000015258789
2018-04-20,32.97999954223633
2018-04-23,32.970001220703125
2018-04-24,32.459999084472656
2018-04-25,31.809999465942383
2018-04-26,31.280000686645508
2018-04-27,30.520000457763672
2018-04-30,30.920000076293945
2018-05-01,31.84000015258789
2018-05-02,31.829999923706055
2018-05-03,31.959999084472656
2018-05-04,32.13999938964844
2018-05-07,32.810001373291016
2018-05-08,32.619998931884766
2018-05-09,32.959999084472656
2018-05-10,33.33000183105469
2018-05-11,32.70000076293945
2018-05-14,31.989999771118164
2018-05-15,31.969999313354492
2018-05-16,32.16999816894531
2018-05-17,32.189998626708984
2018-05-18,31.889999389648438
2018-05-21,31.8700008392334
2018-05-22,31.079999923706055
2018-05-23,31.8799991607666
2018-05-24,31.290000915527344
2018-05-25,31.65999984741211
2018-05-29,32.130001068115234
2018-05-30,33.45000076293945
2018-05-31,33.15999984741211
2018-06-01,33.540000915527344
2018-06-04,33.66999816894531
2018-06-05,33.38999938964844
2018-06-06,33.40999984741211
2018-06-07,34.27000045776367
2018-06-08,34.95000076293945
2018-06-11,34.540000915527344
2018-06-12,35.58000183105469
2018-06-13,35.790000915527344
2018-06-14,35.34000015258789
2018-06-15,34.75
2018-06-18,35.75
2018-06-19,35.790000915527344
2018-06-20,35.7400016784668
2018-06-21,35.0099983215332
2018-06-22,34.61000061035156
2018-06-25,34.93000030517578
2018-06-26,34.86000061035156
2018-06-27,33.869998931884766
2018-06-28,34.349998474121094
