,AMTBB
2018-10-18,25.5
2018-10-19,26.43000030517578
2018-10-22,25.5
2018-10-23,24.600000381469727
2018-10-24,26.0
2018-10-25,26.0
2018-10-26,19.809999465942383
2018-10-29,19.809999465942383
2018-10-30,19.809999465942383
2018-10-31,21.0
2018-11-01,21.0
2018-11-02,19.5
2018-11-05,19.5
2018-11-06,17.639999389648438
2018-11-07,19.010000228881836
2018-11-08,17.600000381469727
2018-11-09,17.600000381469727
2018-11-12,17.600000381469727
2018-11-13,17.309999465942383
2018-11-14,16.75
2018-11-15,15.75
2018-11-16,14.5
2018-11-19,15.75
2018-11-20,16.25
2018-11-21,16.0
2018-11-23,15.5
2018-11-26,12.0
2018-11-27,14.0
2018-11-28,14.100000381469727
2018-11-29,14.5
2018-11-30,14.5
2018-12-03,14.300000190734863
2018-12-04,14.0
2018-12-06,13.930000305175781
2018-12-07,13.930000305175781
2018-12-10,13.930000305175781
2018-12-11,13.0
2018-12-12,13.0
2018-12-13,13.170000076293945
2018-12-14,11.899999618530273
2018-12-17,11.899999618530273
2018-12-18,11.5
2018-12-19,11.050000190734863
2018-12-20,10.0
2018-12-21,10.0
2018-12-24,10.0
2018-12-26,10.0
2018-12-27,10.020000457763672
2018-12-28,10.020000457763672
2018-12-31,10.020000457763672
2019-01-02,13.949999809265137
2019-01-03,13.0
2019-01-04,12.100000381469727
2019-01-07,11.0
2019-01-08,10.0
2019-01-09,12.1899995803833
2019-01-10,12.020000457763672
2019-01-11,10.800000190734863
2019-01-14,12.220000267028809
2019-01-15,12.5
2019-01-16,12.0
2019-01-17,12.210000038146973
2019-01-18,12.399999618530273
2019-01-22,11.5600004196167
2019-01-23,11.5600004196167
2019-01-24,11.229999542236328
2019-01-25,11.229999542236328
2019-01-28,11.5
2019-01-29,11.5
2019-01-30,12.5
2019-01-31,12.5
2019-02-01,12.5
2019-02-04,12.5
2019-02-05,11.350000381469727
2019-02-06,11.350000381469727
2019-02-07,11.109999656677246
2019-02-08,11.850000381469727
2019-02-11,11.5
2019-02-12,11.680000305175781
2019-02-13,11.75
2019-02-14,12.0
2019-02-15,11.949999809265137
2019-02-19,12.050000190734863
2019-02-20,12.050000190734863
2019-02-21,12.050000190734863
2019-02-22,12.25
2019-02-25,12.199999809265137
2019-02-26,12.25
2019-02-27,12.979999542236328
2019-02-28,12.829999923706055
2019-03-01,12.699999809265137
2019-03-04,12.859999656677246
2019-03-05,12.90999984741211
2019-03-06,13.100000381469727
2019-03-07,13.100000381469727
2019-03-08,13.130000114440918
2019-03-11,12.25
2019-03-12,12.25
2019-03-13,12.390000343322754
2019-03-14,12.699999809265137
2019-03-15,12.920000076293945
2019-03-18,12.579999923706055
2019-03-19,12.579999923706055
2019-03-20,12.369999885559082
2019-03-21,12.369999885559082
2019-03-22,12.369999885559082
2019-03-25,12.4399995803833
2019-03-26,12.4399995803833
2019-03-27,12.4399995803833
2019-03-28,12.4399995803833
2019-03-29,12.4399995803833
2019-04-01,12.4399995803833
2019-04-02,12.4399995803833
2019-04-03,12.149999618530273
2019-04-04,12.0
2019-04-05,12.0
2019-04-08,11.010000228881836
2019-04-09,11.010000228881836
2019-04-10,11.1899995803833
2019-04-11,11.199999809265137
2019-04-12,11.770000457763672
2019-04-15,11.270000457763672
2019-04-16,11.270000457763672
2019-04-17,11.75
2019-04-18,11.699999809265137
2019-04-22,11.510000228881836
2019-04-23,11.5
2019-04-24,11.5
2019-04-25,11.75
2019-04-26,11.970000267028809
2019-04-29,12.0
2019-04-30,11.300000190734863
2019-05-01,12.600000381469727
2019-05-02,13.0
2019-05-03,12.5
2019-05-06,13.0
2019-05-07,12.34000015258789
2019-05-08,11.779999732971191
2019-05-09,11.779999732971191
2019-05-10,12.109999656677246
2019-05-13,12.109999656677246
2019-05-14,12.800000190734863
2019-05-15,12.630000114440918
2019-05-16,13.5
2019-05-17,13.5
2019-05-20,13.600000381469727
2019-05-21,13.600000381469727
2019-05-22,13.399999618530273
2019-05-23,13.399999618530273
2019-05-24,13.399999618530273
2019-05-28,13.989999771118164
2019-05-29,13.65999984741211
2019-05-30,13.520000457763672
2019-05-31,13.529999732971191
2019-06-03,13.510000228881836
2019-06-04,12.5
2019-06-05,13.0
2019-06-06,13.130000114440918
2019-06-07,13.390000343322754
2019-06-10,13.050000190734863
2019-06-11,12.779999732971191
2019-06-12,13.09000015258789
2019-06-13,13.09000015258789
2019-06-14,13.949999809265137
2019-06-17,13.59000015258789
2019-06-18,13.600000381469727
2019-06-19,14.050000190734863
2019-06-20,14.0
2019-06-21,14.0600004196167
2019-06-24,14.0
2019-06-25,14.029999732971191
2019-06-26,14.029999732971191
2019-06-27,14.260000228881836
2019-06-28,14.5
2019-07-01,15.0
2019-07-02,14.720000267028809
2019-07-03,14.649999618530273
2019-07-05,15.479999542236328
2019-07-08,15.279999732971191
2019-07-09,15.199999809265137
2019-07-10,16.0
2019-07-11,16.0
2019-07-12,15.420000076293945
2019-07-15,15.239999771118164
2019-07-16,14.649999618530273
2019-07-17,14.050000190734863
2019-07-18,13.6899995803833
2019-07-19,13.609999656677246
2019-07-22,13.609999656677246
2019-07-23,13.65999984741211
2019-07-24,13.65999984741211
2019-07-25,13.699999809265137
2019-07-26,13.710000038146973
2019-07-29,13.710000038146973
2019-07-30,15.0
2019-07-31,15.0
2019-08-01,16.0
2019-08-02,15.5
2019-08-05,15.5
2019-08-06,14.010000228881836
2019-08-07,14.520000457763672
2019-08-08,14.489999771118164
2019-08-09,14.489999771118164
2019-08-12,14.489999771118164
2019-08-13,14.050000190734863
2019-08-14,14.050000190734863
2019-08-15,14.470000267028809
2019-08-16,13.930000305175781
2019-08-19,13.630000114440918
2019-08-20,13.630000114440918
2019-08-21,13.5
2019-08-22,13.5
2019-08-23,13.5
2019-08-26,13.569999694824219
2019-08-27,13.569999694824219
2019-08-28,13.550000190734863
2019-08-29,13.25
2019-08-30,13.25
2019-09-03,13.619999885559082
2019-09-04,13.0
2019-09-05,12.100000381469727
2019-09-06,12.789999961853027
2019-09-09,13.75
2019-09-10,14.34000015258789
2019-09-11,15.0
2019-09-12,15.0
2019-09-13,15.0
2019-09-16,15.140000343322754
2019-09-17,14.5
2019-09-18,15.050000190734863
2019-09-19,15.130000114440918
2019-09-20,15.050000190734863
2019-09-23,15.0
2019-09-24,14.850000381469727
2019-09-25,14.970000267028809
2019-09-26,14.970000267028809
2019-09-27,15.050000190734863
2019-09-30,15.550000190734863
2019-10-01,15.0
2019-10-02,14.020000457763672
2019-10-03,14.5
2019-10-04,14.15999984741211
2019-10-07,14.100000381469727
2019-10-08,14.100000381469727
2019-10-09,14.140000343322754
2019-10-10,14.140000343322754
2019-10-11,14.220000267028809
2019-10-14,14.149999618530273
2019-10-15,14.8100004196167
2019-10-16,14.0
2019-10-17,14.130000114440918
2019-10-18,14.050000190734863
2019-10-21,14.0
2019-10-22,13.829999923706055
2019-10-23,13.829999923706055
2019-10-24,13.829999923706055
2019-10-25,13.829999923706055
2019-10-28,14.489999771118164
2019-10-29,14.489999771118164
2019-10-30,14.25
2019-10-31,14.199999809265137
2019-11-01,14.399999618530273
2019-11-04,14.989999771118164
2019-11-05,15.0
2019-11-06,14.699999809265137
2019-11-07,14.949999809265137
2019-11-08,14.949999809265137
2019-11-11,14.609999656677246
2019-11-12,14.649999618530273
2019-11-13,14.850000381469727
2019-11-14,14.779999732971191
2019-11-15,14.75
2019-11-18,14.75
2019-11-19,14.75
2019-11-20,14.760000228881836
2019-11-21,14.75
