,ULE
2008-11-25,25.350000381469727
2008-11-26,25.1299991607666
2008-11-28,24.209999084472656
2008-12-01,23.899999618530273
2008-12-02,24.309999465942383
2008-12-03,24.09000015258789
2008-12-04,24.6200008392334
2008-12-05,24.299999237060547
2008-12-08,25.149999618530273
2008-12-09,25.09000015258789
2008-12-10,25.43000030517578
2008-12-11,26.809999465942383
2008-12-12,27.0
2008-12-15,28.270000457763672
2008-12-16,30.0
2008-12-17,31.239999771118164
2008-12-18,30.520000457763672
2008-12-19,28.899999618530273
2008-12-22,29.260000228881836
2008-12-23,29.34000015258789
2008-12-24,29.510000228881836
2008-12-26,29.770000457763672
2008-12-29,29.469999313354492
2008-12-30,29.84000015258789
2008-12-31,29.489999771118164
2009-01-02,29.18000030517578
2009-01-05,27.670000076293945
2009-01-06,27.440000534057617
2009-01-07,27.780000686645508
2009-01-08,28.209999084472656
2009-01-09,27.149999618530273
2009-01-12,26.780000686645508
2009-01-13,26.110000610351562
2009-01-14,25.989999771118164
2009-01-15,25.860000610351562
2009-01-16,26.649999618530273
2009-01-20,24.940000534057617
2009-01-21,25.34000015258789
2009-01-22,25.399999618530273
2009-01-23,25.31999969482422
2009-01-26,25.780000686645508
2009-01-27,26.110000610351562
2009-01-28,26.149999618530273
2009-01-29,25.209999084472656
2009-01-30,24.489999771118164
2009-02-02,24.579999923706055
2009-02-03,25.3799991607666
2009-02-04,24.68000030517578
2009-02-05,24.540000915527344
2009-02-06,25.139999389648438
2009-02-09,25.3700008392334
2009-02-10,24.760000228881836
2009-02-11,24.84000015258789
2009-02-12,24.670000076293945
2009-02-13,24.889999389648438
2009-02-17,23.799999237060547
2009-02-18,23.600000381469727
2009-02-19,23.989999771118164
2009-02-20,24.56999969482422
2009-02-23,24.149999618530273
2009-02-24,24.6200008392334
2009-02-25,24.15999984741211
2009-02-26,24.200000762939453
2009-02-27,24.059999465942383
2009-03-02,23.59000015258789
2009-03-03,23.610000610351562
2009-03-04,23.940000534057617
2009-03-05,23.530000686645508
2009-03-06,23.899999618530273
2009-03-09,23.90999984741211
2009-03-10,24.079999923706055
2009-03-11,24.639999389648438
2009-03-12,24.989999771118164
2009-03-13,24.979999542236328
2009-03-16,25.110000610351562
2009-03-17,25.200000762939453
2009-03-18,26.959999084472656
2009-03-19,27.940000534057617
2009-03-20,27.329999923706055
2009-03-23,27.84000015258789
2009-03-24,26.989999771118164
2009-03-25,27.5
2009-03-26,27.239999771118164
2009-03-27,26.280000686645508
2009-03-30,25.940000534057617
2009-03-31,26.219999313354492
2009-04-01,26.049999237060547
2009-04-02,26.81999969482422
2009-04-03,27.059999465942383
2009-04-06,26.809999465942383
2009-04-07,26.309999465942383
2009-04-08,26.149999618530273
2009-04-09,25.799999237060547
2009-04-13,26.670000076293945
2009-04-14,26.280000686645508
2009-04-15,26.079999923706055
2009-04-16,25.760000228881836
2009-04-17,25.309999465942383
2009-04-20,24.899999618530273
2009-04-21,24.860000610351562
2009-04-22,25.15999984741211
2009-04-23,25.760000228881836
2009-04-24,26.040000915527344
2009-04-27,25.299999237060547
2009-04-28,25.690000534057617
2009-04-29,26.09000015258789
2009-04-30,26.079999923706055
2009-05-01,26.149999618530273
2009-05-04,26.690000534057617
2009-05-05,26.420000076293945
2009-05-06,26.40999984741211
2009-05-07,26.59000015258789
2009-05-08,27.59000015258789
2009-05-11,27.450000762939453
2009-05-12,27.68000030517578
2009-05-13,27.5
2009-05-14,27.6299991607666
2009-05-15,27.110000610351562
2009-05-18,27.309999465942383
2009-05-19,27.6299991607666
2009-05-20,28.200000762939453
2009-05-21,28.75
2009-05-22,29.260000228881836
2009-05-26,29.09000015258789
2009-05-27,28.75
2009-05-28,28.940000534057617
2009-05-29,29.700000762939453
2009-06-01,29.84000015258789
2009-06-02,30.469999313354492
2009-06-03,29.780000686645508
2009-06-04,29.920000076293945
2009-06-05,28.989999771118164
2009-06-08,28.780000686645508
2009-06-09,29.420000076293945
2009-06-10,29.110000610351562
2009-06-11,29.530000686645508
2009-06-12,29.1200008392334
2009-06-15,28.280000686645508
2009-06-16,28.420000076293945
2009-06-17,28.889999389648438
2009-06-18,28.649999618530273
2009-06-19,28.8799991607666
2009-06-22,28.559999465942383
2009-06-23,29.389999389648438
2009-06-24,28.84000015258789
2009-06-25,29.0
2009-06-26,29.34000015258789
2009-06-29,29.3799991607666
2009-06-30,29.209999084472656
2009-07-01,29.600000381469727
2009-07-02,29.06999969482422
2009-07-06,28.860000610351562
2009-07-07,28.75
2009-07-08,28.549999237060547
2009-07-09,29.15999984741211
2009-07-10,28.850000381469727
2009-07-13,29.010000228881836
2009-07-14,28.790000915527344
2009-07-15,29.469999313354492
2009-07-16,29.6200008392334
