,FORA
2021-03-03,22.899999618530273
2021-03-04,15.609999656677246
2021-03-05,12.180000305175781
2021-03-08,11.729999542236328
2021-03-09,11.8100004196167
2021-03-10,12.300000190734863
2021-03-11,12.609999656677246
2021-03-12,12.460000038146973
2021-03-15,12.5
2021-03-16,12.4399995803833
2021-03-17,12.239999771118164
2021-03-18,12.479999542236328
2021-03-19,15.350000381469727
2021-03-22,13.430000305175781
2021-03-23,12.34000015258789
2021-03-24,12.0
2021-03-25,11.5
2021-03-26,10.4399995803833
2021-03-29,11.40999984741211
2021-03-30,10.4399995803833
2021-03-31,10.109999656677246
2021-04-01,9.75
2021-04-05,10.5
2021-04-06,10.5
2021-04-07,10.5
2021-04-08,10.600000381469727
2021-04-09,11.420000076293945
2021-04-12,12.4399995803833
2021-04-13,12.619999885559082
2021-04-14,12.800000190734863
2021-04-15,12.109999656677246
2021-04-16,12.050000190734863
2021-04-19,12.199999809265137
2021-04-20,12.649999618530273
2021-04-21,11.829999923706055
2021-04-22,12.289999961853027
2021-04-23,12.4399995803833
2021-04-26,12.850000381469727
2021-04-27,12.829999923706055
2021-04-28,12.0
2021-04-29,11.75
2021-04-30,11.319999694824219
2021-05-03,11.399999618530273
2021-05-04,10.899999618530273
2021-05-05,11.369999885559082
2021-05-06,10.9399995803833
2021-05-07,11.0
2021-05-10,10.899999618530273
2021-05-11,9.869999885559082
2021-05-12,9.979999542236328
2021-05-13,9.470000267028809
2021-05-14,9.390000343322754
