,FJP
2011-04-26,41.560001373291016
2011-04-27,41.560001373291016
2011-04-28,41.560001373291016
2011-04-29,41.560001373291016
2011-05-02,41.560001373291016
2011-05-03,42.79999923706055
2011-05-04,42.79999923706055
2011-05-05,42.65999984741211
2011-05-06,42.65999984741211
2011-05-09,42.65999984741211
2011-05-10,43.279998779296875
2011-05-11,43.279998779296875
2011-05-12,42.560001373291016
2011-05-13,42.560001373291016
2011-05-16,42.560001373291016
2011-05-17,41.2400016784668
2011-05-18,42.0
2011-05-19,42.0
2011-05-20,42.0
2011-05-23,40.15999984741211
2011-05-24,40.15999984741211
2011-05-25,40.38999938964844
2011-05-26,40.38999938964844
2011-05-27,40.38999938964844
2011-05-31,40.38999938964844
2011-06-01,40.38999938964844
2011-06-02,40.38999938964844
2011-06-03,40.38999938964844
2011-06-06,40.38999938964844
2011-06-07,40.38999938964844
2011-06-08,40.38999938964844
2011-06-09,41.45000076293945
2011-06-10,41.18000030517578
2011-06-13,41.18000030517578
2011-06-14,41.18000030517578
2011-06-15,41.20000076293945
2011-06-16,41.0099983215332
2011-06-17,41.16999816894531
2011-06-20,41.16999816894531
2011-06-21,41.95000076293945
2011-06-22,42.220001220703125
2011-06-23,42.220001220703125
2011-06-24,41.959999084472656
2011-06-27,42.11000061035156
2011-06-28,42.29999923706055
2011-06-29,42.88999938964844
2011-06-30,42.88999938964844
2011-07-01,42.88999938964844
2011-07-05,43.52000045776367
2011-07-06,43.61000061035156
2011-07-07,44.060001373291016
2011-07-08,43.65999984741211
2011-07-11,43.22999954223633
2011-07-12,43.599998474121094
2011-07-13,44.16999816894531
2011-07-14,44.16999816894531
2011-07-15,44.16999816894531
2011-07-18,43.650001525878906
2011-07-19,43.650001525878906
2011-07-20,45.119998931884766
2011-07-21,45.130001068115234
2011-07-22,44.90999984741211
2011-07-25,45.08000183105469
2011-07-26,45.189998626708984
2011-07-27,44.599998474121094
2011-07-28,44.599998474121094
2011-07-29,44.349998474121094
2011-08-01,44.2599983215332
2011-08-02,46.06999969482422
2011-08-03,43.709999084472656
2011-08-04,43.709999084472656
2011-08-05,41.52000045776367
2011-08-08,40.5
2011-08-09,40.95000076293945
2011-08-10,40.5099983215332
2011-08-11,41.029998779296875
2011-08-12,40.79999923706055
2011-08-15,41.060001373291016
2011-08-16,41.060001373291016
2011-08-17,41.0099983215332
2011-08-18,39.810001373291016
2011-08-19,39.66999816894531
2011-08-22,38.7400016784668
2011-08-23,39.06999969482422
2011-08-24,38.88999938964844
2011-08-25,38.650001525878906
2011-08-26,38.650001525878906
2011-08-29,38.650001525878906
2011-08-30,38.650001525878906
2011-08-31,38.650001525878906
2011-09-01,38.650001525878906
2011-09-02,38.650001525878906
2011-09-06,38.650001525878906
2011-09-07,39.709999084472656
2011-09-08,39.560001373291016
2011-09-09,38.59000015258789
2011-09-12,38.59000015258789
2011-09-13,38.59000015258789
2011-09-14,39.369998931884766
2011-09-15,39.369998931884766
2011-09-16,39.369998931884766
2011-09-19,39.13999938964844
2011-09-20,39.13999938964844
2011-09-21,39.540000915527344
2011-09-22,38.34000015258789
2011-09-23,38.34000015258789
2011-09-26,38.34000015258789
2011-09-27,38.34000015258789
2011-09-28,38.34000015258789
2011-09-29,40.34000015258789
2011-09-30,40.34000015258789
2011-10-03,40.34000015258789
