,RNK
2008-08-11,2.200000047683716
2008-08-12,
2008-08-13,2.2300000190734863
2008-08-14,
2008-08-15,2.3499999046325684
2008-08-18,
2008-08-19,
2008-08-20,2.259999990463257
2008-08-21,2.200000047683716
2008-08-22,2.1600000858306885
2008-08-25,2.1600000858306885
2008-08-26,2.180000066757202
2008-08-27,2.1600000858306885
2008-08-28,2.1600000858306885
2008-08-29,2.1600000858306885
2008-09-02,2.200000047683716
2008-09-03,2.200000047683716
2008-09-04,2.0
2008-09-05,2.2699999809265137
2008-09-08,2.259999990463257
2008-09-09,2.1500000953674316
2008-09-10,2.5
2008-09-11,2.200000047683716
2008-09-12,2.200000047683716
2008-09-15,2.0
2008-09-16,1.850000023841858
2008-09-17,
2008-09-18,1.850000023841858
2008-09-19,1.7000000476837158
2008-09-22,1.649999976158142
2008-09-23,
2008-09-24,1.5
2008-09-25,1.5
2008-09-26,1.649999976158142
2008-09-29,1.5499999523162842
2008-09-30,1.5700000524520874
2008-10-01,1.6699999570846558
2008-10-02,
2008-10-03,
2008-10-06,1.6200000047683716
2008-10-07,1.409999966621399
2008-10-08,1.409999966621399
2008-10-09,1.399999976158142
2008-10-10,1.0
2008-10-13,
2008-10-14,
2008-10-15,1.100000023841858
2008-10-16,
2008-10-17,
2008-10-20,1.0499999523162842
2008-10-21,1.2999999523162842
2008-10-22,1.0499999523162842
2008-10-23,1.059999942779541
2008-10-24,1.059999942779541
2008-10-27,0.9700000286102295
2008-10-28,
2008-10-29,
2008-10-30,0.8999999761581421
2008-10-31,
2008-11-03,
2008-11-04,
2008-11-05,1.0
2008-11-06,1.0
2008-11-07,1.0
2008-11-10,1.0
2008-11-11,0.9100000262260437
2008-11-12,0.8999999761581421
2008-11-13,0.8999999761581421
2008-11-14,1.0
2008-11-17,0.9200000166893005
2008-11-18,
2008-11-19,0.949999988079071
2008-11-20,0.949999988079071
2008-11-21,0.8500000238418579
2008-11-24,
2008-11-25,0.5
2008-11-26,0.6499999761581421
2008-11-28,0.9900000095367432
2008-12-01,
2008-12-02,0.75
2008-12-03,0.6299999952316284
2008-12-04,0.7699999809265137
2008-12-05,0.5099999904632568
2008-12-08,
2008-12-09,0.6499999761581421
2008-12-10,0.75
2008-12-11,0.75
2008-12-12,0.6499999761581421
2008-12-15,0.6200000047683716
2008-12-16,0.75
2008-12-17,
2008-12-18,0.6499999761581421
2008-12-19,0.7400000095367432
2008-12-22,0.5099999904632568
2008-12-23,0.6000000238418579
2008-12-24,
2008-12-26,
2008-12-29,
2008-12-30,
2008-12-31,
2009-01-02,
2009-01-05,
2009-01-06,0.8999999761581421
2009-01-07,
2009-01-08,0.6000000238418579
2009-01-09,
2009-01-12,
2009-01-13,0.75
2009-01-14,
2009-01-15,
2009-01-16,
2009-01-20,0.6499999761581421
2009-01-21,
2009-01-22,0.6499999761581421
2009-01-23,
2009-01-26,
2009-01-27,0.6499999761581421
2009-01-28,
2009-01-29,
2009-01-30,
2009-02-02,
2009-02-03,
2009-02-04,
2009-02-05,0.6499999761581421
2009-02-06,0.6499999761581421
2009-02-09,
2009-02-10,0.6499999761581421
2009-02-11,
2009-02-12,
2009-02-13,
2009-02-17,0.6499999761581421
2009-02-18,0.6499999761581421
2009-02-19,
2009-02-20,0.550000011920929
2009-02-23,0.5199999809265137
2009-02-24,0.41999998688697815
2009-02-25,0.46000000834465027
2009-02-26,0.5
2009-02-27,0.6000000238418579
2009-03-02,
2009-03-03,0.5
2009-03-04,
2009-03-05,
2009-03-06,
2009-03-09,
2009-03-10,0.6700000166893005
2009-03-11,0.699999988079071
2009-03-12,
2009-03-13,0.75
2009-03-16,
2009-03-17,
2009-03-18,
2009-03-19,
2009-03-20,
2009-03-23,
