,RNK
2009-03-24,0.8500000238418579
2009-03-25,0.75
2009-03-26,0.8399999737739563
2009-03-27,
2009-03-30,
2009-03-31,
2009-04-01,0.8100000023841858
2009-04-02,
2009-04-03,0.9900000095367432
2009-04-06,
2009-04-07,
2009-04-08,
2009-04-09,
2009-04-13,
2009-04-14,
2009-04-15,
2009-04-16,0.9800000190734863
2009-04-17,
2009-04-20,
2009-04-21,1.100000023841858
2009-04-22,
2009-04-23,
2009-04-24,1.2999999523162842
2009-04-27,0.8999999761581421
2009-04-28,0.8999999761581421
2009-04-29,1.100000023841858
2009-04-30,0.8600000143051147
2009-05-01,0.8600000143051147
2009-05-04,
2009-05-05,
2009-05-06,
2009-05-07,
2009-05-08,0.9900000095367432
2009-05-11,
2009-05-12,0.8700000047683716
2009-05-13,
2009-05-14,0.8899999856948853
2009-05-15,
2009-05-18,
2009-05-19,0.8600000143051147
2009-05-20,
2009-05-21,1.0
2009-05-22,1.149999976158142
2009-05-26,1.0
2009-05-27,
2009-05-28,1.0
2009-05-29,1.0
2009-06-01,
2009-06-02,1.0
2009-06-03,
2009-06-04,
2009-06-05,0.8600000143051147
2009-06-08,
2009-06-09,
2009-06-10,
2009-06-11,0.9399999976158142
2009-06-12,0.8600000143051147
2009-06-15,0.8700000047683716
2009-06-16,
2009-06-17,
2009-06-18,
2009-06-19,0.8600000143051147
2009-06-22,
2009-06-23,
2009-06-24,
2009-06-25,
2009-06-26,0.8600000143051147
2009-06-29,0.7900000214576721
2009-06-30,0.7900000214576721
2009-07-01,
2009-07-02,
2009-07-06,
2009-07-07,
2009-07-08,
2009-07-09,
2009-07-10,
2009-07-13,
2009-07-14,
2009-07-15,
2009-07-16,
2009-07-17,
2009-07-20,0.8500000238418579
2009-07-21,
2009-07-22,
2009-07-23,0.8500000238418579
2009-07-24,
2009-07-27,
2009-07-28,
2009-07-29,
2009-07-30,
2009-07-31,0.8399999737739563
2009-08-03,
2009-08-04,0.800000011920929
2009-08-05,
2009-08-06,
2009-08-07,0.8999999761581421
2009-08-10,
2009-08-11,
2009-08-12,
2009-08-13,0.8999999761581421
2009-08-14,
2009-08-17,
2009-08-18,
2009-08-19,0.8500000238418579
2009-08-20,
2009-08-21,
2009-08-24,
2009-08-25,
2009-08-26,0.8700000047683716
2009-08-27,0.8600000143051147
2009-08-28,
2009-08-31,0.8500000238418579
2009-09-01,0.75
2009-09-02,
2009-09-03,0.75
2009-09-04,0.699999988079071
2009-09-08,0.6000000238418579
2009-09-09,
2009-09-10,0.6000000238418579
2009-09-11,0.6000000238418579
2009-09-14,
2009-09-15,
2009-09-16,
2009-09-17,
2009-09-18,
2009-09-21,
2009-09-22,0.699999988079071
2009-09-23,0.699999988079071
2009-09-24,
2009-09-25,0.5600000023841858
2009-09-28,
2009-09-29,
2009-09-30,
2009-10-01,0.550000011920929
2009-10-02,
2009-10-05,
2009-10-06,
2009-10-07,
2009-10-08,
2009-10-09,
2009-10-12,
2009-10-13,
2009-10-14,
2009-10-15,
2009-10-16,
2009-10-19,
2009-10-20,
2009-10-21,
2009-10-22,
2009-10-23,
2009-10-26,
2009-10-27,
2009-10-28,
2009-10-29,
2009-10-30,
2009-11-02,
2009-11-03,
2009-11-04,
2009-11-05,
2009-11-06,
2009-11-09,
2009-11-10,
2009-11-11,
2009-11-12,
2009-11-13,
2009-11-16,
2009-11-17,
2009-11-18,
2009-11-19,
2009-11-20,
2009-11-23,
2009-11-24,
2009-11-25,
2009-11-27,
2009-11-30,
2009-12-01,
2009-12-02,
2009-12-03,
2009-12-04,
2009-12-07,
2009-12-08,
2009-12-09,
2009-12-10,
2009-12-11,
2009-12-14,
2009-12-15,
2009-12-16,
2009-12-17,
2009-12-18,
2009-12-21,
2009-12-22,
2009-12-23,
2009-12-24,
2009-12-28,
2009-12-29,
2009-12-30,
2009-12-31,
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-16,
2010-02-17,
2010-02-18,
2010-02-19,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-05,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-03,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-14,
2010-06-15,
2010-06-16,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-06,
2010-07-07,
2010-07-08,
2010-07-09,
2010-07-12,
2010-07-13,
2010-07-14,
2010-07-15,
2010-07-16,
2010-07-19,
2010-07-20,
2010-07-21,
2010-07-22,10.039999961853027
2010-07-23,10.039999961853027
2010-07-26,10.050000190734863
2010-07-27,10.039999961853027
2010-07-28,9.989999771118164
2010-07-29,10.010000228881836
2010-07-30,10.010000228881836
2010-08-02,10.020000457763672
2010-08-03,9.8100004196167
2010-08-04,9.800000190734863
2010-08-05,9.789999961853027
2010-08-06,10.050000190734863
2010-08-09,9.989999771118164
2010-08-10,9.829999923706055
2010-08-11,9.699999809265137
2010-08-12,9.59000015258789
2010-08-13,10.050000190734863
2010-08-16,10.079999923706055
2010-08-17,9.949999809265137
2010-08-18,9.850000381469727
2010-08-19,10.079999923706055
2010-08-20,10.079999923706055
2010-08-23,10.069999694824219
2010-08-24,10.069999694824219
2010-08-25,9.850000381469727
2010-08-26,10.079999923706055
2010-08-27,10.079999923706055
2010-08-30,9.729999542236328
2010-08-31,10.050000190734863
2010-09-01,9.859999656677246
2010-09-02,9.829999923706055
2010-09-03,10.100000381469727
2010-09-07,10.079999923706055
2010-09-08,10.079999923706055
2010-09-09,9.920000076293945
2010-09-10,9.800000190734863
2010-09-13,9.850000381469727
2010-09-14,9.850000381469727
2010-09-15,10.0
2010-09-16,9.800000190734863
2010-09-17,9.800000190734863
2010-09-20,9.979999542236328
2010-09-21,9.899999618530273
2010-09-22,10.050000190734863
2010-09-23,10.0
2010-09-24,10.0
2010-09-27,9.779999732971191
2010-09-28,10.0
2010-09-29,10.0
2010-09-30,10.25
2010-10-01,10.25
2010-10-04,10.25
2010-10-05,10.25
2010-10-06,10.0
2010-10-07,10.0
2010-10-08,9.880000114440918
2010-10-11,10.0
2010-10-12,10.0
2010-10-13,10.0
2010-10-14,10.0
2010-10-15,10.0
2010-10-18,10.140000343322754
2010-10-19,10.100000381469727
2010-10-20,10.0600004196167
2010-10-21,10.199999809265137
2010-10-22,10.100000381469727
2010-10-25,10.25
2010-10-26,10.380000114440918
2010-10-27,10.75
2010-10-28,10.890000343322754
2010-10-29,10.890000343322754
2010-11-01,
2010-11-02,10.779999732971191
2010-11-03,10.699999809265137
2010-11-04,10.6899995803833
2010-11-05,10.449999809265137
2010-11-08,10.399999618530273
2010-11-09,10.6899995803833
2010-11-10,10.670000076293945
2010-11-11,
2010-11-12,10.5
2010-11-15,10.779999732971191
2010-11-16,10.800000190734863
2010-11-17,10.770000457763672
2010-11-18,10.619999885559082
2010-11-19,10.5
2010-11-22,10.390000343322754
2010-11-23,10.390000343322754
2010-11-24,10.449999809265137
2010-11-26,10.75
2010-11-29,10.75
2010-11-30,10.949999809265137
2010-12-01,10.899999618530273
2010-12-02,10.960000038146973
2010-12-03,10.800000190734863
2010-12-06,10.789999961853027
2010-12-07,10.800000190734863
2010-12-08,10.729999542236328
2010-12-09,10.800000190734863
2010-12-10,10.75
2010-12-13,10.550000190734863
2010-12-14,10.550000190734863
2010-12-15,10.550000190734863
2010-12-16,10.680000305175781
2010-12-17,10.600000381469727
2010-12-20,10.390000343322754
2010-12-21,10.609999656677246
2010-12-22,10.59000015258789
2010-12-23,10.59000015258789
2010-12-27,10.5
2010-12-28,10.59000015258789
2010-12-29,10.59000015258789
2010-12-30,10.630000114440918
2010-12-31,10.420000076293945
2011-01-03,10.899999618530273
2011-01-04,10.899999618530273
2011-01-05,10.800000190734863
2011-01-06,
2011-01-07,10.899999618530273
2011-01-10,10.789999961853027
2011-01-11,10.5
2011-01-12,10.789999961853027
2011-01-13,10.489999771118164
2011-01-14,10.380000114440918
2011-01-18,10.770000457763672
2011-01-19,10.789999961853027
2011-01-20,10.550000190734863
2011-01-21,10.550000190734863
2011-01-24,10.569999694824219
2011-01-25,10.550000190734863
2011-01-26,10.539999961853027
2011-01-27,10.539999961853027
2011-01-28,10.550000190734863
2011-01-31,10.420000076293945
2011-02-01,10.359999656677246
2011-02-02,10.369999885559082
2011-02-03,10.369999885559082
2011-02-04,10.199999809265137
2011-02-07,10.199999809265137
2011-02-08,10.199999809265137
2011-02-09,10.149999618530273
2011-02-10,10.199999809265137
2011-02-11,10.1899995803833
2011-02-14,10.0
2011-02-15,10.149999618530273
2011-02-16,10.149999618530273
2011-02-17,10.0
2011-02-18,10.149999618530273
2011-02-22,10.180000305175781
2011-02-23,10.180000305175781
2011-02-24,10.199999809265137
2011-02-25,10.100000381469727
2011-02-28,10.199999809265137
2011-03-01,10.199999809265137
2011-03-02,10.199999809265137
2011-03-03,10.199999809265137
2011-03-04,10.199999809265137
2011-03-07,10.600000381469727
2011-03-08,10.800000190734863
2011-03-09,10.800000190734863
2011-03-10,10.699999809265137
2011-03-11,10.699999809265137
2011-03-14,10.699999809265137
2011-03-15,10.819999694824219
2011-03-16,10.600000381469727
2011-03-17,10.84000015258789
2011-03-18,10.800000190734863
2011-03-21,10.850000381469727
2011-03-22,10.850000381469727
2011-03-23,10.84000015258789
2011-03-24,10.84000015258789
2011-03-25,11.0
2011-03-28,11.199999809265137
2011-03-29,11.199999809265137
2011-03-30,11.59000015258789
2011-03-31,11.920000076293945
2011-04-01,12.300000190734863
2011-04-04,12.449999809265137
2011-04-05,12.699999809265137
2011-04-06,13.600000381469727
2011-04-07,13.199999809265137
2011-04-08,13.0
2011-04-11,13.199999809265137
2011-04-12,13.050000190734863
2011-04-13,13.0
2011-04-14,13.0600004196167
2011-04-15,13.100000381469727
2011-04-18,12.899999618530273
2011-04-19,13.0
2011-04-20,12.989999771118164
2011-04-21,12.800000190734863
2011-04-25,
2011-04-26,12.930000305175781
2011-04-27,12.5
2011-04-28,12.210000038146973
2011-04-29,12.210000038146973
2011-05-02,12.600000381469727
2011-05-03,
2011-05-04,12.880000114440918
2011-05-05,12.550000190734863
2011-05-06,12.979999542236328
2011-05-09,12.850000381469727
2011-05-10,12.989999771118164
2011-05-11,13.0
2011-05-12,13.069999694824219
2011-05-13,13.0
2011-05-16,12.989999771118164
2011-05-17,12.949999809265137
2011-05-18,12.800000190734863
2011-05-19,12.920000076293945
2011-05-20,12.979999542236328
2011-05-23,12.949999809265137
2011-05-24,12.949999809265137
2011-05-25,12.699999809265137
2011-05-26,12.710000038146973
2011-05-27,12.800000190734863
2011-05-31,12.899999618530273
2011-06-01,12.899999618530273
2011-06-02,13.279999732971191
2011-06-03,13.279999732971191
2011-06-06,13.25
2011-06-07,12.729999542236328
2011-06-08,12.859999656677246
2011-06-09,13.09000015258789
2011-06-10,12.850000381469727
2011-06-13,12.899999618530273
2011-06-14,13.079999923706055
2011-06-15,13.0
2011-06-16,12.899999618530273
2011-06-17,12.850000381469727
2011-06-20,12.800000190734863
2011-06-21,12.800000190734863
2011-06-22,12.850000381469727
2011-06-23,
2011-06-24,12.600000381469727
2011-06-27,12.5
2011-06-28,12.5
2011-06-29,12.5
2011-06-30,12.5
2011-07-01,12.5
2011-07-05,12.5
2011-07-06,12.279999732971191
2011-07-07,12.300000190734863
2011-07-08,12.300000190734863
2011-07-11,12.300000190734863
2011-07-12,11.800000190734863
2011-07-13,12.199999809265137
2011-07-14,12.109999656677246
2011-07-15,12.0
2011-07-18,11.800000190734863
2011-07-19,11.75
2011-07-20,11.789999961853027
2011-07-21,11.789999961853027
2011-07-22,11.59000015258789
2011-07-25,11.550000190734863
2011-07-26,11.789999961853027
2011-07-27,11.539999961853027
2011-07-28,11.779999732971191
2011-07-29,11.550000190734863
2011-08-01,11.989999771118164
2011-08-02,11.350000381469727
2011-08-03,11.229999542236328
2011-08-04,11.539999961853027
2011-08-05,10.869999885559082
2011-08-08,10.699999809265137
2011-08-09,10.970000267028809
2011-08-10,10.699999809265137
2011-08-11,10.850000381469727
2011-08-12,10.40999984741211
2011-08-15,
2011-08-16,10.489999771118164
2011-08-17,10.1899995803833
2011-08-18,9.6899995803833
2011-08-19,9.489999771118164
2011-08-22,9.619999885559082
2011-08-23,9.770000457763672
2011-08-24,9.640000343322754
2011-08-25,9.699999809265137
2011-08-26,9.739999771118164
2011-08-29,10.25
2011-08-30,10.489999771118164
2011-08-31,10.399999618530273
2011-09-01,10.399999618530273
2011-09-02,10.119999885559082
2011-09-06,9.720000267028809
2011-09-07,9.979999542236328
2011-09-08,10.630000114440918
2011-09-09,10.359999656677246
2011-09-12,10.5
2011-09-13,10.489999771118164
2011-09-14,10.460000038146973
2011-09-15,10.5
2011-09-16,10.399999618530273
2011-09-19,10.640000343322754
2011-09-20,10.210000038146973
2011-09-21,10.4399995803833
2011-09-22,10.149999618530273
2011-09-23,10.460000038146973
2011-09-26,10.420000076293945
2011-09-27,10.1899995803833
2011-09-28,10.039999961853027
2011-09-29,10.100000381469727
2011-09-30,9.859999656677246
2011-10-03,9.899999618530273
2011-10-04,9.600000381469727
2011-10-05,8.640000343322754
2011-10-06,9.010000228881836
2011-10-07,8.989999771118164
2011-10-10,8.949999809265137
2011-10-11,8.9399995803833
2011-10-12,9.199999809265137
2011-10-13,9.380000114440918
2011-10-14,9.380000114440918
2011-10-17,9.350000381469727
2011-10-18,9.289999961853027
2011-10-19,9.199999809265137
2011-10-20,9.199999809265137
2011-10-21,9.100000381469727
2011-10-24,9.199999809265137
2011-10-25,9.199999809265137
2011-10-26,9.1899995803833
2011-10-27,9.199999809265137
2011-10-28,9.199999809265137
2011-10-31,9.100000381469727
2011-11-01,
2011-11-02,8.979999542236328
2011-11-03,9.010000228881836
2011-11-04,9.0
2011-11-07,9.0
2011-11-08,9.0
2011-11-09,9.1899995803833
2011-11-10,8.699999809265137
2011-11-11,
2011-11-14,8.800000190734863
2011-11-15,9.050000190734863
2011-11-16,9.050000190734863
2011-11-17,9.180000305175781
2011-11-18,8.760000228881836
2011-11-21,8.800000190734863
2011-11-22,9.0
2011-11-23,8.800000190734863
2011-11-25,8.699999809265137
2011-11-28,9.0
2011-11-29,8.800000190734863
2011-11-30,8.949999809265137
2011-12-01,9.0
2011-12-02,8.899999618530273
2011-12-05,8.760000228881836
2011-12-06,8.899999618530273
2011-12-07,8.890000343322754
2011-12-08,
2011-12-09,8.90999984741211
2011-12-12,8.850000381469727
2011-12-13,8.850000381469727
2011-12-14,8.890000343322754
2011-12-15,8.880000114440918
2011-12-16,8.600000381469727
2011-12-19,8.680000305175781
2011-12-20,8.75
2011-12-21,8.619999885559082
2011-12-22,8.850000381469727
2011-12-23,8.9399995803833
2011-12-27,8.800000190734863
2011-12-28,9.039999961853027
2011-12-29,8.890000343322754
2011-12-30,8.970000267028809
2012-01-03,9.029999732971191
2012-01-04,9.779999732971191
2012-01-05,9.850000381469727
2012-01-06,9.850000381469727
2012-01-09,9.800000190734863
2012-01-10,9.760000228881836
2012-01-11,9.770000457763672
2012-01-12,9.699999809265137
2012-01-13,9.770000457763672
2012-01-17,10.039999961853027
2012-01-18,9.970000267028809
2012-01-19,9.989999771118164
2012-01-20,9.920000076293945
2012-01-23,9.989999771118164
2012-01-24,9.979999542236328
2012-01-25,10.210000038146973
2012-01-26,10.300000190734863
2012-01-27,10.720000267028809
2012-01-30,11.399999618530273
2012-01-31,11.699999809265137
2012-02-01,11.899999618530273
2012-02-02,11.989999771118164
2012-02-03,12.010000228881836
2012-02-06,12.359999656677246
2012-02-07,12.770000457763672
2012-02-08,13.1899995803833
2012-02-09,13.180000305175781
2012-02-10,13.0600004196167
2012-02-13,12.90999984741211
2012-02-14,12.899999618530273
2012-02-15,13.020000457763672
2012-02-16,13.479999542236328
2012-02-17,13.760000228881836
2012-02-21,14.0
2012-02-22,14.149999618530273
2012-02-23,14.0
2012-02-24,14.0
2012-02-27,14.0
2012-02-28,14.050000190734863
2012-02-29,14.979999542236328
2012-03-01,14.899999618530273
2012-03-02,15.0600004196167
2012-03-05,14.970000267028809
2012-03-06,16.020000457763672
2012-03-07,16.0
2012-03-08,15.970000267028809
2012-03-09,16.0
2012-03-12,15.989999771118164
2012-03-13,16.100000381469727
2012-03-14,16.889999389648438
2012-03-15,16.969999313354492
2012-03-16,16.469999313354492
2012-03-19,15.420000076293945
2012-03-20,15.899999618530273
2012-03-21,14.449999809265137
2012-03-22,14.0
2012-03-23,14.699999809265137
2012-03-26,14.220000267028809
2012-03-27,14.300000190734863
2012-03-28,14.300000190734863
2012-03-29,13.949999809265137
2012-03-30,13.5
2012-04-02,14.6899995803833
2012-04-03,14.100000381469727
2012-04-04,13.779999732971191
2012-04-05,14.220000267028809
2012-04-09,14.220000267028809
2012-04-10,14.390000343322754
2012-04-11,14.300000190734863
2012-04-12,14.800000190734863
2012-04-13,14.649999618530273
2012-04-16,14.350000381469727
2012-04-17,14.390000343322754
2012-04-18,13.760000228881836
2012-04-19,13.770000457763672
2012-04-20,13.5
2012-04-23,12.0
2012-04-24,11.800000190734863
2012-04-25,11.890000343322754
2012-04-26,12.1899995803833
2012-04-27,12.0
2012-04-30,11.949999809265137
2012-05-01,12.0
2012-05-02,11.949999809265137
2012-05-03,12.140000343322754
2012-05-04,11.760000228881836
2012-05-07,12.029999732971191
2012-05-08,11.84000015258789
2012-05-09,11.899999618530273
2012-05-10,11.930000305175781
2012-05-11,12.069999694824219
2012-05-14,11.829999923706055
2012-05-15,12.0
2012-05-16,10.149999618530273
2012-05-17,9.680000305175781
2012-05-18,10.039999961853027
2012-05-21,9.619999885559082
2012-05-22,10.050000190734863
2012-05-23,9.949999809265137
2012-05-24,9.899999618530273
2012-05-25,10.0
2012-05-29,9.670000076293945
2012-05-30,9.270000457763672
2012-05-31,8.970000267028809
2012-06-01,8.520000457763672
2012-06-04,7.849999904632568
2012-06-05,9.550000190734863
2012-06-06,9.399999618530273
2012-06-07,9.399999618530273
2012-06-08,9.300000190734863
2012-06-11,9.09000015258789
2012-06-12,8.989999771118164
2012-06-13,9.0
2012-06-14,9.970000267028809
2012-06-15,9.800000190734863
2012-06-18,9.430000305175781
2012-06-19,9.880000114440918
2012-06-20,9.970000267028809
2012-06-21,9.59000015258789
2012-06-22,9.350000381469727
2012-06-25,8.850000381469727
2012-06-26,9.0600004196167
2012-06-27,8.960000038146973
2012-06-28,8.890000343322754
2012-06-29,9.050000190734863
2012-07-02,8.859999656677246
2012-07-03,8.600000381469727
2012-07-05,9.029999732971191
2012-07-06,8.779999732971191
2012-07-09,8.229999542236328
2012-07-10,8.0600004196167
2012-07-11,7.800000190734863
2012-07-12,7.710000038146973
2012-07-13,7.619999885559082
2012-07-16,7.650000095367432
2012-07-17,8.170000076293945
2012-07-18,8.289999961853027
2012-07-19,7.989999771118164
2012-07-20,7.800000190734863
2012-07-23,7.699999809265137
2012-07-24,7.699999809265137
2012-07-25,7.800000190734863
2012-07-26,7.519999980926514
2012-07-27,7.519999980926514
2012-07-30,7.71999979019165
2012-07-31,7.900000095367432
2012-08-01,7.710000038146973
2012-08-02,7.5
2012-08-03,7.889999866485596
2012-08-06,7.929999828338623
2012-08-07,7.840000152587891
2012-08-08,7.869999885559082
2012-08-09,7.820000171661377
2012-08-10,7.739999771118164
2012-08-13,7.579999923706055
2012-08-14,7.690000057220459
2012-08-15,7.690000057220459
2012-08-16,7.909999847412109
2012-08-17,8.210000038146973
2012-08-20,8.229999542236328
2012-08-21,8.5600004196167
2012-08-22,8.489999771118164
2012-08-23,8.119999885559082
2012-08-24,7.28000020980835
2012-08-27,7.199999809265137
2012-08-28,7.099999904632568
2012-08-29,7.170000076293945
2012-08-30,7.239999771118164
2012-08-31,7.309999942779541
2012-09-04,7.730000019073486
2012-09-05,7.630000114440918
2012-09-06,7.599999904632568
2012-09-07,7.460000038146973
2012-09-10,7.710000038146973
2012-09-11,7.880000114440918
2012-09-12,7.670000076293945
2012-09-13,7.800000190734863
2012-09-14,7.840000152587891
2012-09-17,7.840000152587891
2012-09-18,7.75
2012-09-19,7.809999942779541
2012-09-20,7.699999809265137
2012-09-21,7.610000133514404
2012-09-24,7.690000057220459
2012-09-25,7.860000133514404
2012-09-26,7.789999961853027
2012-09-27,7.980000019073486
2012-09-28,7.96999979019165
2012-10-01,8.0
2012-10-02,8.420000076293945
2012-10-03,8.699999809265137
2012-10-04,8.699999809265137
2012-10-05,9.220000267028809
2012-10-08,9.350000381469727
2012-10-09,9.300000190734863
2012-10-10,9.539999961853027
2012-10-11,10.100000381469727
2012-10-12,10.289999961853027
2012-10-15,10.460000038146973
2012-10-16,11.350000381469727
2012-10-17,11.600000381469727
2012-10-18,11.670000076293945
2012-10-19,11.149999618530273
2012-10-22,10.989999771118164
2012-10-23,10.109999656677246
2012-10-24,10.289999961853027
2012-10-25,10.289999961853027
2012-10-26,10.550000190734863
2012-10-31,10.949999809265137
2012-11-01,10.949999809265137
2012-11-02,10.970000267028809
2012-11-05,11.09000015258789
2012-11-06,10.850000381469727
2012-11-07,10.739999771118164
2012-11-08,10.699999809265137
2012-11-09,10.979999542236328
2012-11-12,10.710000038146973
2012-11-13,10.789999961853027
2012-11-14,10.819999694824219
2012-11-15,10.819999694824219
2012-11-16,10.800000190734863
2012-11-19,10.970000267028809
2012-11-20,11.0600004196167
2012-11-21,10.869999885559082
2012-11-23,11.489999771118164
2012-11-26,11.649999618530273
2012-11-27,11.229999542236328
2012-11-28,11.470000267028809
2012-11-29,11.670000076293945
2012-11-30,11.210000038146973
2012-12-03,11.630000114440918
2012-12-04,11.489999771118164
2012-12-05,11.390000343322754
2012-12-06,10.84000015258789
2012-12-07,10.010000228881836
2012-12-10,10.149999618530273
2012-12-11,10.149999618530273
2012-12-12,10.479999542236328
2012-12-13,10.170000076293945
2012-12-14,9.819999694824219
2012-12-17,9.819999694824219
2012-12-18,9.899999618530273
2012-12-19,10.569999694824219
2012-12-20,10.600000381469727
2012-12-21,10.5
2012-12-24,10.5
2012-12-26,10.5
2012-12-27,10.890000343322754
2012-12-28,11.020000457763672
2012-12-31,11.020000457763672
2013-01-02,11.210000038146973
2013-01-03,11.380000114440918
2013-01-04,11.329999923706055
2013-01-07,11.100000381469727
2013-01-08,10.979999542236328
2013-01-09,10.90999984741211
2013-01-10,10.710000038146973
2013-01-11,10.890000343322754
2013-01-14,11.09000015258789
2013-01-15,11.079999923706055
2013-01-16,11.09000015258789
2013-01-17,11.289999961853027
2013-01-18,11.819999694824219
2013-01-22,12.0
