,PSN
2020-07-27,34.0
2020-07-28,33.91999816894531
2020-07-29,34.5
2020-07-30,34.81999969482422
2020-07-31,34.83000183105469
2020-08-03,35.66999816894531
2020-08-04,35.31999969482422
2020-08-05,35.52000045776367
2020-08-06,35.16999816894531
2020-08-07,34.9900016784668
2020-08-10,35.47999954223633
2020-08-11,35.880001068115234
2020-08-12,36.29999923706055
2020-08-13,36.560001373291016
2020-08-14,36.41999816894531
2020-08-17,33.22999954223633
2020-08-18,33.650001525878906
2020-08-19,33.58000183105469
2020-08-20,33.43000030517578
2020-08-21,32.79999923706055
2020-08-24,33.84000015258789
2020-08-25,34.54999923706055
2020-08-26,34.31999969482422
2020-08-27,34.59000015258789
2020-08-28,33.970001220703125
2020-08-31,33.2599983215332
2020-09-01,34.380001068115234
2020-09-02,35.689998626708984
2020-09-03,34.959999084472656
2020-09-04,34.599998474121094
2020-09-08,34.279998779296875
2020-09-09,35.02000045776367
2020-09-10,34.58000183105469
2020-09-11,35.619998931884766
2020-09-14,36.18000030517578
2020-09-15,36.27000045776367
2020-09-16,35.7400016784668
2020-09-17,35.400001525878906
2020-09-18,35.72999954223633
2020-09-21,35.09000015258789
2020-09-22,34.439998626708984
2020-09-23,34.0
2020-09-24,32.31999969482422
2020-09-25,33.16999816894531
2020-09-28,34.119998931884766
2020-09-29,33.70000076293945
2020-09-30,33.540000915527344
2020-10-01,33.150001525878906
2020-10-02,33.34000015258789
2020-10-05,33.4900016784668
2020-10-06,33.36000061035156
2020-10-07,33.599998474121094
2020-10-08,33.79999923706055
2020-10-09,33.560001373291016
2020-10-12,34.06999969482422
2020-10-13,33.5
2020-10-14,33.189998626708984
2020-10-15,33.31999969482422
2020-10-16,33.369998931884766
2020-10-19,33.209999084472656
2020-10-20,32.869998931884766
2020-10-21,32.150001525878906
2020-10-22,32.36000061035156
2020-10-23,32.34000015258789
2020-10-26,31.889999389648438
2020-10-27,31.530000686645508
2020-10-28,30.329999923706055
2020-10-29,31.040000915527344
2020-10-30,31.520000457763672
2020-11-02,32.22999954223633
2020-11-03,33.59000015258789
2020-11-04,31.68000030517578
2020-11-05,30.610000610351562
2020-11-06,30.40999984741211
2020-11-09,31.5
2020-11-10,32.27000045776367
2020-11-11,32.72999954223633
2020-11-12,32.060001373291016
2020-11-13,33.060001373291016
2020-11-16,33.84000015258789
2020-11-17,33.68000030517578
2020-11-18,32.790000915527344
2020-11-19,32.220001220703125
2020-11-20,31.75
2020-11-23,32.029998779296875
2020-11-24,33.220001220703125
2020-11-25,32.79999923706055
2020-11-27,32.97999954223633
2020-11-30,32.70000076293945
2020-12-01,33.88999938964844
2020-12-02,34.720001220703125
2020-12-03,35.25
2020-12-04,35.38999938964844
2020-12-07,35.86000061035156
2020-12-08,36.47999954223633
2020-12-09,36.59000015258789
2020-12-10,36.95000076293945
2020-12-11,36.2400016784668
2020-12-14,34.900001525878906
2020-12-15,35.380001068115234
2020-12-16,35.529998779296875
2020-12-17,35.63999938964844
2020-12-18,35.130001068115234
2020-12-21,34.81999969482422
2020-12-22,34.81999969482422
2020-12-23,34.79999923706055
2020-12-24,35.2400016784668
2020-12-28,35.7599983215332
2020-12-29,35.900001525878906
2020-12-30,36.099998474121094
2020-12-31,36.40999984741211
2021-01-04,34.88999938964844
2021-01-05,35.20000076293945
2021-01-06,36.91999816894531
2021-01-07,36.880001068115234
2021-01-08,36.75
2021-01-11,37.470001220703125
