,EMG
2008-08-04,0.10458000004291534
2008-08-05,0.09934999793767929
2008-08-06,0.09934999793767929
2008-08-07,0.08889999985694885
2008-08-08,0.10458000004291534
2008-08-11,0.10458000004291534
2008-08-12,0.0836699977517128
2008-08-13,0.0836699977517128
2008-08-14,0.0836699977517128
2008-08-15,0.12929999828338623
2008-08-18,0.08889999985694885
2008-08-19,0.09934999793767929
2008-08-20,0.09934999793767929
2008-08-21,0.09934999793767929
2008-08-22,0.09934999793767929
2008-08-25,0.09934999793767929
2008-08-26,0.09934999793767929
2008-08-27,0.09934999793767929
2008-08-28,0.0941300019621849
2008-08-29,0.0941300019621849
2008-09-02,0.09934999793767929
2008-09-03,0.09934999793767929
2008-09-04,0.09934999793767929
2008-09-05,0.09934999793767929
2008-09-08,0.09934999793767929
2008-09-09,0.0836699977517128
2008-09-10,0.07844000309705734
2008-09-11,0.07605999708175659
2008-09-12,0.07844000309705734
2008-09-15,0.07581999897956848
2008-09-16,0.11027999967336655
2008-09-17,0.06274999678134918
2008-09-18,0.07844000309705734
2008-09-19,0.07844000309705734
2008-09-22,0.07844000309705734
2008-09-23,0.07844000309705734
2008-09-24,0.07581999897956848
2008-09-25,0.08889999985694885
2008-09-26,0.09150999784469604
2008-09-29,0.10197000205516815
2008-09-30,0.0941300019621849
2008-10-01,0.0941300019621849
2008-10-02,0.0941300019621849
2008-10-03,0.1373700052499771
2008-10-06,0.12211000174283981
2008-10-07,0.12211000174283981
2008-10-08,0.1144699975848198
2008-10-09,0.1144699975848198
2008-10-10,0.11066000163555145
2008-10-13,0.11066000163555145
2008-10-14,0.11066000163555145
2008-10-15,0.10683999955654144
2008-10-16,0.10683999955654144
2008-10-17,0.10683999955654144
2008-10-20,0.10683999955654144
2008-10-21,0.09158000349998474
2008-10-22,0.09158000349998474
2008-10-23,0.07249999791383743
2008-10-24,0.06868000328540802
2008-10-27,0.05341999977827072
2008-10-28,0.05341999977827072
2008-10-29,0.05341999977827072
2008-10-30,0.05341999977827072
2008-10-31,0.05341999977827072
2008-11-03,0.05341999977827072
2008-11-04,0.05341999977827072
2008-11-05,0.05341999977827072
2008-11-06,0.05341999977827072
2008-11-07,0.05341999977827072
2008-11-10,0.05724000185728073
2008-11-11,0.05724000185728073
2008-11-12,0.05724000185728073
2008-11-13,0.04961000010371208
2008-11-14,0.04961000010371208
2008-11-17,0.04961000010371208
2008-11-18,0.05341999977827072
2008-11-19,0.05341999977827072
2008-11-20,0.05341999977827072
2008-11-21,0.05341999977827072
2008-11-24,0.05341999977827072
2008-11-25,0.05341999977827072
2008-11-26,0.05341999977827072
2008-11-28,0.05341999977827072
2008-12-01,0.05341999977827072
2008-12-02,0.05341999977827072
2008-12-03,0.03434000164270401
2008-12-04,0.03434000164270401
2008-12-05,0.03434000164270401
2008-12-08,0.03434000164270401
2008-12-09,0.03434000164270401
2008-12-10,0.03434000164270401
2008-12-11,0.03434000164270401
2008-12-12,0.03434000164270401
2008-12-15,0.03434000164270401
2008-12-16,0.03434000164270401
2008-12-17,0.05341999977827072
2008-12-18,0.05341999977827072
2008-12-19,0.05341999977827072
2008-12-22,0.05341999977827072
2008-12-23,0.05341999977827072
2008-12-24,0.05341999977827072
2008-12-26,
2008-12-29,0.05341999977827072
2008-12-30,0.05341999977827072
2008-12-31,0.05341999977827072
2009-01-02,0.05341999977827072
2009-01-05,0.05341999977827072
2009-01-06,0.05341999977827072
2009-01-07,0.05341999977827072
2009-01-08,0.05341999977827072
2009-01-09,0.05341999977827072
2009-01-12,0.05341999977827072
2009-01-13,0.05341999977827072
2009-01-14,0.05341999977827072
2009-01-15,0.06105000153183937
2009-01-16,0.061820000410079956
2009-01-20,0.06105000153183937
2009-01-21,0.06105000153183937
2009-01-22,0.07631999999284744
2009-01-23,0.06105000153183937
2009-01-26,
2009-01-27,0.06105000153183937
2009-01-28,0.06105000153183937
2009-01-29,0.06105000153183937
2009-01-30,0.06105000153183937
2009-02-02,0.06105000153183937
2009-02-03,0.06105000153183937
2009-02-04,0.07631999999284744
2009-02-05,0.07631999999284744
2009-02-06,0.09158000349998474
2009-02-09,0.12211000174283981
2009-02-10,0.1144699975848198
2009-02-11,0.1144699975848198
2009-02-12,0.1144699975848198
2009-02-13,0.14881999790668488
2009-02-17,0.1526300013065338
2009-02-18,0.12211000174283981
2009-02-19,0.14499999582767487
2009-02-20,0.14499999582767487
2009-02-23,0.14117999374866486
2009-02-24,0.1373700052499771
2009-02-25,0.14117999374866486
2009-02-26,0.12973999977111816
2009-02-27,0.14117999374866486
2009-03-02,0.14881999790668488
2009-03-03,0.1526300013065338
2009-03-04,0.16026000678539276
2009-03-05,0.1678999960422516
2009-03-06,0.16026000678539276
2009-03-09,0.16407999396324158
2009-03-10,0.1335500031709671
2009-03-11,0.1373700052499771
2009-03-12,0.1373700052499771
2009-03-13,0.1373700052499771
2009-03-16,0.1335500031709671
2009-03-17,0.1335500031709671
2009-03-18,0.1526300013065338
2009-03-19,0.1526300013065338
2009-03-20,0.1526300013065338
2009-03-23,0.14117999374866486
2009-03-24,0.14117999374866486
2009-03-25,0.14117999374866486
2009-03-26,0.14499999582767487
2009-03-27,0.14117999374866486
2009-03-30,0.14499999582767487
2009-03-31,0.14117999374866486
2009-04-01,0.14499999582767487
2009-04-02,0.14881999790668488
2009-04-03,0.14499999582767487
2009-04-06,0.14499999582767487
2009-04-07,0.14499999582767487
2009-04-08,0.14499999582767487
2009-04-09,0.14117999374866486
2009-04-13,
2009-04-14,0.14499999582767487
2009-04-15,0.14499999582767487
