,BSGM
2014-10-31,8.75
2014-11-03,8.75
2014-11-04,8.125
2014-11-05,7.875
2014-11-06,7.5
2014-11-07,7.5
2014-11-10,7.625
2014-11-11,7.599999904632568
2014-11-12,7.625
2014-11-13,7.75
2014-11-14,7.125
2014-11-17,7.125
2014-11-18,7.125
2014-11-19,7.074999809265137
2014-11-20,7.074999809265137
2014-11-21,7.25
2014-11-24,7.25
2014-11-25,7.25
2014-11-26,7.25
2014-11-28,7.25
2014-12-01,7.474999904632568
2014-12-02,7.125
2014-12-03,7.125
2014-12-04,7.125
2014-12-05,7.125
2014-12-08,7.175000190734863
2014-12-09,7.175000190734863
2014-12-10,7.175000190734863
2014-12-11,7.199999809265137
2014-12-12,7.050000190734863
2014-12-15,7.050000190734863
2014-12-16,7.099999904632568
2014-12-17,7.050000190734863
2014-12-18,7.074999809265137
2014-12-19,7.074999809265137
2014-12-22,6.75
2014-12-23,6.75
2014-12-24,6.75
2014-12-26,6.400000095367432
2014-12-29,7.0
2014-12-30,6.974999904632568
2014-12-31,7.0
2015-01-02,7.0
2015-01-05,6.974999904632568
2015-01-06,6.875
2015-01-07,6.900000095367432
2015-01-08,7.112500190734863
2015-01-09,6.550000190734863
2015-01-12,6.099999904632568
2015-01-13,5.724999904632568
2015-01-14,5.625
2015-01-15,6.25
2015-01-16,5.75
2015-01-20,5.150000095367432
2015-01-21,5.224999904632568
2015-01-22,5.275000095367432
2015-01-23,5.5
2015-01-26,5.224999904632568
2015-01-27,4.875
2015-01-28,5.275000095367432
2015-01-29,5.375
2015-01-30,4.974999904632568
2015-02-02,4.974999904632568
2015-02-03,4.974999904632568
2015-02-04,4.875
2015-02-05,4.875
2015-02-06,4.375
2015-02-09,6.1875
2015-02-10,5.0
2015-02-11,5.0
2015-02-12,5.25
2015-02-13,4.775000095367432
2015-02-17,5.275000095367432
2015-02-18,5.332499980926514
2015-02-19,4.974999904632568
2015-02-20,5.050000190734863
2015-02-23,5.599999904632568
2015-02-24,5.599999904632568
2015-02-25,4.425000190734863
2015-02-26,5.224999904632568
2015-02-27,5.375
2015-03-02,5.659999847412109
2015-03-03,5.125
2015-03-04,5.090000152587891
2015-03-05,5.125
2015-03-06,4.974999904632568
2015-03-09,4.5
2015-03-10,4.75
2015-03-11,4.75
2015-03-12,4.375
2015-03-13,4.625
2015-03-16,4.625
2015-03-17,4.75
2015-03-18,4.724999904632568
2015-03-19,4.5
2015-03-20,4.724999904632568
2015-03-23,4.375
2015-03-24,4.375
2015-03-25,4.5
2015-03-26,4.5
2015-03-27,4.375
2015-03-30,4.375
2015-03-31,6.0
2015-04-01,6.25
2015-04-02,6.5
2015-04-06,6.875
2015-04-07,7.599999904632568
2015-04-08,8.75
2015-04-09,9.975000381469727
2015-04-10,11.550000190734863
2015-04-13,11.0
2015-04-14,9.25
2015-04-15,9.25
2015-04-16,10.0
2015-04-17,9.725000381469727
2015-04-20,9.375
2015-04-21,9.75
2015-04-22,9.375
2015-04-23,9.5
2015-04-24,9.050000190734863
2015-04-27,8.199999809265137
2015-04-28,8.0
2015-04-29,7.75
2015-04-30,7.25
2015-05-01,7.75
2015-05-04,7.25
2015-05-05,5.625
2015-05-06,5.550000190734863
2015-05-07,5.775000095367432
2015-05-08,7.375
2015-05-11,5.75
2015-05-12,6.75
2015-05-13,6.875
2015-05-14,7.5
2015-05-15,6.875
2015-05-18,7.275000095367432
2015-05-19,6.775000095367432
2015-05-20,6.75
2015-05-21,6.25
2015-05-22,6.875
2015-05-26,6.875
2015-05-27,7.5
2015-05-28,6.875
2015-05-29,6.949999809265137
2015-06-01,6.375
2015-06-02,5.949999809265137
2015-06-03,6.75
2015-06-04,7.25
2015-06-05,7.0
2015-06-08,7.25
2015-06-09,7.0
2015-06-10,6.875
2015-06-11,6.900000095367432
2015-06-12,6.625
2015-06-15,6.25
2015-06-16,6.25
2015-06-17,6.125
2015-06-18,5.300000190734863
2015-06-19,6.0
2015-06-22,6.0
2015-06-23,6.25
2015-06-24,5.525000095367432
2015-06-25,5.75
2015-06-26,5.875
2015-06-29,5.849999904632568
2015-06-30,5.75
2015-07-01,5.474999904632568
2015-07-02,5.474999904632568
2015-07-06,4.775000095367432
2015-07-07,5.125
2015-07-08,4.775000095367432
2015-07-09,4.974999904632568
2015-07-10,5.0
2015-07-13,4.75
2015-07-14,4.5
2015-07-15,5.0
2015-07-16,4.525000095367432
2015-07-17,4.800000190734863
2015-07-20,4.875
2015-07-21,5.0
2015-07-22,4.625
2015-07-23,4.025000095367432
2015-07-24,4.625
2015-07-27,4.349999904632568
2015-07-28,4.449999809265137
2015-07-29,4.5
2015-07-30,4.25
2015-07-31,4.375
2015-08-03,4.199999809265137
2015-08-04,4.375
2015-08-05,4.449999809265137
2015-08-06,4.349999904632568
2015-08-07,4.400000095367432
2015-08-10,4.0
2015-08-11,4.25
2015-08-12,4.375
2015-08-13,4.25
2015-08-14,4.25
2015-08-17,4.0
2015-08-18,4.0
2015-08-19,4.0
2015-08-20,3.799999952316284
2015-08-21,3.75
2015-08-24,3.424999952316284
2015-08-25,3.875
2015-08-26,3.875
2015-08-27,4.0
2015-08-28,3.7750000953674316
2015-08-31,3.9749999046325684
2015-09-01,4.0
2015-09-02,3.875
2015-09-03,4.0
2015-09-04,4.125
2015-09-08,4.0
2015-09-09,4.125
2015-09-10,4.25
2015-09-11,4.125
2015-09-14,3.875
2015-09-15,3.875
2015-09-16,3.75
2015-09-17,3.75
2015-09-18,4.125
2015-09-21,4.0
2015-09-22,3.549999952316284
2015-09-23,4.0
2015-09-24,4.175000190734863
2015-09-25,4.175000190734863
2015-09-28,4.175000190734863
2015-09-29,3.5250000953674316
2015-09-30,3.5
2015-10-01,4.25
2015-10-02,4.0
2015-10-05,3.75
2015-10-06,3.4749999046325684
2015-10-07,4.0
2015-10-08,4.0
2015-10-09,4.0
2015-10-12,4.0
2015-10-13,3.875
2015-10-14,3.75
2015-10-15,3.75
2015-10-16,4.224999904632568
2015-10-19,3.875
2015-10-20,3.549999952316284
2015-10-21,3.9749999046325684
2015-10-22,3.75
2015-10-23,3.4000000953674316
2015-10-26,3.125
2015-10-27,3.625
2015-10-28,4.0
2015-10-29,3.7249999046325684
2015-10-30,3.450000047683716
2015-11-02,3.3499999046325684
2015-11-03,3.6500000953674316
2015-11-04,3.7249999046325684
2015-11-05,3.75
2015-11-06,3.5
2015-11-09,3.25
2015-11-10,3.75
2015-11-11,3.375
2015-11-12,3.4124999046325684
2015-11-13,3.825000047683716
2015-11-16,3.625
2015-11-17,3.75
2015-11-18,3.7750000953674316
2015-11-19,3.75
2015-11-20,3.625
2015-11-23,3.5
2015-11-24,3.0
2015-11-25,3.5
2015-11-27,3.700000047683716
2015-11-30,3.25
2015-12-01,3.25
2015-12-02,3.299999952316284
2015-12-03,3.25
2015-12-04,3.25
2015-12-07,3.049999952316284
2015-12-08,3.25
2015-12-09,3.4000000953674316
2015-12-10,3.125
2015-12-11,3.125
2015-12-14,2.875
2015-12-15,3.125
2015-12-16,3.0999999046325684
2015-12-17,2.9749999046325684
2015-12-18,3.1500000953674316
2015-12-21,3.125
2015-12-22,3.3499999046325684
2015-12-23,3.375
2015-12-24,3.5
2015-12-28,3.125
2015-12-29,3.0
2015-12-30,3.0
2015-12-31,3.237499952316284
2016-01-04,3.25
2016-01-05,3.25
2016-01-06,3.25
2016-01-07,3.075000047683716
2016-01-08,2.9749999046325684
2016-01-11,2.875
2016-01-12,2.924999952316284
2016-01-13,2.75
