,FCAC
2020-11-24,10.020000457763672
2020-11-25,10.050000190734863
2020-11-27,9.970000267028809
2020-11-30,10.300000190734863
2020-12-01,10.149999618530273
2020-12-02,10.279999732971191
2020-12-03,10.175000190734863
2020-12-04,10.095000267028809
2020-12-07,10.399999618530273
2020-12-08,10.390000343322754
2020-12-09,10.199999809265137
2020-12-10,10.300000190734863
2020-12-11,10.553999900817871
2020-12-14,10.359999656677246
2020-12-15,10.300000190734863
2020-12-16,10.375
2020-12-17,10.579999923706055
2020-12-18,10.510000228881836
2020-12-21,10.539999961853027
2020-12-22,10.5
2020-12-23,10.496999740600586
2020-12-24,10.670000076293945
2020-12-28,10.789999961853027
2020-12-29,10.800000190734863
2020-12-30,10.699999809265137
2020-12-31,10.539999961853027
2021-01-04,10.5
2021-01-05,10.5
2021-01-06,10.420000076293945
2021-01-07,10.430000305175781
2021-01-08,10.6899995803833
2021-01-11,10.649999618530273
2021-01-12,10.90999984741211
2021-01-13,11.0
2021-01-14,11.199999809265137
2021-01-15,10.819999694824219
2021-01-19,10.890000343322754
2021-01-20,11.220000267028809
2021-01-21,11.0
2021-01-22,10.899999618530273
2021-01-25,10.960000038146973
2021-01-26,10.819999694824219
2021-01-27,11.239999771118164
2021-01-28,11.75
2021-01-29,11.40999984741211
2021-02-01,11.420000076293945
2021-02-02,11.59000015258789
2021-02-03,11.770000457763672
2021-02-04,11.930000305175781
2021-02-05,11.920000076293945
2021-02-08,11.859999656677246
2021-02-09,11.779999732971191
2021-02-10,11.850000381469727
2021-02-11,11.770000457763672
2021-02-12,11.3100004196167
2021-02-16,11.350000381469727
2021-02-17,11.5600004196167
2021-02-18,11.149999618530273
2021-02-19,11.920000076293945
2021-02-22,12.5
2021-02-23,12.430000305175781
2021-02-24,12.039999961853027
2021-02-25,10.890000343322754
2021-02-26,10.890000343322754
2021-03-01,11.390000343322754
2021-03-02,10.760000228881836
2021-03-03,10.260000228881836
2021-03-04,10.109999656677246
2021-03-05,10.180000305175781
2021-03-08,10.420000076293945
2021-03-09,10.260000228881836
2021-03-10,10.210000038146973
2021-03-11,10.680000305175781
2021-03-12,10.449999809265137
2021-03-15,10.260000228881836
2021-03-16,10.1899995803833
2021-03-17,10.210000038146973
2021-03-18,10.140000343322754
2021-03-19,10.130000114440918
2021-03-22,10.100000381469727
2021-03-23,9.960000038146973
2021-03-24,9.930000305175781
2021-03-25,10.039999961853027
2021-03-26,9.930000305175781
2021-03-29,9.979999542236328
2021-03-30,9.920000076293945
2021-03-31,9.970000267028809
2021-04-01,9.920000076293945
2021-04-05,9.960000038146973
2021-04-06,10.0
2021-04-07,9.960000038146973
2021-04-08,10.010000228881836
2021-04-09,9.989999771118164
2021-04-12,9.960000038146973
2021-04-13,9.949999809265137
2021-04-14,9.930000305175781
2021-04-15,9.9399995803833
2021-04-16,9.930000305175781
2021-04-19,9.899999618530273
2021-04-20,9.850000381469727
2021-04-21,9.920000076293945
2021-04-22,9.930000305175781
2021-04-23,9.979999542236328
2021-04-26,9.979999542236328
2021-04-27,9.90999984741211
2021-04-28,9.979999542236328
2021-04-29,9.979999542236328
2021-04-30,9.970000267028809
2021-05-03,9.979999542236328
2021-05-04,9.970000267028809
2021-05-05,9.979999542236328
2021-05-06,9.979999542236328
2021-05-07,9.979999542236328
2021-05-10,9.899999618530273
2021-05-11,9.920000076293945
2021-05-12,9.9399995803833
2021-05-13,9.920000076293945
2021-05-14,9.9399995803833
