,DSEY
2021-03-24,15.0
2021-03-25,14.979999542236328
2021-03-26,15.079999923706055
2021-03-29,14.9399995803833
2021-03-30,14.640000343322754
2021-03-31,14.710000038146973
2021-04-01,14.770000457763672
2021-04-05,14.5600004196167
2021-04-06,14.899999618530273
2021-04-07,14.75
2021-04-08,14.920000076293945
2021-04-09,14.800000190734863
2021-04-12,14.720000267028809
2021-04-13,14.529999732971191
2021-04-14,14.8100004196167
2021-04-15,14.359999656677246
2021-04-16,14.34000015258789
2021-04-19,14.039999961853027
2021-04-20,14.3100004196167
2021-04-21,15.0
2021-04-22,15.270000457763672
2021-04-23,16.309999465942383
2021-04-26,17.110000610351562
2021-04-27,17.489999771118164
2021-04-28,17.84000015258789
2021-04-29,17.989999771118164
2021-04-30,18.0
2021-05-03,17.959999084472656
2021-05-04,17.3799991607666
2021-05-05,17.209999084472656
2021-05-06,17.309999465942383
2021-05-07,17.709999084472656
2021-05-10,17.739999771118164
2021-05-11,16.829999923706055
2021-05-12,16.3700008392334
2021-05-13,16.6299991607666
2021-05-14,17.020000457763672
