,CIGI
1995-01-20,1.0422760248184204
1995-01-23,1.014847993850708
1995-01-24,1.0194189548492432
1995-01-25,1.0194189548492432
1995-01-26,1.0194189548492432
1995-01-27,1.0422760248184204
1995-01-30,1.0422760248184204
1995-01-31,1.0422760248184204
1995-02-01,1.0422760248184204
1995-02-02,1.0422760248184204
1995-02-03,1.0422760248184204
1995-02-06,1.0422760248184204
1995-02-07,1.0422760248184204
1995-02-08,1.0422760248184204
1995-02-09,1.0422760248184204
1995-02-10,1.0422760248184204
1995-02-13,1.0422760248184204
1995-02-14,1.0011340379714966
1995-02-15,1.0011340379714966
1995-02-16,1.0011340379714966
1995-02-17,1.0011340379714966
1995-02-21,1.0011340379714966
1995-02-22,1.0011340379714966
1995-02-23,1.0011340379714966
1995-02-24,1.0011340379714966
1995-02-27,1.0011340379714966
1995-02-28,1.0011340379714966
1995-03-01,1.0422760248184204
1995-03-02,1.010275959968567
1995-03-03,1.010275959968567
1995-03-06,0.9691339731216431
1995-03-07,0.9691339731216431
1995-03-08,0.9691339731216431
1995-03-09,0.9691339731216431
1995-03-10,0.9691339731216431
1995-03-13,0.9691339731216431
1995-03-14,0.9691339731216431
1995-03-15,0.9691339731216431
1995-03-16,0.9691339731216431
1995-03-17,0.9691339731216431
1995-03-20,0.9691339731216431
1995-03-21,0.9691339731216431
1995-03-22,1.0422760248184204
1995-03-23,1.078847050666809
1995-03-24,1.078847050666809
1995-03-27,1.078847050666809
1995-03-28,1.1702749729156494
1995-03-29,1.202275037765503
1995-03-30,1.202275037765503
1995-03-31,1.202275037765503
1995-04-03,1.202275037765503
1995-04-04,1.2434170246124268
1995-04-05,1.2434170246124268
1995-04-06,1.2434170246124268
1995-04-07,1.2434170246124268
1995-04-10,1.2434170246124268
1995-04-11,1.3531299829483032
1995-04-12,1.3622729778289795
1995-04-13,1.3165589570999146
1995-04-17,1.3759870529174805
1995-04-18,1.3759870529174805
1995-04-19,1.3759870529174805
1995-04-20,1.3759870529174805
1995-04-21,1.3759870529174805
1995-04-24,1.3759870529174805
1995-04-25,1.3759870529174805
1995-04-26,1.3531299829483032
1995-04-27,1.3531299829483032
1995-04-28,1.298274040222168
1995-05-01,1.2799880504608154
1995-05-02,1.2799880504608154
1995-05-03,1.2799880504608154
1995-05-04,1.2799880504608154
1995-05-05,1.2754169702529907
1995-05-08,1.206845998764038
1995-05-09,1.206845998764038
1995-05-10,1.206845998764038
1995-05-11,1.206845998764038
1995-05-12,1.206845998764038
1995-05-15,1.1337039470672607
1995-05-16,1.1337039470672607
1995-05-17,1.1337039470672607
1995-05-18,1.1337039470672607
1995-05-19,1.142846941947937
1995-05-22,1.142846941947937
1995-05-23,1.142846941947937
1995-05-24,1.206845998764038
1995-05-25,1.206845998764038
1995-05-26,1.1748460531234741
1995-05-30,1.206845998764038
1995-05-31,1.0834189653396606
1995-06-01,1.0834189653396606
1995-06-02,1.206845998764038
1995-06-05,1.206845998764038
1995-06-06,1.206845998764038
1995-06-07,1.2114169597625732
1995-06-08,1.238845944404602
1995-06-09,1.238845944404602
1995-06-12,1.238845944404602
1995-06-13,1.238845944404602
1995-06-14,1.238845944404602
1995-06-15,1.238845944404602
1995-06-16,1.2297029495239258
1995-06-19,1.2297029495239258
1995-06-20,1.2297029495239258
1995-06-21,1.1702749729156494
1995-06-22,1.1702749729156494
1995-06-23,1.1702749729156494
1995-06-26,1.1702749729156494
1995-06-27,1.1702749729156494
1995-06-28,1.1702749729156494
1995-06-29,1.1702749729156494
1995-06-30,1.1702749729156494
1995-07-03,1.2799880504608154
1995-07-05,1.2799880504608154
1995-07-06,1.2799880504608154
1995-07-07,1.2799880504608154
1995-07-10,1.2799880504608154
1995-07-11,1.2799880504608154
1995-07-12,1.2434170246124268
1995-07-13,1.2434170246124268
1995-07-14,1.2434170246124268
1995-07-17,1.2434170246124268
1995-07-18,1.2434170246124268
1995-07-19,1.2434170246124268
1995-07-20,1.2434170246124268
1995-07-21,1.2434170246124268
1995-07-24,1.2434170246124268
1995-07-25,1.2434170246124268
1995-07-26,1.2434170246124268
1995-07-27,1.2434170246124268
1995-07-28,1.2434170246124268
1995-07-31,1.1839890480041504
1995-08-01,1.1839890480041504
1995-08-02,1.1839890480041504
1995-08-03,1.2434170246124268
1995-08-04,1.2479890584945679
1995-08-07,1.1702749729156494
1995-08-08,1.1702749729156494
1995-08-09,1.1702749729156494
1995-08-10,1.1702749729156494
1995-08-11,1.1702749729156494
1995-08-14,1.1702749729156494
1995-08-15,1.2799880504608154
1995-08-16,1.2799880504608154
1995-08-17,1.2799880504608154
1995-08-18,1.2799880504608154
1995-08-21,1.2799880504608154
1995-08-22,1.2799880504608154
1995-08-23,1.2799880504608154
1995-08-24,1.2251319885253906
1995-08-25,1.2251319885253906
1995-08-28,1.2251319885253906
1995-08-29,1.2251319885253906
1995-08-30,1.2251319885253906
1995-08-31,1.2251319885253906
1995-09-01,1.2251319885253906
1995-09-05,1.2251319885253906
1995-09-06,1.2251319885253906
1995-09-07,1.2251319885253906
1995-09-08,1.2251319885253906
1995-09-11,1.2251319885253906
1995-09-12,1.2251319885253906
1995-09-13,1.2251319885253906
1995-09-14,1.2251319885253906
1995-09-15,1.2251319885253906
1995-09-18,1.1702749729156494
1995-09-19,1.1702749729156494
1995-09-20,1.1702749729156494
1995-09-21,1.1702749729156494
1995-09-22,1.1291329860687256
1995-09-25,1.1291329860687256
1995-09-26,1.1291329860687256
1995-09-27,1.1291329860687256
1995-09-28,1.1291329860687256
1995-09-29,1.1291329860687256
