,CINF
1980-03-17,1.3254649639129639
1980-03-18,1.3254649639129639
1980-03-19,1.3254649639129639
1980-03-20,1.3254649639129639
1980-03-21,1.3254649639129639
1980-03-24,1.2569069862365723
1980-03-25,1.2340539693832397
1980-03-26,1.2340539693832397
1980-03-27,1.1883480548858643
1980-03-28,1.0740840435028076
1980-03-31,1.0740840435028076
1980-04-01,1.085510015487671
1980-04-02,1.0969369411468506
1980-04-03,1.0969369411468506
1980-04-07,1.0969369411468506
1980-04-08,1.1083630323410034
1980-04-09,1.1083630323410034
1980-04-10,1.131216049194336
1980-04-11,1.131216049194336
1980-04-14,1.1197890043258667
1980-04-15,1.1197890043258667
1980-04-16,1.131216049194336
1980-04-17,1.131216049194336
1980-04-18,1.131216049194336
1980-04-21,1.131216049194336
1980-04-22,1.131216049194336
1980-04-23,1.131216049194336
1980-04-24,1.131216049194336
1980-04-25,1.131216049194336
1980-04-28,1.1426420211791992
1980-04-29,1.131216049194336
1980-04-30,1.154068946838379
1980-05-01,1.1654950380325317
1980-05-02,1.1654950380325317
1980-05-05,1.1997740268707275
1980-05-06,1.2569069862365723
1980-05-07,1.2569069862365723
1980-05-08,1.245479941368103
1980-05-09,1.2340539693832397
1980-05-12,1.2340539693832397
1980-05-13,1.2112009525299072
1980-05-14,1.22262704372406
1980-05-15,1.2340539693832397
1980-05-16,1.245479941368103
1980-05-19,1.2340539693832397
1980-05-20,1.2340539693832397
1980-05-21,1.2340539693832397
1980-05-22,1.2340539693832397
1980-05-23,1.2340539693832397
1980-05-27,1.2569069862365723
1980-05-28,1.2569069862365723
1980-05-29,1.245479941368103
1980-05-30,1.245479941368103
1980-06-02,1.245479941368103
1980-06-03,1.245479941368103
1980-06-04,1.2797590494155884
1980-06-05,1.2797590494155884
1980-06-06,1.291185975074768
1980-06-09,1.291185975074768
1980-06-10,1.291185975074768
1980-06-11,1.4054499864578247
1980-06-12,1.4397289752960205
1980-06-13,1.4968609809875488
1980-06-16,1.508288025856018
1980-06-17,1.4968609809875488
1980-06-18,1.4968609809875488
1980-06-19,1.4968609809875488
