,BNFT
2013-09-18,53.54999923706055
2013-09-19,50.29999923706055
2013-09-20,50.90999984741211
2013-09-23,49.56999969482422
2013-09-24,47.95000076293945
2013-09-25,46.52000045776367
2013-09-26,44.970001220703125
2013-09-27,48.459999084472656
2013-09-30,49.15999984741211
2013-10-01,49.099998474121094
2013-10-02,49.04999923706055
2013-10-03,47.310001373291016
2013-10-04,44.77000045776367
2013-10-07,43.25
2013-10-08,39.66999816894531
2013-10-09,38.310001373291016
2013-10-10,40.72999954223633
2013-10-11,41.86000061035156
2013-10-14,48.31999969482422
2013-10-15,47.59000015258789
2013-10-16,49.099998474121094
2013-10-17,48.56999969482422
2013-10-18,48.599998474121094
2013-10-21,52.59000015258789
2013-10-22,51.0
2013-10-23,50.45000076293945
2013-10-24,52.630001068115234
2013-10-25,52.599998474121094
2013-10-28,52.2599983215332
2013-10-29,52.88999938964844
2013-10-30,52.720001220703125
2013-10-31,50.099998474121094
2013-11-01,50.08000183105469
2013-11-04,48.349998474121094
2013-11-05,47.81999969482422
2013-11-06,48.630001068115234
2013-11-07,46.2599983215332
2013-11-08,46.2599983215332
2013-11-11,47.630001068115234
2013-11-12,48.040000915527344
2013-11-13,47.4900016784668
2013-11-14,42.2599983215332
2013-11-15,43.5
2013-11-18,40.38999938964844
2013-11-19,39.93000030517578
2013-11-20,40.849998474121094
2013-11-21,40.27000045776367
2013-11-22,40.84000015258789
2013-11-25,41.61000061035156
2013-11-26,43.099998474121094
2013-11-27,48.04999923706055
2013-11-29,48.310001373291016
2013-12-02,48.70000076293945
2013-12-03,46.5
2013-12-04,46.06999969482422
2013-12-05,45.720001220703125
2013-12-06,48.25
2013-12-09,46.029998779296875
2013-12-10,46.439998626708984
2013-12-11,47.66999816894531
2013-12-12,51.58000183105469
2013-12-13,54.5099983215332
2013-12-16,58.060001373291016
2013-12-17,57.040000915527344
2013-12-18,58.20000076293945
2013-12-19,54.63999938964844
2013-12-20,57.2400016784668
2013-12-23,58.349998474121094
2013-12-24,58.560001373291016
2013-12-26,57.290000915527344
2013-12-27,58.20000076293945
2013-12-30,58.29999923706055
2013-12-31,57.7400016784668
2014-01-02,56.04999923706055
2014-01-03,56.65999984741211
2014-01-06,58.060001373291016
2014-01-07,63.18000030517578
2014-01-08,63.5099983215332
2014-01-09,62.06999969482422
2014-01-10,64.63999938964844
2014-01-13,64.58000183105469
2014-01-14,64.69999694824219
2014-01-15,69.05000305175781
2014-01-16,76.0
2014-01-17,74.33000183105469
2014-01-21,73.7300033569336
2014-01-22,72.16000366210938
2014-01-23,71.5999984741211
2014-01-24,68.0
2014-01-27,65.62000274658203
2014-01-28,66.18000030517578
2014-01-29,63.79999923706055
2014-01-30,64.41999816894531
