,BSCU
2020-09-18,20.010000228881836
2020-09-21,19.979999542236328
2020-09-22,19.959999084472656
2020-09-23,19.854999542236328
2020-09-24,19.780000686645508
2020-09-25,19.7450008392334
2020-09-28,19.84000015258789
2020-09-29,19.860000610351562
2020-09-30,19.829999923706055
2020-10-01,19.889999389648438
2020-10-02,19.860000610351562
2020-10-05,19.812999725341797
2020-10-06,19.829999923706055
2020-10-07,19.829999923706055
2020-10-08,19.895000457763672
2020-10-09,19.892000198364258
2020-10-12,19.969999313354492
2020-10-13,19.959999084472656
2020-10-14,19.959999084472656
2020-10-15,19.917999267578125
2020-10-16,19.930999755859375
2020-10-19,19.899999618530273
2020-10-20,19.878000259399414
2020-10-21,19.8700008392334
2020-10-22,19.812999725341797
2020-10-23,19.860000610351562
2020-10-26,19.90999984741211
2020-10-27,19.93000030517578
2020-10-28,19.865999221801758
2020-10-29,19.809999465942383
2020-10-30,19.729999542236328
2020-11-02,19.78700065612793
2020-11-03,19.770000457763672
2020-11-04,20.024999618530273
2020-11-05,20.072999954223633
2020-11-06,20.072999954223633
2020-11-09,19.950000762939453
2020-11-10,19.93199920654297
2020-11-11,19.950000762939453
2020-11-12,20.034000396728516
2020-11-13,20.03499984741211
2020-11-16,20.075000762939453
2020-11-17,20.075000762939453
2020-11-18,20.075000762939453
2020-11-19,20.229999542236328
2020-11-20,20.200000762939453
2020-11-23,20.200000762939453
2020-11-24,20.219999313354492
2020-11-25,20.219999313354492
2020-11-27,20.260000228881836
2020-11-30,20.30699920654297
2020-12-01,20.242000579833984
2020-12-02,20.219999313354492
2020-12-03,20.219999313354492
2020-12-04,20.219999313354492
2020-12-07,20.25
2020-12-08,20.235000610351562
2020-12-09,20.139999389648438
2020-12-10,20.225000381469727
2020-12-11,20.225000381469727
2020-12-14,20.229000091552734
2020-12-15,20.274999618530273
2020-12-16,20.260000228881836
2020-12-17,20.260000228881836
2020-12-18,20.260000228881836
2020-12-21,20.190000534057617
2020-12-22,20.239999771118164
2020-12-23,20.25
2020-12-24,20.280000686645508
2020-12-28,20.309999465942383
2020-12-29,20.32200050354004
2020-12-30,20.34000015258789
2020-12-31,20.350000381469727
2021-01-04,20.290000915527344
2021-01-05,20.2450008392334
2021-01-06,20.1200008392334
2021-01-07,20.09000015258789
2021-01-08,20.049999237060547
2021-01-11,19.979999542236328
2021-01-12,19.981000900268555
2021-01-13,20.110000610351562
2021-01-14,20.06999969482422
2021-01-15,20.100000381469727
2021-01-19,20.06999969482422
2021-01-20,20.06999969482422
2021-01-21,20.030000686645508
2021-01-22,20.020000457763672
2021-01-25,20.09000015258789
2021-01-26,20.079999923706055
2021-01-27,20.06999969482422
2021-01-28,20.059999465942383
2021-01-29,19.985000610351562
2021-02-01,20.020000457763672
2021-02-02,19.985000610351562
2021-02-03,19.9950008392334
2021-02-04,19.97599983215332
2021-02-05,19.979999542236328
2021-02-08,19.979999542236328
2021-02-09,19.989999771118164
2021-02-10,20.020000457763672
2021-02-11,19.989999771118164
2021-02-12,19.94499969482422
2021-02-16,19.780000686645508
2021-02-17,19.815000534057617
2021-02-18,19.809999465942383
2021-02-19,19.700000762939453
2021-02-22,19.59000015258789
2021-02-23,19.610000610351562
2021-02-24,19.6299991607666
2021-02-25,19.309999465942383
2021-02-26,19.479999542236328
2021-03-01,19.520000457763672
2021-03-02,19.540000915527344
2021-03-03,19.420000076293945
2021-03-04,19.260000228881836
2021-03-05,19.19499969482422
2021-03-08,19.049999237060547
2021-03-09,19.139999389648438
2021-03-10,19.229999542236328
2021-03-11,19.236000061035156
2021-03-12,19.06999969482422
2021-03-15,19.104999542236328
2021-03-16,19.094999313354492
2021-03-17,19.09000015258789
2021-03-18,18.979999542236328
2021-03-19,18.954999923706055
2021-03-22,19.0049991607666
2021-03-23,19.049999237060547
2021-03-24,19.09000015258789
2021-03-25,19.079999923706055
2021-03-26,19.079999923706055
2021-03-29,19.010000228881836
2021-03-30,19.020000457763672
2021-03-31,19.049999237060547
2021-04-01,19.165000915527344
2021-04-05,19.079999923706055
2021-04-06,19.19499969482422
2021-04-07,19.200000762939453
2021-04-08,19.2549991607666
2021-04-09,19.21500015258789
2021-04-12,19.204999923706055
2021-04-13,19.280000686645508
2021-04-14,19.27400016784668
2021-04-15,19.40999984741211
2021-04-16,19.299999237060547
2021-04-19,19.219999313354492
2021-04-20,19.264999389648438
2021-04-21,19.290000915527344
2021-04-22,19.312999725341797
2021-04-23,19.325000762939453
2021-04-26,19.31999969482422
2021-04-27,19.2450008392334
2021-04-28,19.2549991607666
2021-04-29,19.21500015258789
2021-04-30,19.235000610351562
2021-05-03,19.274999618530273
2021-05-04,19.290000915527344
2021-05-05,19.309999465942383
2021-05-06,19.309999465942383
2021-05-07,19.344999313354492
2021-05-10,19.31999969482422
2021-05-11,19.270000457763672
2021-05-12,19.145000457763672
2021-05-13,19.225000381469727
2021-05-14,19.290000915527344
