,CALT
2020-06-05,19.600000381469727
2020-06-08,20.190000534057617
2020-06-09,20.170000076293945
2020-06-10,19.959999084472656
2020-06-11,19.399999618530273
2020-06-12,19.5
2020-06-15,19.389999389648438
2020-06-16,19.479999542236328
2020-06-17,19.3799991607666
2020-06-18,19.25
2020-06-19,19.170000076293945
2020-06-22,19.3799991607666
2020-06-23,19.780000686645508
2020-06-24,19.889999389648438
2020-06-25,19.190000534057617
2020-06-26,19.709999084472656
2020-06-29,19.950000762939453
2020-06-30,23.200000762939453
2020-07-01,23.604999542236328
2020-07-02,22.219999313354492
2020-07-06,23.479999542236328
2020-07-07,22.81999969482422
2020-07-08,23.56999969482422
2020-07-09,23.780000686645508
2020-07-10,23.344999313354492
2020-07-13,22.760000228881836
2020-07-14,22.979999542236328
2020-07-15,23.350000381469727
2020-07-16,23.579999923706055
2020-07-17,23.760000228881836
2020-07-20,24.81999969482422
2020-07-21,25.100000381469727
2020-07-22,25.690000534057617
2020-07-23,24.079999923706055
2020-07-24,23.690000534057617
2020-07-27,24.049999237060547
2020-07-28,23.81999969482422
2020-07-29,21.610000610351562
2020-07-30,22.540000915527344
2020-07-31,22.850000381469727
2020-08-03,22.860000610351562
2020-08-04,22.440000534057617
2020-08-05,23.489999771118164
2020-08-06,21.90999984741211
2020-08-07,22.170000076293945
2020-08-10,23.25
2020-08-11,22.43000030517578
2020-08-12,23.059999465942383
2020-08-13,22.030000686645508
2020-08-14,23.600000381469727
2020-08-17,24.030000686645508
2020-08-18,24.075000762939453
2020-08-19,24.299999237060547
2020-08-20,24.329999923706055
2020-08-21,22.469999313354492
2020-08-24,22.65999984741211
2020-08-25,23.440000534057617
2020-08-26,23.1299991607666
2020-08-27,23.489999771118164
2020-08-28,23.34000015258789
2020-08-31,22.709999084472656
2020-09-01,22.850000381469727
2020-09-02,23.040000915527344
2020-09-03,22.489999771118164
2020-09-04,22.469999313354492
2020-09-08,22.5
2020-09-09,22.649999618530273
2020-09-10,22.5
2020-09-11,22.540000915527344
2020-09-14,22.790000915527344
2020-09-15,22.709999084472656
2020-09-16,23.440000534057617
2020-09-17,24.799999237060547
2020-09-18,23.799999237060547
2020-09-21,24.5
2020-09-22,24.5
2020-09-23,23.420000076293945
2020-09-24,22.600000381469727
2020-09-25,23.420000076293945
2020-09-28,24.0
2020-09-29,23.420000076293945
2020-09-30,24.0
2020-10-01,24.079999923706055
2020-10-02,23.530000686645508
2020-10-05,24.989999771118164
2020-10-06,24.610000610351562
2020-10-07,25.09000015258789
2020-10-08,25.93000030517578
2020-10-09,28.260000228881836
2020-10-12,29.239999771118164
2020-10-13,29.56999969482422
2020-10-14,29.5
2020-10-15,29.229999542236328
2020-10-16,28.989999771118164
2020-10-19,27.600000381469727
2020-10-20,27.8799991607666
2020-10-21,27.040000915527344
2020-10-22,27.34000015258789
2020-10-23,26.0
2020-10-26,25.270000457763672
2020-10-27,25.09000015258789
2020-10-28,23.459999084472656
2020-10-29,23.75
2020-10-30,23.34000015258789
2020-11-02,23.690000534057617
2020-11-03,24.229999542236328
2020-11-04,25.700000762939453
2020-11-05,25.510000228881836
2020-11-06,25.170000076293945
2020-11-09,33.95000076293945
2020-11-10,34.65999984741211
2020-11-11,33.5
2020-11-12,32.70000076293945
2020-11-13,32.5
2020-11-16,32.959999084472656
2020-11-17,32.529998779296875
2020-11-18,32.7599983215332
2020-11-19,32.619998931884766
2020-11-20,33.0
2020-11-23,32.22999954223633
2020-11-24,32.29999923706055
2020-11-25,32.68000030517578
2020-11-27,33.16999816894531
2020-11-30,36.650001525878906
2020-12-01,35.95000076293945
2020-12-02,34.150001525878906
2020-12-03,33.630001068115234
2020-12-04,33.90999984741211
2020-12-07,34.54999923706055
2020-12-08,34.709999084472656
2020-12-09,33.77000045776367
2020-12-10,33.93000030517578
2020-12-11,33.4900016784668
2020-12-14,33.599998474121094
2020-12-15,34.7400016784668
2020-12-16,34.43000030517578
2020-12-17,34.310001373291016
2020-12-18,33.68000030517578
2020-12-21,33.47999954223633
2020-12-22,33.380001068115234
2020-12-23,32.439998626708984
2020-12-24,33.279998779296875
2020-12-28,33.529998779296875
2020-12-29,33.34000015258789
