,CALT
2020-12-30,33.970001220703125
2020-12-31,33.619998931884766
2021-01-04,32.40999984741211
2021-01-05,32.0
2021-01-06,32.5099983215332
2021-01-07,31.850000381469727
2021-01-08,31.600000381469727
2021-01-11,31.0
2021-01-12,30.6200008392334
2021-01-13,30.010000228881836
2021-01-14,31.1299991607666
2021-01-15,30.100000381469727
2021-01-19,32.13999938964844
2021-01-20,32.7400016784668
2021-01-21,31.579999923706055
2021-01-22,32.91999816894531
2021-01-25,32.119998931884766
2021-01-26,31.229999542236328
2021-01-27,27.729999542236328
2021-01-28,28.139999389648438
2021-01-29,27.010000228881836
2021-02-01,27.739999771118164
2021-02-02,28.360000610351562
2021-02-03,28.899999618530273
2021-02-04,29.989999771118164
2021-02-05,29.799999237060547
2021-02-08,30.5
2021-02-09,30.200000762939453
2021-02-10,30.1200008392334
2021-02-11,32.060001373291016
2021-02-12,32.38999938964844
2021-02-16,32.18000030517578
2021-02-17,31.899999618530273
2021-02-18,30.299999237060547
2021-02-19,30.549999237060547
2021-02-22,29.899999618530273
2021-02-23,29.09000015258789
2021-02-24,28.860000610351562
2021-02-25,28.84000015258789
2021-02-26,28.06999969482422
2021-03-01,29.1299991607666
2021-03-02,29.649999618530273
2021-03-03,28.920000076293945
2021-03-04,27.649999618530273
2021-03-05,27.489999771118164
2021-03-08,27.940000534057617
2021-03-09,28.90999984741211
2021-03-10,28.81999969482422
2021-03-11,30.030000686645508
2021-03-12,29.940000534057617
2021-03-15,29.8799991607666
2021-03-16,29.40999984741211
2021-03-17,29.90999984741211
2021-03-18,29.6200008392334
2021-03-19,29.0
2021-03-22,29.610000610351562
2021-03-23,29.972000122070312
2021-03-24,28.450000762939453
2021-03-25,28.139999389648438
2021-03-26,29.299999237060547
2021-03-29,27.420000076293945
2021-03-30,27.459999084472656
2021-03-31,27.565000534057617
2021-04-01,27.56999969482422
2021-04-05,27.450000762939453
2021-04-06,27.5
2021-04-07,26.905000686645508
2021-04-08,27.5
2021-04-09,27.4950008392334
2021-04-12,27.200000762939453
2021-04-13,26.719999313354492
2021-04-14,26.950000762939453
2021-04-15,27.190000534057617
2021-04-16,26.8799991607666
2021-04-19,26.90999984741211
2021-04-20,26.020000457763672
2021-04-21,26.649999618530273
2021-04-22,26.989999771118164
2021-04-23,28.360000610351562
2021-04-26,28.90999984741211
2021-04-27,28.760000228881836
2021-04-28,30.0
2021-04-29,29.639999389648438
2021-04-30,29.600000381469727
2021-05-03,30.0
2021-05-04,29.0
2021-05-05,28.399999618530273
2021-05-06,27.65999984741211
2021-05-07,28.030000686645508
2021-05-10,27.68000030517578
2021-05-11,27.239999771118164
2021-05-12,27.020000457763672
2021-05-13,27.1200008392334
2021-05-14,27.709999084472656
