,FORR
1996-11-27,11.0
1996-11-29,10.6875
1996-12-02,10.375
1996-12-03,10.5
1996-12-04,10.4375
1996-12-05,11.0
1996-12-06,10.8125
1996-12-09,11.5625
1996-12-10,12.0
1996-12-11,12.1875
1996-12-12,12.8125
1996-12-13,12.25
1996-12-16,11.625
1996-12-17,10.9375
1996-12-18,11.625
1996-12-19,11.625
1996-12-20,11.375
1996-12-23,10.625
1996-12-24,11.125
1996-12-26,10.875
1996-12-27,11.5
1996-12-30,12.375
1996-12-31,12.875
1997-01-02,12.5625
1997-01-03,13.875
1997-01-06,13.4375
1997-01-07,14.3125
1997-01-08,14.4375
1997-01-09,14.1875
1997-01-10,14.0
1997-01-13,13.75
1997-01-14,13.375
1997-01-15,13.375
1997-01-16,12.9375
1997-01-17,12.8125
1997-01-20,12.8125
1997-01-21,12.6875
1997-01-22,13.375
1997-01-23,13.1875
1997-01-24,13.0625
1997-01-27,13.125
1997-01-28,13.375
1997-01-29,13.4375
1997-01-30,13.4375
1997-01-31,13.125
1997-02-03,12.375
1997-02-04,12.375
1997-02-05,12.375
1997-02-06,12.375
1997-02-07,12.375
1997-02-10,11.75
1997-02-11,11.875
1997-02-12,11.0
1997-02-13,10.9375
1997-02-14,10.9375
1997-02-18,11.0
1997-02-19,10.9375
1997-02-20,10.9375
1997-02-21,9.25
1997-02-24,10.0625
1997-02-25,9.4375
1997-02-26,9.8125
1997-02-27,9.5
1997-02-28,9.125
1997-03-03,9.0625
1997-03-04,9.125
1997-03-05,9.375
1997-03-06,10.25
1997-03-07,11.1875
1997-03-10,11.25
1997-03-11,10.875
1997-03-12,10.6875
1997-03-13,11.0
1997-03-14,10.625
1997-03-17,9.625
1997-03-18,9.25
1997-03-19,9.625
1997-03-20,9.5625
1997-03-21,9.625
1997-03-24,9.25
1997-03-25,9.625
1997-03-26,9.25
1997-03-27,9.25
1997-03-31,9.125
1997-04-01,8.625
1997-04-02,8.625
1997-04-03,9.0
1997-04-04,8.625
1997-04-07,9.0
1997-04-08,8.8125
1997-04-09,8.8125
1997-04-10,8.625
1997-04-11,9.0
1997-04-14,9.0
1997-04-15,9.0
1997-04-16,8.6875
1997-04-17,9.0
1997-04-18,8.6875
1997-04-21,8.6875
1997-04-22,8.3125
1997-04-23,8.1875
1997-04-24,8.875
1997-04-25,8.875
1997-04-28,9.0
1997-04-29,9.25
1997-04-30,9.125
1997-05-01,9.25
1997-05-02,10.125
1997-05-05,10.875
1997-05-06,10.75
1997-05-07,9.875
