,FORR
1997-05-08,10.125
1997-05-09,10.5
1997-05-12,10.375
1997-05-13,10.375
1997-05-14,10.5
1997-05-15,10.6875
1997-05-16,10.875
1997-05-19,11.5
1997-05-20,11.9375
1997-05-21,12.25
1997-05-22,12.5
1997-05-23,13.0
1997-05-27,13.6875
1997-05-28,13.25
1997-05-29,13.5
1997-05-30,14.625
1997-06-02,14.5
1997-06-03,14.375
1997-06-04,16.125
1997-06-05,15.375
1997-06-06,15.25
1997-06-09,14.75
1997-06-10,13.125
1997-06-11,13.5625
1997-06-12,13.4375
1997-06-13,13.125
1997-06-16,14.1875
1997-06-17,14.8125
1997-06-18,14.375
1997-06-19,14.375
1997-06-20,14.5625
1997-06-23,14.8125
1997-06-24,14.625
1997-06-25,14.75
1997-06-26,14.5625
1997-06-27,14.375
1997-06-30,14.71875
1997-07-01,14.5625
1997-07-02,14.1875
1997-07-03,14.0
1997-07-07,14.3125
1997-07-08,14.1875
1997-07-09,14.1875
1997-07-10,13.75
1997-07-11,14.0
1997-07-14,13.75
1997-07-15,14.0
1997-07-16,14.8125
1997-07-17,14.4375
1997-07-18,15.625
1997-07-21,15.875
1997-07-22,15.875
1997-07-23,15.4375
1997-07-24,15.25
1997-07-25,14.5625
1997-07-28,14.8125
1997-07-29,14.5
1997-07-30,14.5
1997-07-31,14.875
1997-08-01,14.625
1997-08-04,13.75
1997-08-05,14.0
1997-08-06,14.25
1997-08-07,14.125
1997-08-08,14.125
1997-08-11,14.5
1997-08-12,14.375
1997-08-13,14.125
1997-08-14,14.125
1997-08-15,14.125
1997-08-18,14.375
1997-08-19,14.625
1997-08-20,14.3125
1997-08-21,14.3125
1997-08-22,14.0625
1997-08-25,13.75
1997-08-26,13.75
1997-08-27,14.125
1997-08-28,13.75
1997-08-29,13.75
1997-09-02,13.625
1997-09-03,13.625
1997-09-04,13.1875
1997-09-05,13.25
1997-09-08,13.625
1997-09-09,13.25
1997-09-10,13.3125
1997-09-11,13.625
1997-09-12,13.5625
1997-09-15,13.375
1997-09-16,13.3125
1997-09-17,13.640625
1997-09-18,13.875
1997-09-19,13.40625
1997-09-22,13.40625
1997-09-23,13.875
1997-09-24,13.375
1997-09-25,13.375
1997-09-26,13.4375
1997-09-29,13.375
1997-09-30,13.5625
1997-10-01,13.75
1997-10-02,13.75
1997-10-03,13.8125
1997-10-06,13.4375
1997-10-07,13.4375
1997-10-08,13.4375
1997-10-09,13.4375
1997-10-10,13.5
1997-10-13,13.5
1997-10-14,13.625
1997-10-15,13.625
1997-10-16,13.375
1997-10-17,13.3125
1997-10-20,13.5
1997-10-21,13.5
1997-10-22,13.3125
1997-10-23,13.4375
1997-10-24,13.25
1997-10-27,12.375
1997-10-28,12.625
1997-10-29,12.71875
1997-10-30,12.9375
1997-10-31,12.9375
1997-11-03,12.9375
1997-11-04,12.9375
1997-11-05,12.75
1997-11-06,12.5
1997-11-07,12.6875
1997-11-10,12.625
1997-11-11,12.375
1997-11-12,12.375
1997-11-13,11.75
1997-11-14,11.625
1997-11-17,11.625
1997-11-18,11.625
1997-11-19,11.625
1997-11-20,11.5
1997-11-21,11.375
1997-11-24,11.5
1997-11-25,11.5
1997-11-26,11.375
1997-11-28,11.625
1997-12-01,11.5625
1997-12-02,11.5625
1997-12-03,11.5625
1997-12-04,11.625
1997-12-05,11.46875
1997-12-08,11.625
1997-12-09,11.5625
1997-12-10,11.625
1997-12-11,11.375
1997-12-12,11.625
1997-12-15,11.375
1997-12-16,11.625
1997-12-17,11.625
1997-12-18,11.5625
1997-12-19,11.375
1997-12-22,11.5625
1997-12-23,11.75
1997-12-24,11.75
1997-12-26,11.375
1997-12-29,11.5
1997-12-30,11.5625
1997-12-31,11.375
1998-01-02,11.5625
1998-01-05,11.75
1998-01-06,11.25
1998-01-07,11.1875
1998-01-08,11.0625
1998-01-09,10.78125
1998-01-12,10.9375
1998-01-13,10.5625
1998-01-14,10.5625
1998-01-15,10.5625
1998-01-16,10.375
1998-01-20,10.1875
1998-01-21,10.0
1998-01-22,10.21875
1998-01-23,9.5
1998-01-26,9.6875
1998-01-27,9.625
1998-01-28,9.625
1998-01-29,9.75
1998-01-30,9.9375
1998-02-02,9.625
1998-02-03,11.25
1998-02-04,11.75
1998-02-05,11.875
1998-02-06,13.5
1998-02-09,13.5
1998-02-10,13.0
1998-02-11,13.3125
1998-02-12,13.375
1998-02-13,13.53125
1998-02-17,13.46875
1998-02-18,13.1875
1998-02-19,13.3125
1998-02-20,13.0
1998-02-23,12.875
1998-02-24,12.5
1998-02-25,12.78125
1998-02-26,12.4375
1998-02-27,12.4375
1998-03-02,12.8125
1998-03-03,12.46875
1998-03-04,12.4375
1998-03-05,12.75
1998-03-06,13.3125
1998-03-09,13.625
1998-03-10,13.625
1998-03-11,14.5
1998-03-12,14.5
1998-03-13,14.625
1998-03-16,14.9375
1998-03-17,14.625
1998-03-18,15.5
1998-03-19,16.1875
1998-03-20,16.5
1998-03-23,17.5625
1998-03-24,17.5
1998-03-25,17.4375
1998-03-26,17.375
1998-03-27,17.25
1998-03-30,17.0
1998-03-31,17.75
1998-04-01,18.0
1998-04-02,18.3125
1998-04-03,18.625
1998-04-06,18.625
1998-04-07,17.5
1998-04-08,18.25
1998-04-09,19.25
1998-04-13,19.0625
1998-04-14,18.875
1998-04-15,18.75
1998-04-16,17.5625
1998-04-17,16.75
1998-04-20,17.6875
1998-04-21,17.625
1998-04-22,17.4375
1998-04-23,17.5
1998-04-24,17.5
1998-04-27,17.171875
1998-04-28,17.09375
1998-04-29,18.375
1998-04-30,18.75
1998-05-01,19.125
1998-05-04,19.0
1998-05-05,19.0
1998-05-06,19.0625
1998-05-07,18.875
1998-05-08,18.6875
1998-05-11,19.25
1998-05-12,19.25
1998-05-13,18.6875
1998-05-14,18.8125
1998-05-15,19.0625
1998-05-18,19.0
1998-05-19,19.0625
1998-05-20,19.0
1998-05-21,18.3125
1998-05-22,18.140625
1998-05-26,15.75
1998-05-27,16.3125
1998-05-28,17.125
1998-05-29,17.625
1998-06-01,16.875
1998-06-02,16.125
1998-06-03,15.625
1998-06-04,15.3125
1998-06-05,16.25
1998-06-08,16.5
1998-06-09,16.875
1998-06-10,17.125
1998-06-11,18.0625
1998-06-12,18.25
1998-06-15,17.875
1998-06-16,19.1875
1998-06-17,20.6875
1998-06-18,19.1875
1998-06-19,18.875
1998-06-22,19.5
1998-06-23,20.0
1998-06-24,19.6875
1998-06-25,19.8125
1998-06-26,19.8125
1998-06-29,19.5
1998-06-30,19.875
1998-07-01,20.3125
1998-07-02,20.625
1998-07-06,20.0
1998-07-07,19.3125
1998-07-08,18.84375
1998-07-09,18.65625
1998-07-10,18.9375
1998-07-13,18.96875
1998-07-14,19.375
1998-07-15,19.5
1998-07-16,19.1875
1998-07-17,18.78125
1998-07-20,18.6875
1998-07-21,18.0
1998-07-22,16.5
1998-07-23,16.25
1998-07-24,16.03125
1998-07-27,16.125
1998-07-28,15.8125
1998-07-29,16.5
1998-07-30,17.75
1998-07-31,17.3125
1998-08-03,16.5
1998-08-04,16.2734375
1998-08-05,16.8125
1998-08-06,18.25
1998-08-07,19.8125
1998-08-10,19.6875
1998-08-11,19.375
1998-08-12,19.375
1998-08-13,19.375
1998-08-14,18.9375
1998-08-17,20.4375
1998-08-18,19.75
1998-08-19,19.625
1998-08-20,19.3125
1998-08-21,18.625
1998-08-24,18.8125
1998-08-25,18.921875
1998-08-26,19.0625
1998-08-27,17.625
1998-08-28,16.625
1998-08-31,15.5
1998-09-01,16.875
1998-09-02,16.28125
1998-09-03,16.625
1998-09-04,15.375
1998-09-08,16.5
1998-09-09,16.8125
1998-09-10,16.53125
1998-09-11,17.1875
1998-09-14,17.828125
1998-09-15,16.875
1998-09-16,16.375
1998-09-17,16.125
1998-09-18,17.1875
1998-09-21,16.375
1998-09-22,17.5
1998-09-23,17.875
1998-09-24,18.3125
1998-09-25,17.3125
1998-09-28,17.5
1998-09-29,18.375
1998-09-30,18.25
1998-10-01,16.875
1998-10-02,16.375
1998-10-05,15.125
1998-10-06,14.5
1998-10-07,13.5
1998-10-08,13.5
1998-10-09,13.875
1998-10-12,14.625
1998-10-13,14.375
1998-10-14,14.125
1998-10-15,16.25
1998-10-16,17.9375
1998-10-19,18.625
1998-10-20,18.5
1998-10-21,16.9375
1998-10-22,15.625
1998-10-23,17.1875
1998-10-26,17.5
1998-10-27,16.5
1998-10-28,15.875
1998-10-29,15.75
1998-10-30,16.125
1998-11-02,15.875
1998-11-03,15.75
1998-11-04,16.0625
1998-11-05,16.0
1998-11-06,16.4375
1998-11-09,16.1875
1998-11-10,16.4375
1998-11-11,16.1875
1998-11-12,15.75
1998-11-13,15.5625
1998-11-16,14.6875
1998-11-17,14.65625
1998-11-18,15.5625
1998-11-19,16.1875
1998-11-20,15.8125
1998-11-23,16.0
1998-11-24,16.125
1998-11-25,16.1875
1998-11-27,16.125
1998-11-30,15.8125
1998-12-01,16.0625
1998-12-02,16.125
1998-12-03,15.875
1998-12-04,16.75
1998-12-07,17.25
1998-12-08,16.9375
1998-12-09,16.25
1998-12-10,16.0625
1998-12-11,16.40625
1998-12-14,16.5625
1998-12-15,16.375
1998-12-16,15.9375
1998-12-17,16.375
1998-12-18,16.3125
1998-12-21,17.875
1998-12-22,19.4375
1998-12-23,19.5
1998-12-24,18.75
1998-12-28,19.5
1998-12-29,20.4375
1998-12-30,20.6875
1998-12-31,21.875
1999-01-04,19.5
1999-01-05,19.875
1999-01-06,20.25
1999-01-07,19.90625
1999-01-08,22.125
1999-01-11,21.875
1999-01-12,22.75
1999-01-13,23.4375
1999-01-14,23.125
1999-01-15,23.4375
1999-01-19,24.25
1999-01-20,23.75
1999-01-21,23.125
1999-01-22,22.75
1999-01-25,23.0625
1999-01-26,22.875
1999-01-27,23.625
1999-01-28,23.3125
1999-01-29,22.25
1999-02-01,22.5625
1999-02-02,21.8125
1999-02-03,21.875
1999-02-04,22.0
1999-02-05,21.0
1999-02-08,20.5625
1999-02-09,20.34375
1999-02-10,19.5625
1999-02-11,19.28125
1999-02-12,20.0
1999-02-16,19.9375
1999-02-17,19.46875
1999-02-18,20.0
1999-02-19,19.6875
1999-02-22,19.875
1999-02-23,18.75
1999-02-24,18.5
1999-02-25,17.90625
1999-02-26,17.25
1999-03-01,17.625
1999-03-02,17.9375
1999-03-03,18.75
1999-03-04,19.25
1999-03-05,20.0625
1999-03-08,19.375
1999-03-09,20.0625
1999-03-10,19.75
1999-03-11,18.9375
1999-03-12,17.75
1999-03-15,17.0
1999-03-16,16.5
1999-03-17,16.625
1999-03-18,16.5
1999-03-19,16.5
1999-03-22,16.0
1999-03-23,15.625
1999-03-24,15.6875
1999-03-25,15.5
1999-03-26,14.875
1999-03-29,20.09375
1999-03-30,19.375
1999-03-31,15.1875
1999-04-01,18.4375
1999-04-05,18.4375
1999-04-06,18.0625
1999-04-07,17.5
1999-04-08,17.96875
1999-04-09,18.0625
1999-04-12,17.5
1999-04-13,16.9375
1999-04-14,16.375
1999-04-15,15.40625
1999-04-16,13.25
1999-04-19,11.625
1999-04-20,11.75
1999-04-21,14.5
1999-04-22,14.5
1999-04-23,14.84375
1999-04-26,16.0
1999-04-27,16.5625
1999-04-28,17.0
1999-04-29,17.375
1999-04-30,17.0
1999-05-03,18.0625
1999-05-04,17.125
1999-05-05,15.0
1999-05-06,15.5
1999-05-07,16.53125
1999-05-10,16.5
1999-05-11,16.46875
1999-05-12,15.9375
1999-05-13,16.0
1999-05-14,16.0
1999-05-17,15.5625
1999-05-18,16.09375
1999-05-19,14.625
1999-05-20,14.875
1999-05-21,15.5
1999-05-24,15.875
1999-05-25,16.0625
1999-05-26,15.9375
1999-05-27,15.875
1999-05-28,16.0
1999-06-01,15.5
1999-06-02,15.625
1999-06-03,16.0
1999-06-04,16.75
1999-06-07,17.5625
1999-06-08,17.5
1999-06-09,17.25
1999-06-10,17.4375
1999-06-11,16.9375
1999-06-14,15.8125
1999-06-15,15.375
1999-06-16,16.8125
1999-06-17,16.9375
1999-06-18,15.375
1999-06-21,14.34375
1999-06-22,14.125
1999-06-23,14.1875
1999-06-24,13.5625
1999-06-25,12.75
1999-06-28,12.6875
1999-06-29,12.6875
1999-06-30,12.5
1999-07-01,12.8125
1999-07-02,12.8125
1999-07-06,13.28125
1999-07-07,12.25
1999-07-08,11.1875
1999-07-09,11.25
1999-07-12,12.0
1999-07-13,12.25
1999-07-14,12.3125
1999-07-15,12.5
1999-07-16,12.75
1999-07-19,11.96875
1999-07-20,12.09375
1999-07-21,14.46875
1999-07-22,16.25
1999-07-23,15.28125
1999-07-26,15.5625
1999-07-27,15.25
1999-07-28,15.1875
1999-07-29,15.125
1999-07-30,15.4375
1999-08-02,14.78125
1999-08-03,14.9375
1999-08-04,14.875
1999-08-05,14.125
1999-08-06,14.8125
1999-08-09,14.75
1999-08-10,14.84375
1999-08-11,14.375
1999-08-12,15.09375
1999-08-13,15.0625
1999-08-16,15.75
1999-08-17,15.75
1999-08-18,15.4375
1999-08-19,15.53125
1999-08-20,15.65625
1999-08-23,15.0625
1999-08-24,15.1875
1999-08-25,15.0625
1999-08-26,16.0
1999-08-27,16.0
1999-08-30,16.0
1999-08-31,16.75
1999-09-01,16.875
1999-09-02,16.5625
1999-09-03,17.3125
1999-09-07,16.9375
1999-09-08,16.9375
1999-09-09,16.5
1999-09-10,17.0
1999-09-13,17.75
1999-09-14,18.375
1999-09-15,18.375
1999-09-16,17.8125
1999-09-17,18.0625
1999-09-20,17.78125
1999-09-21,18.125
1999-09-22,18.0
1999-09-23,17.84375
1999-09-24,17.875
1999-09-27,18.25
1999-09-28,18.4375
1999-09-29,18.875
1999-09-30,19.5
1999-10-01,19.0
1999-10-04,19.375
1999-10-05,19.84375
1999-10-06,20.09375
1999-10-07,19.25
1999-10-08,19.625
1999-10-11,20.0
1999-10-12,19.375
1999-10-13,19.46875
1999-10-14,19.9375
1999-10-15,20.0
1999-10-18,20.25
1999-10-19,20.8125
1999-10-20,20.5625
1999-10-21,19.84375
1999-10-22,20.5625
1999-10-25,22.0
1999-10-26,22.75
1999-10-27,22.0
1999-10-28,21.6875
1999-10-29,23.8125
1999-11-01,23.0
1999-11-02,20.75
1999-11-03,22.0
1999-11-04,23.5
1999-11-05,23.90625
1999-11-08,23.625
1999-11-09,23.5
1999-11-10,24.0
1999-11-11,24.0
1999-11-12,24.03125
1999-11-15,23.625
1999-11-16,24.4375
1999-11-17,24.375
1999-11-18,24.5
1999-11-19,24.3125
1999-11-22,24.0625
1999-11-23,24.0
1999-11-24,23.125
1999-11-26,23.5
1999-11-29,23.625
1999-11-30,24.3125
1999-12-01,26.125
1999-12-02,26.4375
1999-12-03,28.4375
1999-12-06,26.875
1999-12-07,27.5
1999-12-08,30.0
1999-12-09,36.0
1999-12-10,33.25
1999-12-13,32.3125
1999-12-14,32.0
1999-12-15,31.3125
1999-12-16,31.375
1999-12-17,34.84375
1999-12-20,34.0625
1999-12-21,33.9375
1999-12-22,33.0
1999-12-23,32.25
1999-12-27,32.03125
1999-12-28,32.3125
1999-12-29,34.0
1999-12-30,34.1875
1999-12-31,34.4375
2000-01-03,32.875
2000-01-04,31.8125
2000-01-05,31.3125
2000-01-06,30.0
2000-01-07,31.0
2000-01-10,30.6875
2000-01-11,30.0625
2000-01-12,28.5625
2000-01-13,28.34375
2000-01-14,28.125
2000-01-18,26.75
2000-01-19,26.0
2000-01-20,23.25
2000-01-21,24.5625
2000-01-24,28.75
2000-01-25,28.5
2000-01-26,30.6875
2000-01-27,31.6875
2000-01-28,31.0
2000-01-31,29.0
2000-02-01,29.0
2000-02-02,30.25
2000-02-03,33.125
2000-02-04,35.375
2000-02-07,36.625
2000-02-08,37.25
2000-02-09,35.625
2000-02-10,37.125
2000-02-11,41.0
2000-02-14,48.0
2000-02-15,48.25
2000-02-16,50.0
2000-02-17,49.375
2000-02-18,46.125
2000-02-22,39.5
2000-02-23,42.25
2000-02-24,47.625
2000-02-25,47.5
2000-02-28,48.75
2000-02-29,40.0
2000-03-01,44.75
2000-03-02,46.125
2000-03-03,49.5
2000-03-06,49.875
2000-03-07,49.875
2000-03-08,53.0
2000-03-09,56.5
2000-03-10,52.75
2000-03-13,54.25
2000-03-14,50.875
2000-03-15,63.125
2000-03-16,58.0
2000-03-17,61.0
2000-03-20,58.5
2000-03-21,47.0
2000-03-22,47.875
2000-03-23,47.0
2000-03-24,49.25
2000-03-27,49.1875
2000-03-28,51.0
2000-03-29,52.25
2000-03-30,51.0
2000-03-31,54.25
2000-04-03,52.0625
2000-04-04,49.875
2000-04-05,48.984375
2000-04-06,45.625
2000-04-07,44.5
2000-04-10,45.0
2000-04-11,43.625
2000-04-12,39.25
2000-04-13,36.375
2000-04-14,31.25
2000-04-17,33.25
2000-04-18,42.375
2000-04-19,44.0625
2000-04-20,40.875
2000-04-24,38.75
2000-04-25,42.875
2000-04-26,42.125
2000-04-27,45.6875
2000-04-28,45.3125
2000-05-01,45.5625
2000-05-02,49.0
2000-05-03,49.75
2000-05-04,60.0
2000-05-05,54.75
2000-05-08,58.25
2000-05-09,54.5
2000-05-10,55.0
2000-05-11,59.875
2000-05-12,55.0625
2000-05-15,62.0
2000-05-16,61.125
2000-05-17,59.25
2000-05-18,55.6875
2000-05-19,55.5
2000-05-22,48.875
2000-05-23,47.5
2000-05-24,50.125
2000-05-25,50.75
2000-05-26,51.0
2000-05-30,53.125
2000-05-31,59.9375
2000-06-01,57.625
2000-06-02,60.625
2000-06-05,60.0
2000-06-06,61.25
2000-06-07,61.75
2000-06-08,61.0
2000-06-09,61.0625
2000-06-12,60.75
2000-06-13,63.875
2000-06-14,68.3125
2000-06-15,74.875
2000-06-16,74.5
2000-06-19,79.0
2000-06-20,77.5
2000-06-21,75.0
2000-06-22,69.75
2000-06-23,66.0
2000-06-26,75.0
2000-06-27,67.875
2000-06-28,73.125
2000-06-29,72.125
2000-06-30,72.8125
2000-07-03,69.375
2000-07-05,69.875
2000-07-06,61.4375
2000-07-07,64.9375
2000-07-10,52.75
2000-07-11,51.484375
2000-07-12,57.0625
2000-07-13,60.0625
2000-07-14,63.875
2000-07-17,62.0
2000-07-18,52.375
2000-07-19,54.25
2000-07-20,54.75
2000-07-21,54.5
2000-07-24,53.9375
2000-07-25,56.125
2000-07-26,65.875
2000-07-27,63.5
2000-07-28,60.6875
2000-07-31,62.0625
2000-08-01,59.0
2000-08-02,64.0
2000-08-03,67.625
2000-08-04,69.5
2000-08-07,68.5
2000-08-08,65.625
2000-08-09,67.625
2000-08-10,66.0
2000-08-11,67.9375
2000-08-14,67.25
2000-08-15,64.25
2000-08-16,68.1875
2000-08-17,71.875
2000-08-18,68.0
2000-08-21,64.875
2000-08-22,67.0625
2000-08-23,66.875
2000-08-24,68.125
2000-08-25,67.5
2000-08-28,68.1875
2000-08-29,62.75
2000-08-30,61.75
2000-08-31,61.125
2000-09-01,59.0
2000-09-05,55.6875
2000-09-06,57.0
2000-09-07,58.5625
2000-09-08,53.625
2000-09-11,56.6875
2000-09-12,55.125
2000-09-13,57.375
2000-09-14,61.5
2000-09-15,59.9375
2000-09-18,57.75
2000-09-19,64.25
2000-09-20,58.75
2000-09-21,58.5
2000-09-22,62.875
2000-09-25,57.25
2000-09-26,60.25
2000-09-27,61.1875
2000-09-28,62.625
2000-09-29,63.75
2000-10-02,50.8125
2000-10-03,52.0
2000-10-04,49.0
2000-10-05,48.375
2000-10-06,47.25
2000-10-09,48.75
2000-10-10,45.5
2000-10-11,45.3125
2000-10-12,48.75
2000-10-13,48.0
2000-10-16,51.3125
2000-10-17,49.5
2000-10-18,48.75
2000-10-19,50.890625
2000-10-20,52.609375
2000-10-23,48.875
2000-10-24,48.75
2000-10-25,44.875
2000-10-26,41.4375
2000-10-27,41.1875
2000-10-30,38.0
2000-10-31,41.0625
2000-11-01,43.875
2000-11-02,43.0
2000-11-03,46.75
2000-11-06,46.0
2000-11-07,48.3125
2000-11-08,48.0625
2000-11-09,49.0
2000-11-10,44.125
2000-11-13,44.25
2000-11-14,45.5
2000-11-15,49.4375
2000-11-16,46.125
2000-11-17,44.8125
2000-11-20,45.0
2000-11-21,45.0
2000-11-22,42.6875
2000-11-24,42.625
2000-11-27,39.25
2000-11-28,38.5
2000-11-29,35.4375
2000-11-30,37.5625
2000-12-01,42.125
2000-12-04,40.5
2000-12-05,45.4375
2000-12-06,42.0625
2000-12-07,44.0
2000-12-08,47.625
2000-12-11,51.875
2000-12-12,53.0
2000-12-13,54.0
2000-12-14,48.625
2000-12-15,49.75
2000-12-18,51.4375
2000-12-19,51.0
2000-12-20,42.0
2000-12-21,43.75
2000-12-22,48.3125
2000-12-26,47.25
2000-12-27,54.5
2000-12-28,57.25
2000-12-29,50.0625
2001-01-02,45.5625
2001-01-03,53.8125
2001-01-04,50.4375
2001-01-05,47.0625
2001-01-08,45.5
2001-01-09,46.25
2001-01-10,45.375
2001-01-11,48.1875
2001-01-12,50.0
2001-01-16,49.5625
2001-01-17,47.0
2001-01-18,48.25
2001-01-19,46.9375
2001-01-22,46.125
2001-01-23,50.875
2001-01-24,51.0
2001-01-25,49.0625
2001-01-26,47.375
2001-01-29,50.75
2001-01-30,51.0
2001-01-31,58.0
2001-02-01,54.6875
2001-02-02,51.25
2001-02-05,49.125
2001-02-06,48.8125
2001-02-07,48.4375
2001-02-08,49.5
2001-02-09,48.25
2001-02-12,48.375
2001-02-13,48.125
2001-02-14,47.75
2001-02-15,46.75
2001-02-16,42.9375
2001-02-20,40.0
2001-02-21,38.5
2001-02-22,38.78125
2001-02-23,39.0625
2001-02-26,40.0
2001-02-27,39.5
2001-02-28,39.0625
2001-03-01,38.0
2001-03-02,36.8125
2001-03-05,29.9375
2001-03-06,30.375
2001-03-07,30.125
2001-03-08,27.96875
2001-03-09,26.9375
2001-03-12,24.25
2001-03-13,25.46875
2001-03-14,25.5
2001-03-15,24.1875
2001-03-16,23.0
2001-03-19,24.0625
2001-03-20,23.375
2001-03-21,25.25
2001-03-22,24.9375
2001-03-23,26.1875
2001-03-26,24.1875
2001-03-27,24.75
2001-03-28,24.25
2001-03-29,23.875
2001-03-30,23.8125
2001-04-02,24.0625
2001-04-03,23.3125
2001-04-04,22.8125
2001-04-05,24.0
2001-04-06,22.25
2001-04-09,22.780000686645508
2001-04-10,23.450000762939453
2001-04-11,22.959999084472656
2001-04-12,22.940000534057617
2001-04-16,21.799999237060547
2001-04-17,21.5
2001-04-18,25.579999923706055
2001-04-19,26.219999313354492
2001-04-20,25.809999465942383
2001-04-23,25.34000015258789
2001-04-24,18.959999084472656
2001-04-25,20.709999084472656
2001-04-26,22.059999465942383
2001-04-27,22.0
2001-04-30,23.110000610351562
2001-05-01,25.170000076293945
2001-05-02,27.700000762939453
2001-05-03,26.920000076293945
2001-05-04,26.59000015258789
2001-05-07,26.760000228881836
2001-05-08,25.799999237060547
2001-05-09,25.670000076293945
2001-05-10,25.889999389648438
2001-05-11,25.700000762939453
2001-05-14,24.6200008392334
2001-05-15,24.579999923706055
2001-05-16,25.100000381469727
2001-05-17,25.84000015258789
2001-05-18,25.450000762939453
2001-05-21,27.149999618530273
2001-05-22,26.5
2001-05-23,25.729999542236328
2001-05-24,25.049999237060547
2001-05-25,25.049999237060547
2001-05-29,24.940000534057617
2001-05-30,24.100000381469727
2001-05-31,23.40999984741211
2001-06-01,23.209999084472656
2001-06-04,23.299999237060547
2001-06-05,24.0
2001-06-06,24.510000228881836
2001-06-07,23.799999237060547
2001-06-08,23.309999465942383
2001-06-11,22.469999313354492
2001-06-12,22.850000381469727
2001-06-13,22.899999618530273
2001-06-14,21.649999618530273
2001-06-15,21.31999969482422
2001-06-18,20.729999542236328
2001-06-19,21.0
2001-06-20,22.489999771118164
2001-06-21,22.920000076293945
2001-06-22,21.81999969482422
2001-06-25,22.059999465942383
2001-06-26,21.5
2001-06-27,21.600000381469727
2001-06-28,22.1299991607666
2001-06-29,22.59000015258789
2001-07-02,21.3799991607666
2001-07-03,21.530000686645508
2001-07-05,20.950000762939453
2001-07-06,20.100000381469727
2001-07-09,19.389999389648438
2001-07-10,19.889999389648438
2001-07-11,19.399999618530273
2001-07-12,21.459999084472656
2001-07-13,20.950000762939453
2001-07-16,20.530000686645508
2001-07-17,20.440000534057617
2001-07-18,19.889999389648438
2001-07-19,20.110000610351562
2001-07-20,20.5
2001-07-23,19.959999084472656
2001-07-24,19.920000076293945
2001-07-25,20.049999237060547
2001-07-26,20.020000457763672
2001-07-27,20.100000381469727
2001-07-30,19.989999771118164
2001-07-31,19.950000762939453
2001-08-01,20.010000228881836
2001-08-02,20.200000762939453
2001-08-03,20.459999084472656
2001-08-06,20.5
2001-08-07,20.850000381469727
2001-08-08,20.510000228881836
2001-08-09,20.5
2001-08-10,20.110000610351562
2001-08-13,20.459999084472656
2001-08-14,20.479999542236328
2001-08-15,20.329999923706055
2001-08-16,20.670000076293945
2001-08-17,20.440000534057617
2001-08-20,19.920000076293945
2001-08-21,19.760000228881836
2001-08-22,20.700000762939453
2001-08-23,21.149999618530273
2001-08-24,20.540000915527344
2001-08-27,20.5
2001-08-28,19.920000076293945
2001-08-29,19.959999084472656
2001-08-30,19.829999923706055
2001-08-31,19.760000228881836
