,CRZNU
2021-03-24,9.800000190734863
2021-03-25,9.819999694824219
2021-03-26,9.989999771118164
2021-03-29,10.0
2021-03-30,9.90999984741211
2021-03-31,9.949999809265137
2021-04-01,9.899999618530273
2021-04-05,9.9399995803833
2021-04-06,9.979999542236328
2021-04-07,9.989999771118164
2021-04-08,10.020000457763672
2021-04-09,10.010000228881836
2021-04-12,10.010000228881836
2021-04-13,10.02400016784668
2021-04-14,10.03499984741211
2021-04-15,10.020000457763672
2021-04-16,10.03499984741211
2021-04-19,10.03499984741211
2021-04-20,10.0
2021-04-21,10.032999992370605
2021-04-22,10.0
2021-04-23,9.989999771118164
2021-04-26,10.010000228881836
2021-04-27,10.010000228881836
2021-04-28,10.010000228881836
2021-04-29,9.989999771118164
2021-04-30,9.991000175476074
2021-05-03,9.989999771118164
2021-05-04,9.989999771118164
2021-05-05,10.0
2021-05-06,9.994999885559082
2021-05-07,9.994999885559082
2021-05-10,10.0
2021-05-11,10.0
2021-05-12,10.0
2021-05-13,9.979999542236328
2021-05-14,10.0
