,BPYPN
2020-02-11,25.350000381469727
2020-02-12,25.3799991607666
2020-02-13,25.3799991607666
2020-02-14,25.3700008392334
2020-02-18,25.399999618530273
2020-02-19,25.479999542236328
2020-02-20,25.510000228881836
2020-02-21,25.56800079345703
2020-02-24,25.479999542236328
2020-02-25,25.34000015258789
2020-02-26,25.25
2020-02-27,24.959999084472656
2020-02-28,24.489999771118164
2020-03-02,24.239999771118164
2020-03-03,24.299999237060547
2020-03-04,24.719999313354492
2020-03-05,24.579999923706055
2020-03-06,24.100000381469727
2020-03-09,21.3799991607666
2020-03-10,21.809999465942383
2020-03-11,20.34000015258789
2020-03-12,15.420000076293945
2020-03-13,18.0
2020-03-16,14.0
2020-03-17,12.770000457763672
2020-03-18,8.0
2020-03-19,10.09000015258789
2020-03-20,10.0600004196167
2020-03-23,9.699999809265137
2020-03-24,12.460000038146973
2020-03-25,15.326000213623047
2020-03-26,16.450000762939453
2020-03-27,14.699999809265137
2020-03-30,14.970000267028809
2020-03-31,14.0
2020-04-01,13.050000190734863
2020-04-02,13.800000190734863
2020-04-03,14.0
2020-04-06,15.010000228881836
2020-04-07,16.149999618530273
2020-04-08,18.280000686645508
2020-04-09,19.3799991607666
2020-04-13,18.31999969482422
2020-04-14,19.049999237060547
2020-04-15,18.899999618530273
2020-04-16,19.06999969482422
2020-04-17,19.530000686645508
2020-04-20,19.200000762939453
2020-04-21,18.260000228881836
2020-04-22,18.55500030517578
2020-04-23,18.889999389648438
2020-04-24,18.780000686645508
2020-04-27,19.469999313354492
2020-04-28,19.719999313354492
2020-04-29,19.93000030517578
2020-04-30,20.0
2020-05-01,19.8799991607666
2020-05-04,19.860000610351562
2020-05-05,19.549999237060547
2020-05-06,19.0
2020-05-07,19.0
2020-05-08,19.600000381469727
2020-05-11,19.774999618530273
2020-05-12,19.329999923706055
2020-05-13,18.235000610351562
2020-05-14,17.25
2020-05-15,17.639999389648438
2020-05-18,17.84000015258789
2020-05-19,17.950000762939453
2020-05-20,17.65999984741211
2020-05-21,17.25
2020-05-22,17.559999465942383
2020-05-26,17.82900047302246
2020-05-27,18.5
2020-05-28,18.770000457763672
2020-05-29,18.0
2020-06-01,18.3700008392334
2020-06-02,18.1200008392334
2020-06-03,18.559999465942383
2020-06-04,18.770000457763672
2020-06-05,19.799999237060547
2020-06-08,20.170000076293945
2020-06-09,19.68000030517578
2020-06-10,19.350000381469727
2020-06-11,17.84000015258789
2020-06-12,17.68000030517578
2020-06-15,17.719999313354492
2020-06-16,18.139999389648438
2020-06-17,17.899999618530273
2020-06-18,17.899999618530273
2020-06-19,17.969999313354492
2020-06-22,17.6200008392334
2020-06-23,17.69499969482422
2020-06-24,17.059999465942383
2020-06-25,16.899999618530273
2020-06-26,16.229999542236328
2020-06-29,16.270000457763672
2020-06-30,16.559999465942383
2020-07-01,16.670000076293945
2020-07-02,17.049999237060547
2020-07-06,17.200000762939453
2020-07-07,16.979999542236328
2020-07-08,16.420000076293945
2020-07-09,16.950000762939453
2020-07-10,16.969999313354492
2020-07-13,16.950000762939453
2020-07-14,16.770000457763672
2020-07-15,16.989999771118164
2020-07-16,17.040000915527344
2020-07-17,17.065000534057617
2020-07-20,17.110000610351562
2020-07-21,17.079999923706055
2020-07-22,16.8799991607666
2020-07-23,16.969999313354492
2020-07-24,17.059999465942383
2020-07-27,17.375
2020-07-28,17.31999969482422
2020-07-29,17.899999618530273
2020-07-30,18.079999923706055
2020-07-31,18.0
2020-08-03,18.3700008392334
2020-08-04,18.110000610351562
2020-08-05,18.0
2020-08-06,17.850000381469727
2020-08-07,17.6299991607666
2020-08-10,18.030000686645508
2020-08-11,18.299999237060547
2020-08-12,19.43000030517578
2020-08-13,19.020000457763672
2020-08-14,19.399999618530273
2020-08-17,19.350000381469727
2020-08-18,19.850000381469727
2020-08-19,19.84000015258789
2020-08-20,19.719999313354492
2020-08-21,19.969999313354492
2020-08-24,20.309999465942383
2020-08-25,20.1200008392334
2020-08-26,20.020000457763672
2020-08-27,19.989999771118164
2020-08-28,19.950000762939453
2020-08-31,19.81999969482422
2020-09-01,19.649999618530273
2020-09-02,19.559999465942383
2020-09-03,19.43000030517578
2020-09-04,19.420000076293945
2020-09-08,19.25
