,BLPH
2015-02-13,134.5500030517578
2015-02-17,138.60000610351562
2015-02-18,138.60000610351562
2015-02-19,138.60000610351562
2015-02-20,141.3000030517578
2015-02-23,144.14999389648438
2015-02-24,140.85000610351562
2015-02-25,142.35000610351562
2015-02-26,171.75
2015-02-27,180.0
2015-03-02,179.10000610351562
2015-03-03,175.35000610351562
2015-03-04,169.8000030517578
2015-03-05,174.75
2015-03-06,174.60000610351562
2015-03-09,161.25
2015-03-10,148.0500030517578
2015-03-11,152.39999389648438
2015-03-12,153.3000030517578
2015-03-13,146.25
2015-03-16,168.0
2015-03-17,170.6999969482422
2015-03-18,166.0500030517578
2015-03-19,161.6999969482422
2015-03-20,166.5
2015-03-23,153.0
2015-03-24,154.35000610351562
2015-03-25,151.35000610351562
2015-03-26,155.39999389648438
2015-03-27,150.0
2015-03-30,140.25
2015-03-31,137.6999969482422
2015-04-01,140.1750030517578
2015-04-02,144.75
2015-04-06,146.25
2015-04-07,151.1999969482422
2015-04-08,151.8300018310547
2015-04-09,147.0
2015-04-10,149.10000610351562
2015-04-13,152.85000610351562
2015-04-14,154.8000030517578
2015-04-15,156.75
2015-04-16,157.64999389648438
2015-04-17,154.9499969482422
2015-04-20,155.5500030517578
2015-04-21,150.89999389648438
2015-04-22,149.625
2015-04-23,148.8000030517578
2015-04-24,142.9499969482422
2015-04-27,142.64999389648438
2015-04-28,127.5
2015-04-29,136.35000610351562
2015-04-30,135.0
2015-05-01,139.0500030517578
2015-05-04,128.6999969482422
2015-05-05,125.69999694824219
2015-05-06,128.85000610351562
2015-05-07,126.82499694824219
2015-05-08,128.25
2015-05-11,127.94999694824219
2015-05-12,129.75
2015-05-13,127.5
2015-05-14,127.80000305175781
2015-05-15,129.89999389648438
2015-05-18,123.0
2015-05-19,125.8499984741211
2015-05-20,128.25
2015-05-21,135.3000030517578
2015-05-22,135.75
2015-05-26,140.10000610351562
2015-05-27,140.85000610351562
2015-05-28,142.64999389648438
2015-05-29,139.1999969482422
2015-06-01,138.75
2015-06-02,140.10000610351562
2015-06-03,138.75
2015-06-04,133.35000610351562
2015-06-05,133.64999389648438
2015-06-08,137.6999969482422
2015-06-09,136.9499969482422
2015-06-10,138.14999389648438
2015-06-11,140.85000610351562
2015-06-12,136.64999389648438
2015-06-15,134.6999969482422
2015-06-16,135.14999389648438
2015-06-17,133.64999389648438
2015-06-18,127.05000305175781
2015-06-19,113.4000015258789
2015-06-22,113.4000015258789
2015-06-23,118.94999694824219
2015-06-24,119.55000305175781
2015-06-25,116.8499984741211
