,CME
2002-12-06,8.579999923706055
2002-12-09,8.404000282287598
2002-12-10,8.550000190734863
2002-12-11,9.01200008392334
2002-12-12,8.781999588012695
2002-12-13,8.729999542236328
2002-12-16,8.619999885559082
2002-12-17,8.654000282287598
2002-12-18,8.534000396728516
2002-12-19,8.460000038146973
2002-12-20,8.890000343322754
2002-12-23,8.680000305175781
2002-12-24,8.609999656677246
2002-12-26,8.520000457763672
2002-12-27,8.399999618530273
2002-12-30,8.46399974822998
2002-12-31,8.732000350952148
2003-01-02,8.744000434875488
2003-01-03,9.15999984741211
2003-01-06,9.619999885559082
2003-01-07,9.604000091552734
2003-01-08,9.60200023651123
2003-01-09,9.8100004196167
2003-01-10,9.79800033569336
2003-01-13,9.923999786376953
2003-01-14,9.819999694824219
2003-01-15,9.40999984741211
2003-01-16,9.076000213623047
2003-01-17,9.003999710083008
2003-01-21,8.890000343322754
2003-01-22,8.829999923706055
2003-01-23,9.086000442504883
2003-01-24,9.39799976348877
2003-01-27,9.25
2003-01-28,9.20199966430664
2003-01-29,9.300000190734863
2003-01-30,8.84000015258789
2003-01-31,8.5
2003-02-03,8.470000267028809
2003-02-04,8.399999618530273
2003-02-05,8.347999572753906
2003-02-06,8.300000190734863
2003-02-07,8.42199993133545
2003-02-10,8.600000381469727
2003-02-11,8.581999778747559
2003-02-12,8.581999778747559
2003-02-13,8.699999809265137
2003-02-14,8.899999618530273
2003-02-18,8.904000282287598
2003-02-19,8.954000473022461
2003-02-20,9.005999565124512
2003-02-21,9.071999549865723
2003-02-24,9.107999801635742
2003-02-25,9.144000053405762
2003-02-26,9.067999839782715
2003-02-27,8.65999984741211
2003-02-28,8.609999656677246
2003-03-03,8.62600040435791
2003-03-04,8.564000129699707
2003-03-05,8.449999809265137
2003-03-06,8.468000411987305
2003-03-07,8.465999603271484
2003-03-10,8.472000122070312
2003-03-11,8.454000473022461
2003-03-12,8.47599983215332
2003-03-13,8.503999710083008
2003-03-14,8.640000343322754
2003-03-17,9.1899995803833
2003-03-18,9.210000038146973
2003-03-19,9.390000343322754
2003-03-20,9.109999656677246
2003-03-21,9.420000076293945
2003-03-24,9.600000381469727
2003-03-25,9.685999870300293
2003-03-26,9.699999809265137
2003-03-27,9.779999732971191
2003-03-28,9.729999542236328
2003-03-31,9.630000114440918
2003-04-01,9.593999862670898
2003-04-02,9.631999969482422
2003-04-03,9.656000137329102
2003-04-04,9.680000305175781
2003-04-07,9.34000015258789
2003-04-08,9.291999816894531
2003-04-09,9.350000381469727
2003-04-10,9.423999786376953
2003-04-11,9.354000091552734
2003-04-14,9.501999855041504
2003-04-15,9.5
2003-04-16,9.522000312805176
2003-04-17,9.807999610900879
2003-04-21,9.744000434875488
2003-04-22,9.958000183105469
2003-04-23,10.100000381469727
2003-04-24,10.319999694824219
2003-04-25,10.489999771118164
2003-04-28,11.079999923706055
2003-04-29,11.130000114440918
2003-04-30,11.307999610900879
2003-05-01,11.156000137329102
2003-05-02,11.399999618530273
2003-05-05,11.359999656677246
2003-05-06,11.300000190734863
2003-05-07,11.119999885559082
2003-05-08,11.076000213623047
2003-05-09,11.144000053405762
2003-05-12,11.34000015258789
2003-05-13,11.720000267028809
2003-05-14,11.697999954223633
2003-05-15,11.723999977111816
2003-05-16,12.0
2003-05-19,11.710000038146973
2003-05-20,11.708000183105469
2003-05-21,11.833999633789062
2003-05-22,11.9399995803833
2003-05-23,12.03600025177002
2003-05-27,11.906000137329102
2003-05-28,12.09000015258789
2003-05-29,12.04800033569336
2003-05-30,12.295999526977539
2003-06-02,12.40999984741211
2003-06-03,12.46399974822998
2003-06-04,12.640000343322754
2003-06-05,12.60200023651123
2003-06-06,12.199999809265137
2003-06-09,12.399999618530273
2003-06-10,12.4399995803833
2003-06-11,12.470000267028809
2003-06-12,12.82800006866455
2003-06-13,12.904000282287598
2003-06-16,13.12399959564209
2003-06-17,13.880000114440918
2003-06-18,13.920000076293945
2003-06-19,13.600000381469727
2003-06-20,13.253999710083008
2003-06-23,13.20199966430664
2003-06-24,13.694000244140625
2003-06-25,13.402000427246094
2003-06-26,13.829999923706055
2003-06-27,13.920000076293945
2003-06-30,13.925999641418457
2003-07-01,14.913999557495117
2003-07-02,14.930000305175781
2003-07-03,14.770000457763672
2003-07-07,14.850000381469727
2003-07-08,14.881999969482422
2003-07-09,15.303999900817871
2003-07-10,15.5
2003-07-11,15.142000198364258
2003-07-14,15.470000267028809
2003-07-15,15.565999984741211
2003-07-16,15.300000190734863
2003-07-17,14.890000343322754
2003-07-18,14.960000038146973
2003-07-21,14.723999977111816
2003-07-22,15.543999671936035
2003-07-23,15.795999526977539
2003-07-24,15.182000160217285
2003-07-25,15.697999954223633
2003-07-28,15.579999923706055
2003-07-29,15.270000457763672
2003-07-30,15.076000213623047
2003-07-31,14.729999542236328
2003-08-01,14.369999885559082
2003-08-04,14.630000114440918
2003-08-05,14.935999870300293
2003-08-06,14.996000289916992
2003-08-07,15.010000228881836
2003-08-08,15.010000228881836
2003-08-11,15.029999732971191
2003-08-12,15.100000381469727
2003-08-13,15.395999908447266
2003-08-14,15.642000198364258
2003-08-15,15.699999809265137
2003-08-18,15.583999633789062
2003-08-19,14.319999694824219
2003-08-20,14.680000305175781
2003-08-21,14.380000114440918
2003-08-22,13.649999618530273
2003-08-25,13.281999588012695
2003-08-26,14.062000274658203
2003-08-27,14.569999694824219
2003-08-28,14.28600025177002
2003-08-29,14.07800006866455
2003-09-02,13.920000076293945
2003-09-03,14.196000099182129
2003-09-04,14.187999725341797
2003-09-05,14.069999694824219
2003-09-08,14.432000160217285
2003-09-09,14.416000366210938
2003-09-10,14.321999549865723
2003-09-11,14.289999961853027
2003-09-12,14.315999984741211
2003-09-15,14.260000228881836
2003-09-16,14.300000190734863
2003-09-17,14.472000122070312
2003-09-18,14.75
2003-09-19,14.670000076293945
2003-09-22,14.496000289916992
2003-09-23,14.050000190734863
2003-09-24,13.935999870300293
2003-09-25,13.696000099182129
2003-09-26,13.295999526977539
2003-09-29,13.293999671936035
2003-09-30,13.76200008392334
2003-10-01,13.8100004196167
2003-10-02,14.204000473022461
2003-10-03,14.350000381469727
2003-10-06,14.581999778747559
2003-10-07,14.579999923706055
2003-10-08,14.670000076293945
2003-10-09,14.510000228881836
2003-10-10,14.522000312805176
2003-10-13,14.9399995803833
2003-10-14,14.90999984741211
2003-10-15,14.869999885559082
2003-10-16,14.685999870300293
2003-10-17,14.119999885559082
2003-10-20,13.784000396728516
2003-10-21,14.001999855041504
2003-10-22,13.444000244140625
2003-10-23,13.074000358581543
2003-10-24,13.550000190734863
2003-10-27,13.600000381469727
2003-10-28,13.600000381469727
2003-10-29,13.795999526977539
2003-10-30,13.468000411987305
2003-10-31,13.59000015258789
2003-11-03,13.600000381469727
2003-11-04,13.199999809265137
2003-11-05,13.260000228881836
2003-11-06,13.270000457763672
2003-11-07,13.484000205993652
2003-11-10,13.510000228881836
2003-11-11,13.649999618530273
2003-11-12,13.86400032043457
2003-11-13,13.454000473022461
2003-11-14,13.529999732971191
2003-11-17,13.170000076293945
2003-11-18,13.270000457763672
2003-11-19,13.642000198364258
2003-11-20,13.579999923706055
2003-11-21,13.576000213623047
2003-11-24,13.727999687194824
2003-11-25,13.6899995803833
2003-11-26,13.699999809265137
2003-11-28,13.694000244140625
2003-12-01,13.795999526977539
2003-12-02,13.859999656677246
2003-12-03,13.670000076293945
