,ALKT
2021-04-14,43.0
2021-04-15,41.630001068115234
2021-04-16,42.130001068115234
2021-04-19,41.56999969482422
2021-04-20,41.439998626708984
2021-04-21,42.04999923706055
2021-04-22,44.2400016784668
2021-04-23,44.630001068115234
2021-04-26,45.83000183105469
2021-04-27,46.709999084472656
2021-04-28,47.0
2021-04-29,47.66999816894531
2021-04-30,47.689998626708984
2021-05-03,46.459999084472656
2021-05-04,42.5
2021-05-05,42.709999084472656
2021-05-06,41.93000030517578
2021-05-07,38.650001525878906
2021-05-10,38.91999816894531
2021-05-11,36.029998779296875
2021-05-12,32.650001525878906
2021-05-13,31.020000457763672
2021-05-14,29.239999771118164
