,CLSK
2021-02-01,25.079999923706055
2021-02-02,26.270000457763672
2021-02-03,29.920000076293945
2021-02-04,30.239999771118164
2021-02-05,32.06999969482422
2021-02-08,34.66999816894531
2021-02-09,34.779998779296875
2021-02-10,30.920000076293945
2021-02-11,29.270000457763672
2021-02-12,28.229999542236328
2021-02-16,29.030000686645508
2021-02-17,30.270000457763672
2021-02-18,38.099998474121094
2021-02-19,36.310001373291016
2021-02-22,29.979999542236328
2021-02-23,26.40999984741211
2021-02-24,27.729999542236328
2021-02-25,24.65999984741211
2021-02-26,23.93000030517578
2021-03-01,28.459999084472656
2021-03-02,29.200000762939453
2021-03-03,28.290000915527344
2021-03-04,22.719999313354492
2021-03-05,22.09000015258789
2021-03-08,21.209999084472656
2021-03-09,26.68000030517578
2021-03-10,26.93000030517578
2021-03-11,30.6200008392334
2021-03-12,30.860000610351562
2021-03-15,29.34000015258789
2021-03-16,22.68000030517578
2021-03-17,23.75
2021-03-18,23.200000762939453
2021-03-19,24.399999618530273
2021-03-22,23.200000762939453
2021-03-23,21.790000915527344
2021-03-24,19.540000915527344
2021-03-25,20.309999465942383
2021-03-26,21.030000686645508
2021-03-29,20.860000610351562
2021-03-30,21.610000610351562
2021-03-31,23.81999969482422
2021-04-01,22.979999542236328
2021-04-05,22.760000228881836
2021-04-06,22.760000228881836
2021-04-07,20.684999465942383
2021-04-08,21.100000381469727
2021-04-09,22.09000015258789
2021-04-12,20.59000015258789
2021-04-13,21.729999542236328
2021-04-14,21.329999923706055
2021-04-15,21.059999465942383
2021-04-16,18.940000534057617
2021-04-19,17.56999969482422
2021-04-20,17.020000457763672
2021-04-21,18.610000610351562
2021-04-22,18.420000076293945
2021-04-23,19.90999984741211
2021-04-26,21.829999923706055
2021-04-27,22.15999984741211
2021-04-28,22.889999389648438
2021-04-29,21.799999237060547
2021-04-30,21.549999237060547
2021-05-03,20.75
2021-05-04,19.75
2021-05-05,19.15999984741211
2021-05-06,18.229999542236328
2021-05-07,19.299999237060547
2021-05-10,16.229999542236328
2021-05-11,15.760000228881836
2021-05-12,14.729999542236328
2021-05-13,13.84000015258789
2021-05-14,15.6899995803833
