,AZN
1993-05-12,5.0416669845581055
1993-05-13,4.8541669845581055
1993-05-14,4.7916669845581055
1993-05-17,4.8958330154418945
1993-05-18,4.8541669845581055
1993-05-19,4.875
1993-05-20,4.875
1993-05-21,4.875
1993-05-24,4.8333330154418945
1993-05-25,4.8125
1993-05-26,4.875
1993-05-27,4.9166669845581055
1993-05-28,4.8958330154418945
1993-06-01,4.9583330154418945
1993-06-02,4.8958330154418945
1993-06-03,4.7708330154418945
1993-06-04,4.7083330154418945
1993-06-07,4.5833330154418945
1993-06-08,4.5833330154418945
1993-06-09,4.6666669845581055
1993-06-10,4.6458330154418945
1993-06-11,4.6875
1993-06-14,4.6875
1993-06-15,4.6458330154418945
1993-06-16,4.6666669845581055
1993-06-17,4.6666669845581055
1993-06-18,4.5833330154418945
1993-06-21,4.5625
1993-06-22,4.625
1993-06-23,4.5625
1993-06-24,4.5625
1993-06-25,4.6041669845581055
1993-06-28,4.625
1993-06-29,4.6458330154418945
1993-06-30,4.6875
1993-07-01,4.7291669845581055
1993-07-02,4.6875
1993-07-06,4.625
1993-07-07,4.5833330154418945
1993-07-08,4.5833330154418945
1993-07-09,4.5416669845581055
1993-07-12,4.5625
1993-07-13,4.6041669845581055
1993-07-14,4.6875
1993-07-15,4.6458330154418945
1993-07-16,4.5625
1993-07-19,4.5
1993-07-20,4.5208330154418945
1993-07-21,4.5
1993-07-22,4.4791669845581055
1993-07-23,4.6041669845581055
1993-07-26,4.625
1993-07-27,4.625
1993-07-28,4.6458330154418945
1993-07-29,4.7708330154418945
1993-07-30,4.7083330154418945
1993-08-02,4.7083330154418945
1993-08-03,4.8333330154418945
1993-08-04,4.7916669845581055
1993-08-05,4.8125
1993-08-06,4.875
1993-08-09,4.8541669845581055
1993-08-10,4.7708330154418945
1993-08-11,4.7708330154418945
1993-08-12,4.75
1993-08-13,4.8541669845581055
1993-08-16,4.8541669845581055
1993-08-17,4.9791669845581055
1993-08-18,5.2083330154418945
1993-08-19,5.25
