,BHSE
2020-12-17,9.899999618530273
2020-12-18,9.899999618530273
2020-12-21,9.899999618530273
2020-12-22,9.899999618530273
2020-12-23,9.918000221252441
2020-12-24,9.975000381469727
2020-12-28,10.079999923706055
2020-12-29,10.739999771118164
2020-12-30,10.4399995803833
2020-12-31,10.1899995803833
2021-01-04,10.0600004196167
2021-01-05,10.109999656677246
2021-01-06,10.149999618530273
2021-01-07,10.180000305175781
2021-01-08,10.229999542236328
2021-01-11,10.289999961853027
2021-01-12,10.210000038146973
2021-01-13,10.220000267028809
2021-01-14,10.270000457763672
2021-01-15,10.210000038146973
2021-01-19,10.220000267028809
2021-01-20,10.199999809265137
2021-01-21,10.130000114440918
2021-01-22,10.1899995803833
2021-01-25,10.15999984741211
2021-01-26,10.130000114440918
2021-01-27,10.020000457763672
2021-01-28,10.109999656677246
2021-01-29,10.079999923706055
2021-02-01,10.170000076293945
2021-02-02,10.220000267028809
2021-02-03,10.1899995803833
2021-02-04,10.239999771118164
2021-02-05,10.140000343322754
2021-02-08,10.15999984741211
2021-02-09,10.15999984741211
2021-02-10,10.149999618530273
2021-02-11,10.15999984741211
2021-02-12,10.1899995803833
2021-02-16,10.1899995803833
2021-02-17,10.270000457763672
2021-02-18,10.229999542236328
2021-02-19,10.270000457763672
2021-02-22,10.319999694824219
2021-02-23,10.270000457763672
2021-02-24,10.220000267028809
2021-02-25,10.220000267028809
2021-02-26,10.199999809265137
2021-03-01,10.170000076293945
2021-03-02,9.960000038146973
2021-03-03,10.0
2021-03-04,9.899999618530273
2021-03-05,9.920000076293945
2021-03-08,9.930000305175781
2021-03-09,9.899999618530273
2021-03-10,9.890000343322754
2021-03-11,9.869999885559082
2021-03-12,9.899999618530273
2021-03-15,9.899999618530273
2021-03-16,9.899999618530273
2021-03-17,9.989999771118164
2021-03-18,9.949999809265137
2021-03-19,9.9399995803833
2021-03-22,9.859999656677246
2021-03-23,9.84000015258789
2021-03-24,9.760000228881836
2021-03-25,9.760000228881836
2021-03-26,9.970000267028809
2021-03-29,9.819999694824219
2021-03-30,9.859999656677246
2021-03-31,9.770000457763672
2021-04-01,9.859999656677246
2021-04-05,9.875
2021-04-06,9.869999885559082
2021-04-07,9.949999809265137
2021-04-08,9.979999542236328
2021-04-09,9.99899959564209
2021-04-12,9.930000305175781
2021-04-13,9.949999809265137
2021-04-14,9.930000305175781
2021-04-15,9.899999618530273
2021-04-16,9.899999618530273
2021-04-19,9.90999984741211
2021-04-20,9.90999984741211
2021-04-21,9.90999984741211
2021-04-22,9.930000305175781
2021-04-23,9.869999885559082
2021-04-26,9.925000190734863
2021-04-27,9.890000343322754
2021-04-28,9.949999809265137
2021-04-29,9.899999618530273
2021-04-30,9.90999984741211
2021-05-03,9.899999618530273
2021-05-04,9.930000305175781
2021-05-05,9.899999618530273
2021-05-06,9.899999618530273
2021-05-07,9.899999618530273
2021-05-10,9.880000114440918
2021-05-11,9.869999885559082
2021-05-12,9.850000381469727
2021-05-13,9.899999618530273
2021-05-14,9.899999618530273
