,CRSA
2019-04-18,9.699999809265137
2019-04-22,9.699999809265137
2019-04-23,9.699999809265137
2019-04-24,9.699999809265137
2019-04-25,9.699999809265137
2019-04-26,9.699999809265137
2019-04-29,9.699999809265137
2019-04-30,9.699999809265137
2019-05-01,9.699999809265137
2019-05-02,9.699999809265137
2019-05-03,9.699999809265137
2019-05-06,9.699999809265137
2019-05-07,9.696999549865723
2019-05-08,9.6899995803833
2019-05-09,9.6899995803833
2019-05-10,9.6899995803833
2019-05-13,9.699999809265137
2019-05-14,9.699999809265137
2019-05-15,9.699999809265137
2019-05-16,9.699999809265137
2019-05-17,9.6899995803833
2019-05-20,9.6899995803833
2019-05-21,9.699999809265137
2019-05-22,9.699999809265137
2019-05-23,9.699999809265137
2019-05-24,9.699999809265137
2019-05-28,9.699999809265137
2019-05-29,9.699999809265137
2019-05-30,9.699999809265137
2019-05-31,9.699999809265137
2019-06-03,9.699999809265137
2019-06-04,9.699999809265137
2019-06-05,9.699999809265137
2019-06-06,9.699999809265137
2019-06-07,9.720000267028809
2019-06-10,9.699999809265137
2019-06-11,9.710000038146973
2019-06-12,9.710000038146973
2019-06-13,9.710000038146973
2019-06-14,9.770000457763672
2019-06-17,9.770000457763672
2019-06-18,9.779999732971191
2019-06-19,9.779999732971191
2019-06-20,9.779999732971191
2019-06-21,9.800000190734863
2019-06-24,9.819999694824219
2019-06-25,9.819999694824219
2019-06-26,9.800000190734863
2019-06-27,9.829999923706055
2019-06-28,9.75
2019-07-01,9.75
2019-07-02,9.770000457763672
2019-07-03,9.800000190734863
2019-07-05,9.800000190734863
2019-07-08,9.760000228881836
2019-07-09,9.760000228881836
2019-07-10,9.800000190734863
2019-07-11,9.800000190734863
2019-07-12,9.800000190734863
2019-07-15,9.800000190734863
2019-07-16,9.779999732971191
2019-07-17,9.779999732971191
2019-07-18,9.779999732971191
2019-07-19,9.779999732971191
2019-07-22,9.779999732971191
2019-07-23,9.800000190734863
2019-07-24,9.800000190734863
2019-07-25,9.800000190734863
2019-07-26,9.800000190734863
2019-07-29,9.800000190734863
2019-07-30,9.800000190734863
2019-07-31,9.800000190734863
2019-08-01,9.800000190734863
2019-08-02,9.800000190734863
2019-08-05,9.800000190734863
2019-08-06,9.770000457763672
2019-08-07,9.770000457763672
2019-08-08,9.770000457763672
2019-08-09,9.800000190734863
2019-08-12,9.800000190734863
2019-08-13,9.800000190734863
2019-08-14,9.850000381469727
2019-08-15,9.850000381469727
2019-08-16,9.770000457763672
2019-08-19,9.8100004196167
2019-08-20,9.850000381469727
2019-08-21,9.850000381469727
2019-08-22,9.850000381469727
2019-08-23,9.850000381469727
2019-08-26,9.850000381469727
2019-08-27,9.850000381469727
2019-08-28,9.850000381469727
2019-08-29,9.850000381469727
2019-08-30,9.850000381469727
2019-09-03,9.850000381469727
2019-09-04,9.850000381469727
2019-09-05,9.850000381469727
2019-09-06,9.850000381469727
2019-09-09,9.850000381469727
2019-09-10,9.850000381469727
2019-09-11,9.829999923706055
2019-09-12,9.850000381469727
2019-09-13,9.84000015258789
2019-09-16,9.84000015258789
2019-09-17,9.829999923706055
2019-09-18,9.829999923706055
2019-09-19,9.829999923706055
2019-09-20,9.829999923706055
2019-09-23,9.850000381469727
2019-09-24,9.850000381469727
2019-09-25,9.850000381469727
2019-09-26,9.850000381469727
2019-09-27,9.899999618530273
2019-09-30,9.899999618530273
2019-10-01,9.899999618530273
2019-10-02,9.87600040435791
2019-10-03,9.87600040435791
2019-10-04,9.87600040435791
2019-10-07,9.829999923706055
2019-10-08,9.829999923706055
2019-10-09,9.829999923706055
2019-10-10,9.829999923706055
2019-10-11,9.829999923706055
2019-10-14,9.829999923706055
2019-10-15,9.829999923706055
2019-10-16,9.829999923706055
2019-10-17,9.859999656677246
2019-10-18,9.859999656677246
2019-10-21,9.859999656677246
2019-10-22,9.859999656677246
2019-10-23,9.850000381469727
2019-10-24,9.899999618530273
2019-10-25,9.920000076293945
2019-10-28,9.899999618530273
2019-10-29,9.899999618530273
2019-10-30,9.899999618530273
2019-10-31,9.90999984741211
2019-11-01,9.90999984741211
2019-11-04,9.899999618530273
2019-11-05,9.90999984741211
2019-11-06,9.880000114440918
2019-11-07,9.880000114440918
2019-11-08,9.880000114440918
2019-11-11,9.899999618530273
2019-11-12,9.899999618530273
2019-11-13,9.899999618530273
2019-11-14,9.90999984741211
2019-11-15,9.899999618530273
2019-11-18,9.90999984741211
2019-11-19,9.90999984741211
2019-11-20,9.90999984741211
2019-11-21,9.90999984741211
2019-11-22,9.920000076293945
2019-11-25,9.859999656677246
2019-11-26,9.859999656677246
2019-11-27,9.859999656677246
2019-11-29,9.859999656677246
2019-12-02,9.9399995803833
2019-12-03,9.9399995803833
2019-12-04,9.9399995803833
2019-12-05,9.9399995803833
2019-12-06,9.9399995803833
2019-12-09,9.9399995803833
2019-12-10,9.949999809265137
2019-12-11,9.949999809265137
2019-12-12,9.970000267028809
2019-12-13,9.970000267028809
2019-12-16,9.979999542236328
2019-12-17,10.0
2019-12-18,10.0
2019-12-19,10.020000457763672
2019-12-20,10.020000457763672
2019-12-23,10.020000457763672
2019-12-24,10.020000457763672
2019-12-26,10.020000457763672
2019-12-27,10.020000457763672
2019-12-30,10.020000457763672
2019-12-31,10.020000457763672
2020-01-02,10.0
2020-01-03,10.0
2020-01-06,10.0
2020-01-07,10.0
2020-01-08,10.0
2020-01-09,10.010000228881836
2020-01-10,10.010000228881836
2020-01-13,10.02400016784668
2020-01-14,10.029999732971191
2020-01-15,10.029999732971191
2020-01-16,10.039999961853027
