,ECHO
2009-10-02,14.0600004196167
2009-10-05,14.0
2009-10-06,14.0
2009-10-07,13.510000228881836
2009-10-08,12.979999542236328
2009-10-09,12.869999885559082
2009-10-12,12.380000114440918
2009-10-13,12.100000381469727
2009-10-14,12.050000190734863
2009-10-15,12.270000457763672
2009-10-16,12.5
2009-10-19,12.609999656677246
2009-10-20,12.619999885559082
2009-10-21,12.680000305175781
2009-10-22,12.880000114440918
2009-10-23,12.869999885559082
2009-10-26,12.829999923706055
2009-10-27,12.960000038146973
2009-10-28,12.899999618530273
2009-10-29,13.119999885559082
2009-10-30,13.050000190734863
2009-11-02,13.239999771118164
2009-11-03,13.649999618530273
2009-11-04,14.180000305175781
2009-11-05,14.270000457763672
2009-11-06,14.0600004196167
2009-11-09,14.359999656677246
2009-11-10,14.279999732971191
2009-11-11,15.180000305175781
2009-11-12,14.600000381469727
2009-11-13,14.460000038146973
2009-11-16,13.449999809265137
2009-11-17,13.210000038146973
2009-11-18,12.529999732971191
2009-11-19,12.680000305175781
2009-11-20,12.760000228881836
2009-11-23,13.069999694824219
2009-11-24,12.800000190734863
2009-11-25,12.800000190734863
2009-11-27,12.6899995803833
2009-11-30,12.680000305175781
2009-12-01,12.989999771118164
2009-12-02,12.890000343322754
2009-12-03,13.130000114440918
2009-12-04,13.949999809265137
2009-12-07,13.770000457763672
2009-12-08,13.380000114440918
2009-12-09,13.399999618530273
2009-12-10,13.210000038146973
2009-12-11,13.3100004196167
2009-12-14,12.9399995803833
2009-12-15,13.109999656677246
2009-12-16,12.350000381469727
2009-12-17,12.079999923706055
2009-12-18,12.399999618530273
2009-12-21,12.850000381469727
2009-12-22,12.510000228881836
2009-12-23,12.5600004196167
2009-12-24,12.579999923706055
2009-12-28,12.489999771118164
2009-12-29,12.4399995803833
2009-12-30,12.649999618530273
2009-12-31,12.6899995803833
2010-01-04,12.390000343322754
2010-01-05,12.319999694824219
2010-01-06,12.930000305175781
2010-01-07,13.65999984741211
2010-01-08,13.600000381469727
2010-01-11,13.460000038146973
2010-01-12,13.300000190734863
2010-01-13,13.3100004196167
2010-01-14,13.300000190734863
2010-01-15,13.199999809265137
2010-01-19,13.100000381469727
2010-01-20,13.050000190734863
2010-01-21,12.850000381469727
2010-01-22,12.529999732971191
2010-01-25,12.609999656677246
2010-01-26,12.369999885559082
2010-01-27,12.510000228881836
2010-01-28,12.239999771118164
2010-01-29,12.069999694824219
2010-02-01,12.100000381469727
2010-02-02,11.899999618530273
2010-02-03,11.279999732971191
2010-02-04,10.789999961853027
2010-02-05,10.550000190734863
2010-02-08,10.670000076293945
2010-02-09,10.619999885559082
2010-02-10,10.3100004196167
2010-02-11,10.65999984741211
2010-02-12,10.489999771118164
2010-02-16,10.489999771118164
2010-02-17,10.539999961853027
2010-02-18,10.899999618530273
2010-02-19,11.359999656677246
2010-02-22,11.40999984741211
2010-02-23,11.020000457763672
2010-02-24,10.989999771118164
2010-02-25,11.149999618530273
2010-02-26,11.3100004196167
2010-03-01,11.8100004196167
2010-03-02,12.350000381469727
2010-03-03,12.510000228881836
2010-03-04,12.520000457763672
2010-03-05,12.760000228881836
2010-03-08,12.529999732971191
2010-03-09,12.65999984741211
2010-03-10,12.789999961853027
2010-03-11,12.869999885559082
2010-03-12,12.859999656677246
2010-03-15,12.6899995803833
2010-03-16,12.8100004196167
2010-03-17,12.869999885559082
2010-03-18,12.800000190734863
2010-03-19,12.859999656677246
2010-03-22,12.989999771118164
2010-03-23,13.1899995803833
2010-03-24,13.260000228881836
2010-03-25,13.100000381469727
2010-03-26,13.010000228881836
2010-03-29,13.25
2010-03-30,13.399999618530273
2010-03-31,12.90999984741211
2010-04-01,12.75
2010-04-05,13.0
2010-04-06,13.220000267028809
2010-04-07,13.050000190734863
2010-04-08,13.239999771118164
2010-04-09,13.319999694824219
2010-04-12,13.4399995803833
2010-04-13,13.65999984741211
2010-04-14,13.550000190734863
2010-04-15,13.569999694824219
2010-04-16,13.350000381469727
2010-04-19,12.949999809265137
2010-04-20,13.050000190734863
2010-04-21,13.100000381469727
2010-04-22,13.149999618530273
2010-04-23,13.699999809265137
2010-04-26,13.6899995803833
2010-04-27,13.460000038146973
2010-04-28,13.369999885559082
2010-04-29,13.539999961853027
2010-04-30,13.489999771118164
2010-05-03,13.600000381469727
2010-05-04,13.539999961853027
2010-05-05,13.420000076293945
2010-05-06,13.050000190734863
2010-05-07,13.180000305175781
2010-05-10,13.59000015258789
2010-05-11,13.510000228881836
2010-05-12,13.279999732971191
2010-05-13,13.279999732971191
2010-05-14,13.069999694824219
2010-05-17,13.3100004196167
2010-05-18,13.279999732971191
2010-05-19,13.5600004196167
2010-05-20,13.15999984741211
2010-05-21,13.180000305175781
2010-05-24,12.90999984741211
2010-05-25,13.0
2010-05-26,13.0
2010-05-27,13.279999732971191
2010-05-28,13.119999885559082
2010-06-01,13.020000457763672
2010-06-02,13.319999694824219
2010-06-03,13.359999656677246
2010-06-04,13.050000190734863
2010-06-07,12.850000381469727
2010-06-08,12.289999961853027
2010-06-09,12.180000305175781
2010-06-10,11.979999542236328
2010-06-11,11.960000038146973
2010-06-14,12.380000114440918
2010-06-15,12.789999961853027
2010-06-16,12.949999809265137
2010-06-17,13.020000457763672
2010-06-18,13.100000381469727
2010-06-21,13.329999923706055
2010-06-22,13.25
2010-06-23,13.029999732971191
2010-06-24,12.859999656677246
2010-06-25,13.3100004196167
2010-06-28,13.270000457763672
2010-06-29,12.529999732971191
2010-06-30,12.210000038146973
2010-07-01,12.649999618530273
2010-07-02,12.649999618530273
2010-07-06,12.84000015258789
2010-07-07,13.279999732971191
2010-07-08,13.430000305175781
2010-07-09,13.300000190734863
2010-07-12,13.130000114440918
2010-07-13,13.449999809265137
2010-07-14,13.4399995803833
2010-07-15,12.6899995803833
2010-07-16,12.329999923706055
2010-07-19,11.949999809265137
2010-07-20,11.819999694824219
2010-07-21,11.279999732971191
2010-07-22,11.529999732971191
2010-07-23,11.75
2010-07-26,11.680000305175781
2010-07-27,11.369999885559082
2010-07-28,11.75
2010-07-29,11.609999656677246
2010-07-30,11.960000038146973
2010-08-02,11.829999923706055
2010-08-03,11.84000015258789
2010-08-04,12.859999656677246
2010-08-05,13.0
2010-08-06,13.0
2010-08-09,13.140000343322754
2010-08-10,13.1899995803833
2010-08-11,12.819999694824219
2010-08-12,12.75
2010-08-13,12.65999984741211
2010-08-16,12.4399995803833
2010-08-17,12.619999885559082
2010-08-18,12.510000228881836
2010-08-19,11.930000305175781
2010-08-20,12.279999732971191
