,CDLX
2018-02-09,13.369999885559082
2018-02-12,15.550000190734863
2018-02-13,17.799999237060547
2018-02-14,18.030000686645508
2018-02-15,17.530000686645508
2018-02-16,18.5
2018-02-20,18.520000457763672
2018-02-21,17.420000076293945
2018-02-22,17.59000015258789
2018-02-23,18.81999969482422
2018-02-26,18.1299991607666
2018-02-27,17.8700008392334
2018-02-28,18.190000534057617
2018-03-01,17.760000228881836
2018-03-02,17.299999237060547
2018-03-05,16.799999237060547
2018-03-06,16.850000381469727
2018-03-07,16.799999237060547
2018-03-08,17.530000686645508
2018-03-09,17.68000030517578
2018-03-12,17.479999542236328
2018-03-13,16.5
2018-03-14,16.799999237060547
2018-03-15,16.670000076293945
2018-03-16,16.43000030517578
2018-03-19,16.56999969482422
2018-03-20,16.600000381469727
2018-03-21,16.670000076293945
2018-03-22,16.280000686645508
2018-03-23,16.520000457763672
2018-03-26,16.1200008392334
2018-03-27,14.979999542236328
2018-03-28,14.789999961853027
2018-03-29,14.630000114440918
2018-04-02,14.199999809265137
2018-04-03,14.640000343322754
2018-04-04,14.140000343322754
2018-04-05,14.59000015258789
2018-04-06,14.579999923706055
2018-04-09,14.569999694824219
2018-04-10,14.5
2018-04-11,14.579999923706055
2018-04-12,14.260000228881836
2018-04-13,14.220000267028809
2018-04-16,14.4399995803833
2018-04-17,14.119999885559082
2018-04-18,14.1899995803833
2018-04-19,14.039999961853027
2018-04-20,13.529999732971191
2018-04-23,14.3100004196167
2018-04-24,13.600000381469727
2018-04-25,13.539999961853027
2018-04-26,13.5600004196167
2018-04-27,13.40999984741211
2018-04-30,14.020000457763672
2018-05-01,14.109999656677246
2018-05-02,15.079999923706055
2018-05-03,14.59000015258789
2018-05-04,14.4399995803833
2018-05-07,14.710000038146973
2018-05-08,18.950000762939453
2018-05-09,20.440000534057617
2018-05-10,20.290000915527344
2018-05-11,20.229999542236328
2018-05-14,18.940000534057617
2018-05-15,18.93000030517578
2018-05-16,19.579999923706055
2018-05-17,19.450000762939453
2018-05-18,19.43000030517578
2018-05-21,20.110000610351562
2018-05-22,19.360000610351562
2018-05-23,20.100000381469727
2018-05-24,19.8700008392334
2018-05-25,20.020000457763672
2018-05-29,20.940000534057617
2018-05-30,21.309999465942383
2018-05-31,20.420000076293945
2018-06-01,20.81999969482422
2018-06-04,20.799999237060547
2018-06-05,21.3700008392334
2018-06-06,21.579999923706055
2018-06-07,21.850000381469727
2018-06-08,21.770000457763672
2018-06-11,21.739999771118164
2018-06-12,21.829999923706055
2018-06-13,22.459999084472656
2018-06-14,21.709999084472656
2018-06-15,22.219999313354492
2018-06-18,25.110000610351562
2018-06-19,25.059999465942383
2018-06-20,24.920000076293945
2018-06-21,24.440000534057617
2018-06-22,24.450000762939453
2018-06-25,23.809999465942383
2018-06-26,23.920000076293945
2018-06-27,22.1299991607666
2018-06-28,22.489999771118164
2018-06-29,21.760000228881836
2018-07-02,21.81999969482422
2018-07-03,21.280000686645508
2018-07-05,22.100000381469727
2018-07-06,22.1200008392334
2018-07-09,22.1200008392334
2018-07-10,21.8700008392334
2018-07-11,22.780000686645508
2018-07-12,23.3799991607666
2018-07-13,22.34000015258789
2018-07-16,21.299999237060547
2018-07-17,20.81999969482422
2018-07-18,20.530000686645508
2018-07-19,20.709999084472656
2018-07-20,20.5
2018-07-23,20.8700008392334
2018-07-24,19.90999984741211
2018-07-25,20.639999389648438
